Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: In Vivo
Test Article: Perfluoro 3 Methoxypropanoic Acid
Species: Rat
Strain: Sprague-Dawley
Sex: Male
Organ: Liver
Chip File Creation Date: 10/31/24
Log Transformation: BASE2
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/04/2025 07:38.05

Something	A36	A38	A20	A18	A33	A45	A44	A16	A15	A46	A41	A37	A30	A29	A8	A26	A40	A35	A1	A3	A12	A17	A42	A24	A4	A7	A11	A51	A32	A22	A2	A14	A39	A5	A6	A9	A31	A48	A21	A49	A47	A34	A13	A27	A28	A50	A25	A10	A23	A43	A19
Doses	2.5931726	3.3854282	3.5141387	3.6250265	3.628988	3.788687	3.7926803	3.815366	3.9186504	3.9751415	4.0292673	4.0892115	4.097743	4.112363	4.1832037	4.2116084	4.2200017	4.2352924	4.244742	4.3821325	4.388235	4.451598	4.464495	4.469871	4.505169	4.534491	4.557952	4.563557	4.599311	4.6583104	4.6593394	4.7262454	4.79782	4.8654995	5.006382	5.0213404	5.0354204	5.04631	5.096006	5.099319	5.1098113	5.1122093	5.137241	5.192965	5.2462397	5.279571	5.2816496	5.2856517	5.396859	5.6775246	5.966314
AADAC_7934	5.75113	7.715341	7.7486134	7.4127965	7.447993	6.1000614	7.665757	7.7077622	7.5982447	7.595909	6.9550576	6.5434766	6.263618	7.5219784	6.700421	7.3106027	7.3668995	7.7809114	6.278379	7.72306	6.6942115	7.110085	6.2531624	7.305486	5.9903183	6.400572	6.046291	6.8599706	7.2402997	6.2174373	6.863011	7.916136	7.775135	7.793644	6.915559	7.251612	7.9625926	7.6087036	7.217048	7.6974473	8.2837105	6.575417	7.7902427	6.106947	7.5837307	8.221692	7.044826	7.3249545	7.6730714	6.333063	7.545345
AARS_7935	8.618538	7.2196493	6.066645	6.887291	6.39906	8.601823	6.1826763	6.188416	7.7573714	6.211899	6.1100693	8.626101	8.533727	6.2227674	8.321476	6.1031203	5.8357673	6.075051	8.49729	7.8201303	7.9256234	6.540177	8.250364	7.638778	8.739818	8.445529	8.265595	8.393869	6.2940006	8.731583	7.5060887	5.554164	6.2032847	6.24927	8.009814	5.9414716	6.687074	6.8544564	7.3438745	6.580107	6.0201087	7.843732	5.963979	8.537894	6.317553	6.3786845	7.5140057	7.1051555	6.111148	8.460513	6.6357064
AASS_7936	8.7592745	8.638541	8.334448	8.785216	8.900441	8.571206	8.850031	8.95817	8.829872	7.944128	7.7820077	8.97006	9.115063	7.9097714	8.5571995	7.879532	8.319729	8.914465	9.38853	8.856377	9.220067	8.616609	8.987146	8.846961	8.398675	8.882308	8.631819	8.655844	8.212681	8.468782	8.153844	7.4974504	8.771838	8.338334	8.921059	7.990466	8.097235	8.787652	8.795531	8.723644	8.4443035	8.92213	7.94654	8.694775	7.930367	8.635521	8.287897	8.883956	8.118947	8.611284	8.255211
AATF_32691	2.0518599	2.8678937	1.9183995	2.5029805	2.8206856	2.1687598	2.951459	1.9899611	3.0110276	2.6036353	1.70226	2.8891323	3.0294778	2.7372885	2.7953992	1.9419785	2.5384767	2.4073083	2.5332706	2.7828603	0.775823	1.7539579	3.1422062	2.5451083	2.7541187	2.7802737	1.5525111	2.4159133	2.406994	1.8567106	2.5736196	2.7354863	2.570392	2.597612	2.3652024	0.58460927	2.6266706	1.8332981	1.5622083	2.1514747	2.5996156	1.8741015	2.4416173	0.7197537	1.4944088	2.7807593	2.4585013	2.2186248	1.1924393	2.3260906	2.838406
ABAT_32557	7.248186	7.7453012	7.171645	6.9586477	7.4604664	7.654338	7.5193663	7.3977656	7.071035	7.5883155	7.4587626	7.4054556	7.7861457	7.149701	7.415181	7.1223245	7.571249	7.6806917	7.4577265	7.518431	7.037014	7.0180016	7.7827	7.283261	7.540414	7.4469676	7.1575828	6.963858	7.147005	7.094644	7.181228	6.762041	7.4881225	7.1907	7.425713	7.3118296	7.315036	7.5408134	6.9546905	7.3368616	6.8985314	7.2518477	6.837255	7.1032467	7.199719	6.5691605	7.3361735	7.291691	7.2174215	7.499695	7.3952546
ABCB11_33142	9.395964	8.132985	7.178583	7.7971606	7.859394	9.090821	7.665757	7.432933	8.154148	7.4568787	7.269398	8.876774	9.225671	7.75749	9.047665	7.5335417	7.669197	7.2506227	9.106213	8.415444	8.759172	7.9991064	9.030988	8.871378	9.071381	9.263793	8.929378	9.11665	7.29272	9.1329155	8.40216	7.169031	7.447872	7.5597734	8.649946	7.0157566	7.9540143	8.060501	8.368136	7.7406635	7.645923	8.604111	7.503557	8.91377	7.335789	7.726181	8.846371	8.362705	7.2049065	8.765632	7.9913774
ABCC1_32904	1.8143951	3.200062	1.6252826	2.1159258	2.011671	3.1950624	1.5043167	2.1911569	2.8787735	2.6036353	1.4871172	2.6150863	2.919921	2.8829715	2.6512198	2.109709	3.0843768	2.2295449	2.8044732	4.039196	2.1892972	3.254318	2.0039802	2.5451083	2.6106799	2.7802737	2.621851	3.1225834	2.004529	2.482375	2.895092	2.8811386	2.8779507	2.9062183	3.2179284	1.9992051	1.6862907	3.0089254	3.4283133	3.0805616	2.992627	3.331059	2.4416173	1.8430203	2.5476058	2.297121	2.4585013	1.2997124	2.8927681	2.3260906	2.2300112
ABCC2_32541	5.6996546	4.4867115	3.4235945	4.346329	3.7147906	5.0209155	3.8550549	3.688074	4.761664	2.8265579	2.8701653	5.6900024	5.497773	4.331278	5.296251	4.0964723	3.1725283	3.2644873	5.2061815	5.1816163	5.4027786	3.574707	4.9869895	5.019585	6.004736	5.641408	5.974179	5.605918	3.198022	5.2615604	4.9640923	3.013425	3.0101936	4.501759	5.386482	3.3913584	3.5048723	4.550328	4.7570624	4.8057427	4.717334	4.445774	3.63202	5.0594006	4.214827	3.142335	4.8062587	4.6507454	3.7236884	5.16156	4.3271203
ABCF1_7945	5.4731483	4.3146935	3.679778	4.0880117	3.628988	5.4442406	3.8550549	3.5484548	5.1249337	3.7756202	4.144076	5.34806	5.399156	3.923187	5.2216306	3.178435	4.044227	4.0333714	5.2293878	4.994639	4.4831705	4.354535	5.509808	4.654355	5.7375817	5.1786733	5.4006453	5.097908	3.798159	5.2366967	4.768235	3.4468794	3.8487759	4.1376824	5.12557	3.5225942	3.8389206	4.8358083	4.721904	4.582081	4.2740407	4.8706985	3.5563867	5.1672235	3.047878	3.7438102	4.9023523	4.564248	3.411482	5.2145143	3.7990685
