Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Adrenal
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
A2M_7932	5.510052	6.2959967	6.69683	6.751367	7.8231826	6.455765	6.769788	5.3466387	6.422878	5.9229603	7.033146	6.311217	6.0973735	6.1019416	6.6155415	6.3273797	8.408569	7.575938	6.957348	7.660458	5.0091124	6.236664	6.4026937	4.402137	5.139096	6.4998384	4.442064	5.774809	6.189468	5.483275	5.5943103	6.900364	5.4219503	6.772183	6.7910557	7.8170314	7.6968403	6.6131563	8.01604	6.368609	6.948628	6.53946	7.6100707	6.4797873	6.3743205	5.914562	6.8789654	7.687163	7.537544	8.073387	5.0998116
AARS_7935	8.019665	8.398145	7.9490657	8.232642	7.93817	7.935107	7.8114724	7.924922	8.704882	8.045405	8.738373	7.916793	7.282076	8.523151	8.232341	8.592328	8.50451	8.592069	8.285162	8.208979	8.213683	8.307134	8.371755	8.455294	8.555681	8.174176	8.086028	8.417933	8.770772	8.570801	8.134396	8.118106	8.449301	7.9567604	8.622935	8.201134	8.114126	8.484322	8.401559	8.173672	8.097631	8.720944	8.311034	8.304198	8.636785	8.500283	8.211083	8.253614	8.742703	7.8414903	7.770009
AASS_7936	2.848241	3.33497	2.7941236	3.2852418	1.9253916	2.1384883	4.4997973	0.9767844	5.143223	1.8125013	4.491827	1.1416163	2.1961067	3.3010163	2.8639636	2.0284712	2.6114798	0.0	3.41893	4.9045625	1.0802376	1.590268	1.9210088	0.70441335	3.7819533	1.7735348	1.956095	1.4811409	1.8455682	3.4014454	1.7341441	0.72636575	2.7860544	0.8090858	4.160545	1.1703981	4.0925193	2.5471356	3.1103647	2.1379254	0.0	1.9056778	3.0938854	3.8750532	4.514478	3.984587	2.0907738	3.9498127	2.620352	2.4635327	2.8923569
AATF_32691	4.3761783	4.2616525	4.518402	4.0659213	4.1850867	4.6085525	4.764299	4.0851884	4.7131047	4.2162647	3.8759336	4.5801053	4.890412	4.999835	4.2248535	2.9872077	4.3208337	5.322602	4.6575665	4.8381977	4.5414953	4.4887223	4.14741	4.3585324	5.3437514	5.019959	4.7194524	4.3299417	4.7516484	4.0029993	4.5541344	4.062397	4.8438745	3.7851021	4.102648	4.160675	4.5814962	4.3971877	5.455463	5.043174	4.327352	4.009676	4.5282807	4.4268622	4.514478	3.4113562	4.3616695	3.742897	4.470414	4.812187	4.5716114
ABAT_32557	4.9286447	5.811238	5.120604	3.9617648	4.21645	4.8616967	5.869747	4.125755	5.6251554	5.6970587	5.552468	3.9519017	4.4128036	4.3652673	4.8567424	5.4632344	4.267135	3.4489017	4.3000093	5.505808	4.2349725	5.8740635	2.9940717	3.294657	5.2952447	4.559275	4.687558	4.737738	4.6804633	5.29523	4.1749935	3.944695	4.3548365	4.361391	5.0292883	4.258195	5.0825377	4.842182	3.8589618	3.8684049	4.613374	2.975836	3.6213942	4.507913	5.0520835	4.6706963	3.244185	3.884084	4.182957	3.3264387	4.4989386
ABCB1B_7939	0.47256696	3.1503487	1.9029365	0.0	1.9253916	3.1830316	2.9687743	2.2846017	2.7238863	1.5282615	2.77895	2.5422883	1.1336535	1.1796107	1.7153146	3.2432485	2.77431	2.4929647	2.7093518	2.5142627	0.0	2.1215973	3.1150188	1.5302933	2.3300142	1.3854885	2.3311732	1.7608279	0.72114176	0.0	2.68465	2.0950232	3.1154714	0.8090858	1.2672036	1.1703981	2.66749	2.3653069	2.781119	1.6044376	1.9762412	2.356221	1.0543946	1.8015428	2.3922372	0.0	1.5635774	0.0	1.7174054	0.7181699	2.645396
ABCC1_32904	6.391309	6.2507854	6.8417096	6.1730847	6.3102527	6.153541	6.5420656	5.50879	6.3379364	6.037757	6.7352986	5.9938235	5.909528	6.77878	6.1191583	6.3949347	6.739807	6.3402305	6.981268	6.0065136	6.1983957	6.5878124	6.472271	5.8493333	6.7058115	6.1196814	6.046367	6.252687	6.58013	6.455872	6.2523603	6.2152944	6.1413803	5.7853217	6.253074	6.468447	6.67167	6.62332	6.3272743	6.4381666	6.8693695	5.988476	6.471886	6.5388384	6.4463944	6.4554152	6.2350116	6.4434347	6.739316	5.8522053	5.9618053
ABCC2_32541	0.0	2.3902214	0.0	0.0	1.9253916	1.4337618	1.7120394	0.56952703	0.7662242	0.0	0.9834985	0.0	2.372807	0.7071522	1.0988516	2.4904635	1.2988765	1.8660513	0.7591854	1.5944917	1.0802376	1.8802559	0.0	2.0522106	0.0	0.0	1.7242497	0.0	0.0	1.2428546	0.82831216	0.72636575	0.6687916	2.4627342	0.76847893	1.1703981	0.0	0.0	1.1208632	0.0	0.0	0.0	0.0	0.0	0.0	1.3120828	2.2962277	1.2488226	0.6527032	0.0	0.6636406
ABCC3_7941	5.327155	5.175969	5.893549	5.772414	5.411976	5.386675	5.7528152	4.682904	5.2265954	2.5909648	5.552468	5.0947733	4.704699	5.5008173	5.8743787	5.4632344	5.337356	6.0546756	6.0911894	5.6286902	4.673356	5.7357216	5.106119	4.0096664	4.6145487	5.281557	4.6549435	5.643076	5.742205	5.078948	4.349802	4.6562243	5.297674	4.772072	5.52426	6.340691	6.2898245	5.18179	5.2256565	5.313778	5.5613565	3.9468205	6.334258	5.211244	5.798027	5.878649	5.975803	3.9498127	5.4935374	4.636246	4.255978
