Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Adrenal_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.21
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: adrenal
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCC5_7942	116721	abcc5	0.009018036072144289	0.11474124720028292	1.0288297	1.0288297	1.0155048	1.0288297	1.0130191	1.0159128	1.0196971	-1.0002244	1.0135595	1.0274583	-1.0282102	0.24902776	0.03358147	0.1747289	0.2917842	0.09558441	0.9843854	0.34640563	0.013888145	0.22266182			
ABCF3_7946	287982	abcf3	0.01263284539803489	0.13011830759975937	1.0686891	1.0686891	1.0676216	1.0438955	1.057662	1.0337487	1.0609128	1.0282428	1.058346	1.0686891	1.0341322	0.031474672	0.003439663	0.002197787	0.21769686	4.0470905E-4	0.27248436	5.7072286E-4	2.4019176E-4	0.1727649			
ACAA1A_7954	24157;501072	acaa1a;acaa1b	0.025213501423342822	0.16721846178010988	-1.1441662	1.1441662	-1.0154475	1.0678365	1.0097871	-1.0420077	1.0066676	-1.0015795	1.0352902	-1.0833073	-1.1441662	0.7287231	0.09271706	0.82974005	0.38192454	0.8807623	0.97218907	0.48281118	0.26541647	0.18293378			
ACADL_32776	25287	acadl	0.037561576354679806	0.19530213859416448	-1.150864	1.150864	1.0118285	1.0459107	1.0415255	-1.1148789	1.078919	1.0160482	1.0592356	1.0674064	-1.150864	0.88594127	0.20144838	0.23864955	0.060929865	0.042013872	0.79026127	0.13023351	0.11099199	0.23203596			
ACADSB_7959	25618	acadsb	0.02374245472837022	0.16380095957119642	-1.1485778	1.1485778	-1.0294852	1.0677608	1.0076622	1.0076536	-1.0079906	-1.0365713	1.0572611	1.0207646	-1.1485778	0.62894815	0.109510995	0.8913853	0.87666017	0.84536976	0.5047368	0.18271992	0.6563091	0.13130854			
ACAT2_7961	308100	acat2	0.0013899920571882446	0.05634279760354259	1.1915709	1.1915709	1.108271	1.0681224	1.0741379	1.1074613	1.0934229	1.096056	1.0357707	1.1090525	1.1915709	0.012066044	0.10456461	0.16284391	0.0053322944	0.01037899	0.057497542	0.51367295	0.11374095	0.02834113			
ACOT2_7969	192272	acot2	0.02724741447891806	0.17310129822443007	-1.1509353	1.1509353	-1.0309687	1.0352839	1.0305308	-1.0583411	1.0288215	-1.0369508	1.0153689	-1.005759	-1.1509353	0.54339975	0.35365692	0.5838556	0.27395555	0.6361847	0.483474	0.70548266	0.8733753	0.11589502			
ACOT4_7971	681337	acot4	0.01041871436996265	0.12051165338090487	-8.1511345	8.1511345	-1.9269503	-2.2986746	-1.5690349	1.1462417	1.1400318	-1.2219752	-1.6182888	-2.2586215	-8.1511345	0.07093201	0.06579152	0.33402836	0.48499945	0.61431384	0.6238559	0.18927735	0.031612717	0.0029045728	30.0	100.0	
ACTA1_7978	29437	acta1	0.0037946874375873775	0.07492543827744236	2.3003547	2.3003547	-1.3680584	-1.3466797	1.7861967	1.0872434	1.2988534	1.3583014	1.0834758	1.5899533	2.3003547	0.554062	0.59976166	0.030104168	0.84740555	0.5543707	0.38497737	0.8089489	0.21268763	0.0017625521	100.0	300.0	
ACTC1_32706	29275	actc1	0.03745318352059925	0.1952077974820631	-Infinity	Infinity	-1.0545496	-1.0547872	-Infinity	1.8986404	-2.3337922	-1.6387179	1.388228	-1.439674	2.6029315	0.95010793	0.9301283	0.026053714	0.2394614	0.2225947	0.47398683	0.6317806	0.51642054	0.16879342	0.1	0.3	
ADCK3_7987	360887	coq8a	0.040480961923847696	0.20410331151814118	-2.161274	2.161274	-1.5598022	-1.0085243	-1.1651427	1.0412849	1.0522397	-1.6197097	1.1583754	-1.169541	-2.161274	0.19359729	0.96258247	0.50066227	0.77229106	0.7403238	0.14649282	0.30638626	0.43763375	0.026414711	100.0	300.0	
ADK_32788	25368	adk	0.004614767255216694	0.08131366293133883	-1.1482091	1.1482091	-1.0656297	-1.0083556	-1.013367	-1.0695864	-1.0514567	1.0060582	-1.0197377	-1.0409111	-1.1482091	0.12275008	0.7570787	0.7376607	0.18803392	0.2386064	0.8307933	0.48209864	0.2465326	4.5821755E-4			
AEBP1_33321	305494	aebp1	0.010958358238692966	0.12257040856802856	-1.5276834	1.5276834	-1.3552277	1.0600637	1.1713179	-1.0691406	-1.0986071	1.0587451	-1.0903316	1.0018245	-1.5276834	0.010275833	0.59988844	0.055217013	0.6547583	0.37226555	0.5028603	0.6129467	0.9890938	0.0034688774			
AHNAK_32407	191572	ahnak	0.013720742534301856	0.1334019659936238	-1.1005291	1.1005291	-1.0230579	1.0235583	1.0228014	-1.0111471	-1.0164597	1.00203	1.0045028	-1.0131866	-1.1005291	0.49479145	0.25928774	0.31654504	0.71052164	0.39209127	0.89757705	0.7683351	0.7751432	0.061596833			
AKR1B8_8013	286921	akr1b8	0.0010204081632653062	0.047981366459627334	1.1101892	1.1101892	1.0715529	1.0341777	1.0283225	1.0479468	1.0628195	1.0318168	1.0149825	1.0602387	1.1101892	0.0016877166	0.029027859	0.3201452	0.0032158096	0.025020124	0.20370512	0.45854852	0.018265884	0.15365033			
AKT1_8016	24185	akt1	0.024227740763173834	0.16417355166235317	-1.0723752	1.0723752	-1.0328932	1.0180956	-1.0025307	-1.0129918	-1.001836	1.0212159	1.0182121	1.0095378	-1.0723752	0.31134245	0.20776659	0.90444314	0.5267504	0.9120372	0.45075172	0.28423342	0.5452452	0.19607966			
AKT2_32310	25233	akt2	0.008381030253475062	0.1098676875046458	-1.6507192	1.6507192	-1.0782975	-1.2078936	-1.0704018	-1.2167476	-1.1562401	-1.1003435	1.0368412	-1.2519344	-1.6507192	0.49827752	0.13766968	0.5085153	0.18288648	0.29791918	0.18705413	0.7023273	0.06519265	0.10988647			
ALDH1A1_8022	24188	aldh1a1	0.024649298597194388	0.16604155432196668	-1.7921277	1.7921277	-1.0848712	-1.2032466	-1.1080745	-1.3561532	-1.5112311	-1.1242813	-1.2107193	-1.0415025	-1.7921277	0.7181882	0.2760933	0.6065776	0.17893083	0.040795337	0.43868956	0.16847229	0.8213587	0.055542067			
ALDH6A1_8027	500693;81708	bbof1;aldh6a1	0.010278113663845224	0.12051165338090487	-1.1399958	1.1399958	-1.013405	1.0436002	1.0201507	-1.0252774	-1.0285214	1.0048718	1.0520368	1.0332831	-1.1399958	0.8141762	0.1380557	0.6360557	0.57222056	0.41064882	0.90200424	0.084194496	0.39868325	0.057126362			
ALDH7A1_8028	291450	aldh7a1	0.012133468149646108	0.12865044905727713	-1.0527216	1.0527216	-1.0015575	1.0214723	1.0262461	-1.0131522	1.0001726	1.0091113	1.0327327	1.0294327	-1.0527216	0.92835075	0.1316721	0.17611718	0.43524423	0.99094003	0.6541431	0.043113787	0.1810168	0.2529208			
ALDOA_32991	24189	aldoa	0.0116231647634584	0.1257045269168026	-1.0323428	1.0323428	-1.0062437	1.002114	1.0087708	1.0016941	1.0006163	-1.0057843	1.0044906	1.0022206	-1.0323428	0.5202228	0.6663593	0.28728995	0.8237109	0.93516964	0.47564337	0.56289333	0.8538577	0.16863713			
ALDOA_8031	24189	aldoa	0.0016842105263157896	0.05782456140350878	-1.0749421	1.0749421	-1.0244074	1.0050266	1.0158983	-1.0144958	-1.0040635	-1.001009	1.0037616	1.0035762	-1.0749421	0.19785662	0.46578056	0.09600622	0.1944473	0.68314993	0.9377134	0.68797046	0.8015799	0.1416999			
