Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Brain
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
A2M_7932	6.5359826	5.6219625	8.503151	8.207007	7.368534	3.6567118	5.8232894	6.8092527	7.8728714	8.541229	5.5067453	4.3357205	4.748736	4.9108157	8.360645	7.489975	6.4052167	6.736564	6.9162745	4.921157	5.349448	5.75108	7.2861032	8.141171	6.2946606	4.43479	8.204218	4.449548	5.8529134	4.6272535	5.069153	5.0398	8.812852	8.206188	4.975919	5.1651487	3.5012195	5.185714	5.89568	5.127064	7.7293725	4.057232	8.4510765	8.552242	5.9421387	8.47569	5.6280003	3.6473043	7.2242336	6.8371515	5.838388
AARS_7935	10.0847225	9.91427	9.518119	10.056896	9.643869	9.9368305	10.076903	9.621048	10.632711	10.284267	9.534599	10.140483	9.995367	10.111274	9.205364	10.707913	10.227518	9.775437	10.5084305	10.202697	10.076243	9.903776	10.343924	9.095377	10.434194	9.753102	10.391798	9.604775	10.254248	10.1119995	10.294959	9.569488	10.409761	10.21204	10.209464	10.242887	10.255722	10.486755	9.931613	10.076197	10.337537	10.002165	9.885471	10.175071	10.146547	10.321435	8.960047	9.739597	9.623513	9.785117	10.066484
AASS_7936	6.300263	5.34388	6.2379284	5.800378	6.0989447	4.4960103	6.47898	5.9843593	5.8716564	6.0944567	5.8399205	5.50861	5.883753	5.5485516	6.1620946	5.362158	5.775768	6.191058	6.0796833	6.296466	5.7413826	6.1219754	5.9389844	5.714485	6.381042	5.498303	5.607474	5.3898206	5.8529134	5.5066414	5.415865	6.1740794	6.340707	6.0651946	5.591828	6.2948666	5.826439	5.028154	5.7906275	5.127064	5.7268276	4.75911	6.9595246	7.1817465	6.7501082	6.361529	6.6973863	5.153389	6.091761	5.9893866	6.409571
AATF_32691	5.642632	4.975986	4.421642	6.0477686	4.49128	4.385851	5.3480186	4.9686866	5.176758	5.16519	5.1311364	4.9513874	5.1818137	4.945269	6.6259727	5.080425	5.08919	4.968044	5.032569	4.921157	5.000941	5.2763286	5.426789	6.0950294	4.733538	4.96368	5.5874324	4.1690207	4.7138577	4.5380306	5.301369	4.539307	5.1504035	6.404107	5.044123	4.928611	4.6489053	4.253583	4.666178	4.765752	5.090234	4.8363976	5.7687826	6.5225377	4.8103724	5.430197	5.025391	4.742693	5.258225	5.944315	5.23405
ABAT_32557	9.823114	10.384985	9.306174	10.688114	9.966267	9.266822	9.843548	9.690322	10.482825	10.258703	9.585065	9.397161	9.4718685	9.24812	10.62798	10.481463	10.398233	9.686476	10.617351	9.538669	9.425082	9.711641	10.106659	10.154488	9.420743	9.849567	10.247598	9.746397	10.357613	9.017533	9.191494	10.192283	10.575842	10.580081	9.481328	9.724336	9.206533	9.011582	9.405865	9.465003	10.671231	9.845068	9.861323	10.55879	10.043698	10.343316	10.198318	9.329311	9.901657	10.564882	9.774536
ABCB1B_7939	4.208272	2.1874635	2.308719	2.1618586	2.8359857	1.4107971	3.8587954	3.1006804	4.016803	4.297033	0.7611114	1.7238007	2.2992408	2.7689986	3.86581	2.2166977	0.82243574	5.4988937	2.3121793	4.6296625	3.0283327	3.3109252	1.7188596	4.2042756	2.365105	2.9317293	2.9497283	0.82555324	2.0549762	2.79254	2.778801	1.988043	2.4346464	2.3937967	2.66273	3.251942	2.5404065	3.7868958	2.1648698	2.5271657	0.7439918	2.2404947	1.2793343	2.0965743	2.3159168	2.462726	2.7809715	2.134599	5.027901	3.5137203	4.6440315
ABCC1_32904	8.384078	7.8772826	8.178283	7.895803	7.923473	7.595634	8.688608	7.5733128	8.044298	7.923272	7.8816705	7.9145966	7.4968696	7.813328	7.449643	7.6294093	8.4537525	8.030157	8.5765505	8.412358	8.3606615	7.893786	7.716402	7.784677	8.01742	8.122743	7.549293	7.8183546	8.571499	8.108177	8.383176	8.097836	7.6009803	8.293568	7.7888675	7.96025	8.203932	7.936682	7.5897207	7.9722905	7.792209	7.5830846	8.384859	8.349768	8.491551	8.125545	7.5334864	7.4758797	8.036009	8.672787	8.1432295
ABCC2_32541	2.998907	2.4778752	2.1027782	2.9909222	2.0250828	2.2425692	2.8790772	2.7853792	2.721454	2.739518	0.7611114	3.7315044	2.2992408	3.1695204	2.2082176	3.6638572	2.4880867	1.7893847	3.5976167	2.059136	1.7596761	1.613244	2.4811754	2.5247288	3.2178206	2.2275777	3.1813002	2.493977	1.7512606	1.3115737	2.634917	2.4463825	3.7532375	0.7733473	2.0168633	3.364797	2.9785955	1.3255126	2.1648698	2.1932309	2.6777174	2.9459941	1.2793343	1.3996979	2.7160895	1.7032279	2.2236447	0.0	2.133689	2.2951884	1.8182925
ABCC3_7941	4.3386626	2.6037455	3.6093078	3.6198187	3.1169271	1.6199062	4.3269963	3.35928	3.5098736	3.62725	3.223044	2.274537	1.7455351	3.4826684	2.875155	2.919704	3.2406623	2.7510867	3.7752874	2.709928	3.3984714	2.8436162	2.9773319	2.059967	3.750146	3.0647	2.5130422	2.6793115	3.9259193	1.3115737	3.7416892	3.4117925	3.902396	4.4308004	3.5440652	3.6584406	3.8840477	4.0055966	2.5553164	2.3698385	2.6777174	1.6939238	3.7913375	3.5422595	4.7261195	4.1936297	3.1819901	2.3418093	2.9591696	3.1401834	2.8711712
ABCC4_32768	2.4252481	2.92642	3.4444118	3.140541	2.8359857	0.50050646	3.3971446	2.381319	2.0694804	2.9049046	1.9180743	0.0	1.3610916	1.9664943	1.4908371	2.4270532	2.0262887	2.3489285	3.394951	2.709928	2.3152866	2.5373566	3.3458283	1.7558814	1.9137738	1.9806744	1.8837827	2.843525	3.9989173	2.9391413	2.2952955	2.4463825	2.9277973	2.7385187	0.81701523	3.251942	2.358765	1.704575	1.6278664	1.7579578	0.7439918	0.80332476	3.2575564	2.0965743	2.7160895	1.3243449	2.9273834	1.8925543	1.934951	2.6348042	2.2600117
ABCC5_7942	7.233577	7.1872616	6.583554	7.3450356	7.055462	7.0494466	7.4578886	7.212905	7.2934356	7.0665035	6.95395	7.4533896	6.559848	7.406622	6.7765145	7.4179363	7.176809	7.3427114	7.3471885	7.3233714	6.9575443	7.2481356	7.129628	6.9705477	7.151419	7.497878	7.1107297	7.206729	7.5901275	7.5412145	7.0149193	7.3850093	7.1497693	6.8829255	6.800315	7.2493606	6.924079	7.1858373	6.990163	6.5622573	7.1705093	7.3786526	6.7459307	7.1488104	7.3447924	7.249552	6.6871443	7.1573477	6.825039	7.6786127	7.52992
