Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Brain-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.05
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: brain
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCB1B_7939	24646	abcb1b	0.029650690495532088	0.8718624072264416	1.593006	1.593006	-1.0532424	1.0998509	1.0873194	-1.0390893	-1.1449373	1.06092	-1.5403727	-1.1700114	1.593006	0.85905486	0.75904775	0.6963594	0.87574977	0.370814	0.6971741	0.06653113	0.286848	0.03961014			
ADH5_7991	100145871	adh5	0.04075774971297359	0.8718624072264416	1.0323457	1.0323457	1.0156288	1.0122373	1.0272881	1.0071346	1.0252317	1.0210681	1.0184625	1.0323457	1.0248903	0.22531024	0.37752208	0.041205052	0.5450325	0.05470912	0.1283129	0.19066456	0.052956652	0.039962787			
AGL_8002	362029	agl	0.006812262071729113	0.6528957665056928	1.4039953	1.4039953	-1.2479768	-1.0869522	1.0528775	-1.0940864	1.0921402	1.2495815	-1.3022201	1.1527423	1.4039953	0.2515902	0.6179924	0.71294266	0.5919049	0.52285063	0.050525196	0.23009455	0.35725522	0.06958429			
AIMP2_8006	288480	aimp2	0.008160093258208665	0.6754839431576593	1.0666251	1.0666251	1.049308	1.0210589	1.0275664	1.0358968	1.0091789	-1.0270798	1.0136068	1.0269514	1.0666251	0.052497312	0.35270283	0.26179904	0.14932892	0.6953152	0.31356758	0.6895915	0.27085987	0.015106742			
APBB2_8056	305339;305338	nsun7;apbb2	0.023949744797801334	0.8718624072264416	1.079228	1.079228	1.0294753	1.0010574	1.0132395	1.0442702	1.0293324	1.01368	-1.027053	-1.037817	1.079228	0.1084498	0.97101235	0.55983627	0.05351588	0.083714336	0.74153954	0.23031662	0.33486143	0.054182913			
BANF1_8131	114087	banf1	0.01101061738104601	0.7358409610983981	1.1451731	1.1451731	1.0824534	1.0890222	1.0892063	1.1233398	1.1379349	1.0468366	1.0825956	1.1451731	1.0879786	0.053797465	0.04779964	0.047597133	0.04709297	0.010195344	0.27998352	0.13285597	0.0036676906	0.17645185			
BLOC1S2_33034	293938	bloc1s2	0.00456968773800457	0.604819749216301	1.0449897	1.0449897	1.0294544	1.0423237	1.0346686	1.0338304	1.0142804	1.0219264	1.0144664	1.0142448	1.0449897	0.06756152	0.02010565	0.042064134	0.05251081	0.46053374	0.15474403	0.55690813	0.40930277	0.021242158			
CCDC80_8213	64387	ccdc80	0.04610401981329777	0.8718624072264416	-1.3844782	1.3844782	-1.1750971	-1.0797101	-1.3485782	1.0288332	-1.0740628	1.181363	-1.3844782	1.0947175	1.2688718	0.37693357	0.35095927	0.26928473	0.8005198	0.61498797	0.12259016	0.25493822	0.39955202	0.14423217			
CCL11_33230	29397	ccl11	0.004204892966360856	0.604819749216301	-1.4601227	1.4601227	1.0252075	1.0074075	-1.0488424	1.0043457	1.128526	-1.4601227	-1.034483	1.1348131	1.4371812	0.8340872	0.9496621	0.7857223	0.9678758	0.37802207	0.16449784	0.750861	0.2962097	0.008556863			
CD3D_33153	25710	cd3d	0.006391052526462952	0.6528957665056928	-1.6480019	1.6480019	-1.054022	-1.1367022	1.0146625	-1.0530567	-1.0498974	-1.1600803	-1.1910971	-1.0188686	-1.6480019	0.6876942	0.4327199	0.8806641	0.5687736	0.5607333	0.15911052	0.10142916	0.8762378	0.008225137			
