Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Heart
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
AARS_7935	6.4888473	7.4876595	6.4001894	7.34271	7.5374823	7.1403646	7.149657	5.919199	6.941745	7.04125	7.0189915	6.9193773	6.840164	6.7122736	6.738238	7.447143	7.2503343	7.6215262	6.8708863	6.6206737	7.4369946	6.5017123	7.2841005	6.788008	7.1174836	7.0043325	7.3912587	6.669361	7.600289	7.0696726	6.505106	6.997716	6.947544	6.926896	7.3127146	7.1503954	7.4835353	7.4733624	7.0140524	6.626745	7.0449038	6.707235	7.507869	7.1263895	6.789453	8.217014	6.891202	7.322702	7.254817	6.474923	6.6430054
AASS_7936	3.5093725	3.4686916	3.0489275	5.105032	1.6946994	3.52196	3.701848	3.9456706	0.0	4.2981625	0.0	4.138302	6.5778713	3.5595279	1.7076585	4.1421432	4.210513	4.6817613	3.9387221	4.3237014	2.9691308	4.8087654	2.2607703	3.7115324	5.702643	2.8135366	4.0338936	2.4354372	0.0	3.1175084	1.5152903	1.4912851	1.7019058	3.0326426	2.9811249	3.481928	4.781646	5.227036	0.0	5.5933576	2.414709	1.5560402	3.7722242	3.9508085	3.738921	7.086748	3.5788221	2.1420407	5.771565	2.6921446	1.1091634
AATF_32691	3.8583472	3.734308	2.805699	4.516874	3.7093248	4.4077187	4.124198	3.689614	2.9056492	4.7080245	4.369696	4.3666506	4.470099	3.9851956	4.3136706	4.492808	3.693887	4.758181	3.4000494	2.9724824	2.4734652	3.859343	3.7699387	4.212997	3.9845462	3.2158852	4.443836	2.867694	3.2410424	3.6856437	3.2740076	3.8362825	3.4281852	3.4667969	3.091349	4.0529723	4.422708	3.4443684	3.6065629	3.6337154	4.014571	3.504506	3.9907634	3.8881302	4.4992065	3.9151745	3.735269	4.119898	2.783663	3.7024376	4.328685
ABAT_32557	2.3659666	2.5934532	3.1216724	4.049282	0.9220743	3.7797327	1.5344309	0.0	3.5634732	2.8999128	0.0	3.5322964	5.1524544	2.9530666	0.0	4.5366077	0.8448456	3.229123	0.0	3.7198126	2.6582623	2.7420013	0.7067108	1.1440686	3.4444485	2.6499145	0.0	0.7047812	1.6386266	2.996533	0.69556725	1.1424757	0.8082627	2.4086692	1.8105016	4.110747	1.3303274	4.7187576	4.069098	4.3620625	2.087154	1.8428885	3.2006674	2.3058627	0.8253489	4.67049	0.7521617	3.8733642	3.0345645	3.4373505	2.6339946
ABCB11_33142	1.3550823	4.106451	3.7907655	3.1804776	1.881474	1.6992252	0.7068595	0.0	2.4138737	3.6428428	0.8637169	0.0	0.0	0.0	0.0	5.671579	0.0	3.605175	2.8366141	1.7149937	1.7123232	3.928365	0.0	2.0090194	4.376617	3.7070959	0.8229481	1.1761918	3.2410424	3.7618635	0.0	0.68149215	0.0	0.780988	0.7021349	4.588475	0.0	2.4127853	2.6465442	3.317148	3.1894648	0.0	3.7722242	2.9211285	1.7293963	5.8416085	1.6102011	3.400375	3.0345645	3.1123378	1.1091634
ABCB1B_7939	1.0276811	2.8388302	2.4005322	1.4480785	0.0	1.9986842	1.8192548	3.5422442	0.0	1.657459	2.097234	0.0	2.7319522	1.8865789	2.2561564	1.2558379	2.7164438	2.3753145	2.8366141	2.4766161	2.261471	1.6478862	1.8189796	2.0090194	1.9054313	0.8104491	3.5565815	0.0	2.177223	0.0	0.69556725	0.0	2.9560406	3.2659898	2.0477312	2.3417435	1.3303274	2.8437006	0.729189	1.7847234	1.6626885	2.287151	1.3160235	1.8598716	2.9905322	2.6298735	0.7521617	2.968592	2.2998278	2.2702043	3.7170627
ABCC1_32904	5.7119865	6.1484528	5.8877134	6.3917217	6.46347	6.158141	6.494205	6.0613165	6.1640525	6.052162	6.0746202	6.3931537	6.359765	5.7622714	6.0270634	6.0035267	6.6961794	6.845741	5.797224	6.7281356	6.804882	5.8195987	6.215701	6.1035376	6.1334906	6.3108993	7.449544	5.3238616	7.082913	6.17401	6.2114697	6.572775	5.967868	6.3730745	6.344199	6.2532187	6.384491	6.266724	6.344123	6.1518793	6.3615446	5.7209764	6.6341004	6.5192666	6.652247	6.893371	6.4122853	6.552392	7.063521	5.754581	6.9836407
ABCC3_7941	5.638682	6.753052	5.240613	7.582744	5.5843306	6.1275535	5.9172225	5.6032186	5.7843184	5.575406	5.500321	5.6459966	5.5282063	5.031064	5.032464	5.2659454	6.229487	5.852431	5.5464106	5.8215017	6.6056714	5.8376536	5.7907405	5.695477	5.2191668	5.4827814	6.7222795	5.2777557	5.806221	6.268485	5.7290025	5.725921	4.4114084	5.4859657	5.5278697	5.599121	5.755179	5.6911	5.493979	5.7325726	5.416051	4.8159027	6.209447	5.9726744	6.3986936	8.8955145	6.840416	4.9875364	4.6922	5.333842	4.9311504
ABCC5_7942	2.041325	3.6723466	3.1216724	2.8753138	3.178482	2.9526682	3.1021483	2.980227	3.2717342	2.8999128	4.2504954	3.866887	3.6190703	3.8567734	2.467959	4.5791173	4.011261	4.2592816	3.8042016	3.9503467	2.261471	3.9942348	3.5540166	3.89873	4.2982345	2.9604776	3.64792	3.0974033	1.2685113	3.519944	3.0762603	2.9339075	2.4611642	3.8726158	3.758965	3.295207	4.7413673	3.599492	3.823152	3.5357134	2.5542536	4.0464606	4.7978535	3.4411616	4.8475304	3.508357	3.8763986	3.4907727	3.4342911	2.4249725	4.328685
ABCF1_7945	6.4888473	6.9022183	6.2047596	6.7416186	6.9650345	6.4453487	6.993781	6.127448	6.4993143	6.696311	6.573918	6.5172534	6.599023	5.780086	6.3003016	6.8519335	7.039532	7.1018033	6.6727796	6.310728	6.616871	6.2819705	7.021747	7.0209093	6.711587	6.8620157	7.0665197	6.5483584	7.4858675	7.031691	6.4448233	6.891669	7.0327682	6.624829	6.5415745	7.0056243	6.950496	7.2631397	6.883521	7.0994444	6.453557	6.6433263	7.2357635	6.8255563	6.789453	7.4346457	7.033641	6.8712425	6.2642326	6.755817	6.634629
ABCF3_7946	6.1308594	6.767942	5.5614414	5.739564	6.3806787	6.4076567	6.27616	5.84252	6.476117	5.851447	6.497445	6.091572	6.270301	5.797684	5.993245	6.7439785	6.1508517	6.7861533	5.106327	5.170136	6.524741	5.974495	6.735484	6.213485	5.9405565	7.102554	6.8906856	6.027896	7.0602427	6.695127	4.882544	6.6786075	6.398697	6.8570995	6.6803174	6.63427	6.3175764	6.278255	6.222325	5.879642	6.293456	6.410857	6.687208	6.6572204	6.5128546	7.5303226	6.3164387	6.8879733	6.2519045	6.137027	5.8649697
ABCG2_32656	1.8467387	1.0833708	3.3201895	2.1560369	3.4387207	2.4579961	2.4398172	2.587776	2.4138737	2.4084969	1.4002324	2.6518939	4.3253107	0.0	3.2187464	1.916903	0.8448456	2.4992406	2.9682784	2.0157602	2.6582623	3.2532277	2.991475	2.9364376	2.4313378	0.0	0.0	1.8154073	2.7304256	2.1668437	1.798293	3.330123	2.9560406	1.6576042	1.8105016	3.1919253	3.3345087	2.0318522	3.8886795	2.09109	1.6626885	3.3299077	3.4173298	2.9211285	3.8967896	4.2321477	1.2440525	1.8995962	3.5990763	2.4249725	4.7568693
ABHD1_7949	2.212758	2.2976124	0.0	3.0857518	2.1951432	3.0859146	0.0	2.587776	1.2886603	2.1988108	0.0	2.467261	2.3875432	2.1282825	0.0	3.1100824	2.5301795	2.6133583	2.691716	2.2645125	3.4418132	2.3971138	2.4395041	2.211044	1.6767038	2.0054104	2.6742618	2.5943525	2.177223	2.3753116	2.0347812	3.493719	2.4611642	0.780988	1.8105016	2.6838157	0.0	2.7138567	2.4864438	0.0	3.4258983	2.7700615	3.078771	0.72895527	0.0	3.7659166	3.403323	4.378538	2.479745	2.4249725	2.3363457
ABHD4_7950	3.2187746	3.734308	2.805699	3.353093	2.565989	3.2078884	3.1021483	1.5257641	3.5634732	3.5574129	3.2011955	4.0750837	3.9831572	1.8865789	2.963272	3.2216215	3.693887	3.605175	3.4904451	3.9503467	3.8739398	3.1413867	4.3641834	3.776668	2.571234	4.310626	4.3380985	3.5494545	4.641268	3.6051714	2.0347812	3.0436196	3.0893312	3.4667969	2.9811249	4.4158764	3.4389424	3.9270203	4.069098	2.7455003	1.3920673	3.7322211	4.0568247	3.3510823	2.2809021	2.9396956	4.122967	3.8733642	4.221719	3.1123378	2.7625668
ABHD6_7951	0.60347545	3.9585416	1.9985512	2.9843664	2.1951432	2.805851	2.4398172	0.0	2.9056492	2.1988108	3.5430462	2.467261	3.2426498	0.0	2.963272	3.1100824	3.693887	2.2397346	1.6077708	2.6614962	2.0128694	0.0	2.741728	2.9364376	2.4313378	2.2536223	2.6742618	2.256825	3.4414701	1.9230804	3.9306414	1.1424757	0.0	3.2659898	2.5886328	2.8285751	1.7101269	3.270533	2.6465442	3.194047	3.5644147	0.71968186	3.078771	3.3510823	2.8431213	3.3069415	1.2440525	1.8995962	2.2998278	1.3998932	2.989726
ABL1_7952	3.6353123	4.647205	3.0489275	4.84072	4.49032	3.929098	4.716436	3.9456706	5.064699	4.3498917	3.3243678	3.4349413	4.470099	3.1847122	3.7910204	4.4010053	4.590129	5.0892663	3.5755093	1.7149937	5.005282	4.386461	3.6296387	3.6433163	4.257386	4.3644104	4.953809	3.2955122	4.373495	4.031903	3.7431295	4.7848754	2.80917	4.9620357	2.4298499	4.4610004	4.8589783	4.5765696	4.2294407	4.303709	3.2726562	4.4818816	4.545155	4.9347396	3.4640834	5.222187	4.381638	4.119898	5.282881	3.5083268	3.6521482
ACAA1A_7954	2.212758	4.9640517	2.6172926	3.8330324	3.7578478	3.69882	4.2251916	3.8857899	3.9476762	4.7080245	4.369696	2.9625294	4.8335104	2.8216164	4.1996713	5.1007	3.8612838	3.761867	3.0889251	3.80082	3.8739398	3.2532277	4.0705585	3.0461774	4.912162	3.2158852	4.163368	4.2201076	3.4414701	4.7827773	3.2740076	3.8362825	3.783323	3.6430383	4.1640286	4.9467506	3.8709936	3.8047807	3.9513595	3.6337154	3.2726562	3.866235	4.718439	3.8226047	4.4992065	6.128234	3.9421024	4.9240613	5.156312	4.479274	3.6521482
ACAA2_7955	12.73684	11.569928	12.690186	12.085958	12.844291	13.012397	12.655207	11.904053	12.298793	12.685386	12.976652	12.820385	12.909622	12.395007	12.833234	12.41181	12.405101	12.5003805	12.806319	12.61039	11.849228	12.358885	12.411244	12.609412	12.590432	12.788671	12.138831	12.36206	13.030494	13.106994	12.809771	12.209999	12.142227	12.325067	12.759864	12.747887	12.773129	12.726576	11.987862	12.44838	12.376852	12.316063	12.418508	12.778567	12.289561	11.081214	12.566386	11.868505	11.623232	12.784325	12.427956
ACACA_32532	4.834243	5.550846	4.9118767	6.0340524	6.267933	5.6564918	5.2829895	4.7036853	5.2942452	5.739543	5.625373	5.5091987	5.550093	4.539468	4.6538568	6.1796103	5.825915	5.5425057	5.047987	5.5203614	6.4263244	5.2200823	5.5589337	5.173567	5.2191668	5.8079805	6.432307	5.433064	5.977318	5.9315615	4.882544	5.5878515	5.822259	5.7967887	5.2943096	6.500185	5.9266305	5.5649705	5.4727693	5.5183654	4.9184723	5.3382797	5.626969	5.614504	5.516453	7.0788584	5.869931	6.711238	7.477625	4.737408	5.2923317
ACADL_32776	6.639243	6.691908	6.546085	6.702249	7.1716676	7.2720523	6.3338375	6.3431835	6.6928425	7.2325253	6.3311477	6.9461236	6.501299	6.0824676	6.768543	7.333788	6.813142	6.4598823	6.8876166	6.758873	7.189443	6.1436834	7.174745	6.6118026	6.585245	6.7753277	6.823705	6.6959004	7.5083733	7.1066794	6.2820807	7.5651774	7.19686	7.2188907	6.8068805	7.2110853	7.0933537	6.7860875	6.867358	6.1518793	6.5060735	6.914821	6.64488	7.0920415	6.5489855	6.4913173	6.831775	7.173748	6.324339	6.181139	6.089962
ACADM_7957	9.870965	9.807652	9.99988	9.933058	10.723958	10.599553	10.210144	9.548818	9.998099	10.33415	10.224186	10.3728695	10.474895	10.0840435	10.379459	10.153815	10.039758	10.19637	10.370559	10.229193	10.038097	9.658686	10.598262	10.323298	10.063899	10.423738	9.881185	9.76843	10.871156	10.6930065	9.868234	10.494724	10.267731	10.33356	10.375904	10.4838	10.20193	10.312811	9.874812	9.86155	10.033822	10.004925	10.00278	10.718276	9.885518	9.296815	10.065104	10.158098	9.295044	10.055347	9.886362
ACADSB_7959	5.9964805	6.159787	5.3045044	6.0592012	6.5067034	6.2882867	6.3110423	6.3542733	5.7843184	6.385313	6.4842963	6.3268566	6.257055	5.915201	6.108296	6.1375628	6.2746897	6.0976367	6.337433	6.3516335	6.050297	5.68646	6.5039086	6.8037195	6.2732286	6.7041078	6.909265	6.1860313	6.2284193	6.268485	6.349396	6.0089607	6.461525	6.6036735	6.0758004	6.265989	6.3175764	6.266724	6.320572	6.3523045	5.3409395	5.6484146	6.6555786	6.52957	5.880129	7.0788584	6.4802103	6.4206123	5.7366014	6.295922	6.326763
