Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Heart-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.50
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: heart
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCC3_7941	140668	abcc3	0.01327433628318584	0.1447534766118837	-1.2146518	1.2146518	-1.0800945	-1.104637	-1.0228922	-1.0662796	-1.0836974	-1.0791326	-1.0943938	1.0929735	-1.2146518	0.14440276	0.14163467	0.6846254	0.35116044	0.28506336	0.14819987	0.1674181	0.45552772	0.010782491			
ACADL_32776	25287	acadl	0.014469772051536175	0.15293435999085156	-1.0829313	1.0829313	1.0042099	-1.0031329	1.0176303	-1.0021098	1.0624663	1.0462912	-1.0144365	1.017139	-1.0829313	0.8916652	0.9330506	0.6169587	0.9162381	0.15606329	0.07027366	0.6163113	0.5473344	0.0051557804			
ACD_7963	307798	acd	7.995202878273036E-4	0.05634611441459914	1.3995075	1.3995075	-1.32911	1.0989393	1.1873006	1.1978117	1.0478984	1.175221	-1.0683991	1.1555207	1.3995075	0.07836546	0.33861956	0.08445506	0.12685098	0.7478852	0.1616403	0.7413106	0.09372865	2.7990192E-5			
ACLY_7965	24159	acly	0.027664134034677577	0.20777249490580202	1.1255296	1.1255296	-1.0530996	1.0368458	-1.0161878	-1.0471439	-1.0345225	1.0540282	1.0576411	1.0631196	1.1255296	0.2391356	0.5517044	0.75290096	0.33186835	0.40246296	0.39620882	0.24899611	0.16341294	0.17779252			
ACOT2_7969	192272	acot2	0.019447287615148412	0.1738980290913013	-1.1107782	1.1107782	1.0649459	1.0525956	1.0201173	1.0068039	1.0618032	1.0195583	-1.038619	1.019655	-1.1107782	0.04138954	0.17362085	0.5481026	0.81515294	0.070955865	0.56507367	0.19480275	0.7344592	0.3391513			
ACTA2_33040	81633	acta2	0.044126917419625974	0.2484851825187135	1.4065466	1.4065466	1.0000724	-1.010772	-1.0166245	-1.0805225	-1.0136399	-1.0632753	-1.0712091	1.0549757	1.4065466	0.99910796	0.8265701	0.6800977	0.33490348	0.85027	0.16412012	0.274263	0.40276575	0.39688504			
ACTC1_32706	29275	actc1	0.00444068513427786	0.09412827640984908	-1.1153958	1.1153958	-1.0234294	-1.0137899	-1.0134109	-1.0303724	-1.0169036	1.0057919	-1.0313592	-1.0119383	-1.1153958	0.04073724	0.2750162	0.41445184	0.01562737	0.37107572	0.7958617	0.019514265	0.33254462	0.24609487			
ACTN1_7980	81634	actn1	0.01665651025797278	0.16116933165108877	1.2926644	1.2926644	-1.1666553	-1.0186098	-1.0985415	-1.0253316	-1.1729801	-1.0076107	1.0418775	1.0736992	1.2926644	0.11635511	0.8922273	0.29631793	0.7285724	0.066775516	0.84580827	0.65424526	0.25412294	0.2908173			
ADCY4_7988	54223	adcy4	0.012911034900141215	0.14455920471342967	1.6845285	1.6845285	1.0147316	1.3646569	-1.0887927	1.0483907	-1.0905409	1.2063602	1.2696987	1.2307612	1.6845285	0.95183057	0.048465215	0.5688229	0.8149845	0.5861745	0.2767614	0.035526052	0.44455764	2.0749337E-4			
AEBP1_33321	305494	aebp1	0.02661989269500619	0.20637660625734194	-1.4704491	1.4704491	-1.1429001	-1.2067505	-1.4704491	1.0660982	1.0563775	1.1587715	-1.0107536	1.3253975	1.2616858	0.16458184	0.05626402	9.5462863E-4	0.72672254	0.5488179	0.17406765	0.90861475	0.008656706	0.56180495			
