Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Kidney
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
AADAC_7934	7.319142	7.0791416	7.3010955	7.480947	6.9651346	6.8485093	7.5018835	6.965252	7.888374	7.715481	7.4064894	7.4528737	7.390999	7.448154	7.298708	7.1969934	7.5169277	6.894902	6.743213	6.6482363	6.621194	7.180493	6.1612773	7.116877	7.070033	6.539375	6.317476	6.798596	7.3493295	7.457878	7.389142	7.3271623	7.25659	7.0859327	7.510296	6.8461213	7.7897253	7.746694	7.3470626	7.4396586	6.3506474	7.663183	7.3008547	7.9641676	7.3218584	7.5305324	6.960819	7.293547	6.853193	6.7860527	7.293292
AARS_7935	9.066753	8.8669615	8.435697	8.788145	8.773596	9.240954	8.846544	8.79388	8.321	8.51032	9.2252865	8.503505	8.826827	8.773903	8.79865	8.659565	8.886903	9.137577	9.604745	8.999818	9.228322	9.484912	10.099457	8.839991	9.169113	9.2302	9.500709	9.095106	8.434427	8.871789	8.489399	9.684287	9.094569	9.005021	8.89467	8.938595	8.654929	8.579396	8.687111	8.949976	9.099425	9.035623	9.229085	8.380804	8.679974	8.77678	9.682217	8.825925	8.875407	8.356379	8.536194
AASS_7936	11.064131	11.328798	11.437723	10.666093	11.103546	11.321308	10.940776	11.099469	11.787317	11.693353	11.227107	11.285049	11.587642	11.61189	11.007677	11.086228	10.663792	11.517093	11.577574	11.393508	11.379027	11.502419	11.202171	11.080222	11.560564	11.535133	11.444803	11.492261	11.164421	11.584178	11.102157	11.613523	11.622707	10.9757395	11.049185	11.271781	11.284971	11.422995	11.620276	11.232226	10.69526	11.480271	11.444714	11.375487	11.007032	11.101532	11.204075	10.697363	11.110024	11.976739	11.350795
AATF_32691	4.891903	5.203133	5.632386	4.264532	4.9529543	5.2979665	5.129102	5.128762	5.446624	5.146574	5.0672507	5.120565	4.796353	5.000238	5.0129747	4.990865	5.5578337	5.068398	5.184936	5.0104547	5.466627	4.9578304	5.151133	5.345896	5.237003	4.5851717	5.1982503	5.1087427	4.7951183	5.0779686	4.9734597	5.372846	4.368122	5.028253	5.1166916	4.3788686	5.0331283	5.3501635	4.940383	5.039434	4.826623	5.325977	4.57151	4.4178777	5.096419	4.908594	4.592841	4.900493	4.4163203	4.7276263	5.0908337
ABAT_32557	9.3992	10.296283	10.086202	9.31039	10.001343	9.914393	9.762022	9.517134	10.150392	10.399299	9.6125965	9.666561	10.142947	10.147232	9.846899	9.727189	9.400792	9.885291	9.85629	10.00517	9.68055	9.84792	9.741627	9.434825	9.705489	9.948256	9.802402	10.019629	9.980967	9.990227	9.604756	9.811464	9.929589	9.735707	9.704891	9.768889	9.888024	10.06429	10.033005	10.066993	9.188615	9.69435	9.926043	9.795037	9.352988	9.592124	9.16289	9.391341	9.510563	9.804102	10.0123825
ABCB11_33142	3.3169582	1.9301107	0.0	1.3324665	1.3896657	1.7430478	2.0574098	2.806895	3.4929082	1.4674002	2.8121934	0.0	2.4833918	2.8482084	1.4792035	2.2497053	1.328645	2.828593	1.6045239	0.0	2.0507708	2.058706	2.2490535	1.6266253	0.0	1.3127208	1.9058187	2.093831	2.6332023	2.692166	0.0	3.1607544	4.610566	1.4140742	3.4097152	1.242372	0.9722652	2.8563197	0.8332545	2.158967	2.6606553	3.7301574	1.6185484	0.0	0.0	2.7072067	2.0156431	2.1040401	2.247657	2.5100436	1.1841468
ABCB1B_7939	5.7521358	5.8559794	4.3415604	6.0994134	4.3534756	6.979517	7.9522514	5.3917937	2.8704154	5.467546	6.7578044	5.984639	6.3326454	5.1517267	7.416629	6.568282	7.540548	4.778726	6.0949006	6.8718643	4.947717	5.502259	5.680878	6.842859	6.08073	7.3919806	6.1601105	4.62637	5.6022778	4.8626776	5.2983465	4.357298	5.0660596	7.321898	8.26807	3.8736873	5.989246	5.531444	3.262839	6.84151	4.0187364	6.6205506	6.011232	5.334337	5.595276	4.2976055	6.723833	6.631522	6.7348537	3.5526927	5.1175156
ABCC1_32904	7.682404	6.6246395	6.86597	6.824721	6.6646414	7.179659	6.9672093	6.8068233	6.232179	6.2483516	7.436899	6.875102	6.4125886	6.4120564	7.17921	7.06563	7.160846	6.919359	7.084308	6.715744	7.1701145	7.39243	6.677369	6.436359	6.518212	6.7329583	7.2136765	6.7772574	7.268161	7.175868	7.2767496	6.781823	6.5770473	7.2288895	7.268995	6.40941	6.80246	6.892528	6.5668764	6.867436	7.5551453	6.642866	6.6789494	6.277674	6.928775	7.15705	7.4469647	7.7946806	7.046784	6.777255	6.7360644
ABCC2_32541	3.0307755	3.1259522	3.2295895	2.4737833	3.0515127	3.579495	3.4954066	4.086958	3.7682388	2.4364493	2.5407248	2.4607997	2.4833918	2.440773	3.3132079	3.3239548	2.6532512	2.1345513	2.964062	3.4073625	3.6766367	2.523358	3.7017562	3.2252123	3.208169	3.1957455	2.699203	3.197237	2.7964828	2.692166	1.8658913	3.1607544	2.9638774	3.221016	3.612583	3.0895483	0.9722652	3.6671095	3.140288	2.158967	2.0150084	3.811211	2.9822538	3.2374394	3.2448244	3.3200746	3.053921	2.9256637	2.5410895	3.2812288	3.7100353
