Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Kidney-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.34
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: kidney
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCC3_7941	140668	abcc3	0.013372664700098328	0.20334316617502457	-1.1474746	1.1474746	-1.0646063	-1.013508	1.0402915	-1.0190097	-1.0282418	-1.0229924	1.0011243	1.0157168	-1.1474746	0.2370452	0.7025624	0.3226256	0.66690797	0.46184757	0.42680466	0.9775958	0.75810915	0.009439466			
ABCF1_7945	85493	abcf1	0.04532912889239259	0.3188457093519315	-1.0547273	1.0547273	-1.0451093	-1.0046644	1.0363722	-1.0102552	-1.0215803	-1.0229372	-1.0041089	-1.0105381	-1.0547273	0.06783461	0.8159705	0.060738724	0.5718574	0.16551273	0.17121556	0.7164985	0.7294888	0.08000478			
ABHD6_7951	305795	abhd6	0.01066982809721399	0.17764019448946516	-1.1346853	1.1346853	-1.0542012	-1.0347724	-1.0900296	-1.0458078	-1.0553843	-1.0217518	-1.0721374	-1.1346853	-1.0279349	0.09166598	0.3387621	0.0026827354	0.07377584	0.118748896	0.23087728	0.0029735018	0.0014129468	0.58456284			
ACAA1A_7954	24157;501072	acaa1a;acaa1b	2.103049421661409E-4	0.03362437604669691	1.1702039	1.1702039	-1.0197717	1.0025846	1.0262841	1.0201039	1.0202061	1.0204586	1.0315436	1.0369465	1.1702039	0.44888875	0.9154411	0.2564481	0.37600976	0.31926885	0.29999164	0.14689618	0.19688912	0.080081485			
ACAA2_7955	170465	acaa2	4.0461258345134534E-4	0.04999879113174246	1.0873283	1.0873283	1.0256672	1.0129696	-1.0062572	1.01334	1.0104715	1.0104724	1.0203751	1.0009116	1.0873283	0.1772394	0.5238628	0.7242149	0.37839603	0.61193264	0.58633286	0.19096343	0.9602196	0.014062124			
ACADM_7957	24158	acadm	0.043354943273905995	0.31685152404001016	1.0329431	1.0329431	-1.0079646	-1.0070353	1.0329431	1.0120567	1.0074438	-1.0070858	1.0092773	1.0203032	1.0238487	0.3947931	0.392111	0.024582582	0.2956322	0.5704248	0.46778828	0.27206084	0.097644195	0.14002112			
ACSM3_7976	24763	acsm3	0.034579252448530884	0.28069444444444447	-1.1500381	1.1500381	-1.0257674	-1.0340021	-1.0772641	1.0021036	-1.0636528	-1.0190595	1.0082821	-1.1500381	1.1234819	0.7061608	0.527623	0.18828157	0.96803665	0.411885	0.8058758	0.87953824	0.012865857	0.09103302			
ACY3_32489	293653	acy3	0.022148623473400953	0.2377618804292284	1.0809889	1.0809889	1.0186948	-1.0030345	1.0020021	1.0148299	1.0113044	1.0051754	-1.0055672	-1.0162572	1.0809889	0.2603091	0.8535086	0.94289356	0.3998245	0.49399588	0.7278053	0.7712036	0.5401786	0.27621865			
ADSL_32625	315150	adsl	0.04616283599532528	0.32251602985923206	-1.0799646	1.0799646	-1.028257	-1.0401922	1.0223138	-1.0285383	-1.0423626	-1.0400661	-1.0143816	-1.0453123	-1.0799646	0.11063022	0.24389623	0.6111303	0.40330976	0.06041695	0.18624991	0.47211346	0.15438856	0.049520396			
AEBP1_33321	305494	aebp1	0.012137823022709476	0.1920929248077137	-1.1425782	1.1425782	-1.1425782	1.0051817	1.0304703	1.0169381	1.0619602	-1.008216	1.012984	1.0580263	1.069237	0.059490826	0.84381485	0.29665077	0.4979081	0.11383147	0.76619834	0.7138387	0.20616102	0.45350057			
