Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Liver
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
A1BG_7930	5.5154376	5.282219	4.7232046	4.5326076	4.3293314	6.3104424	6.146092	5.6846924	5.271786	5.2170186	6.267673	5.741859	6.0070677	4.4500732	5.9902496	7.0456977	4.9527526	4.9141927	6.3710837	5.719958	4.725943	5.172992	5.2267427	5.3133745	4.711818	6.2711678	5.7185273	4.5696154	5.241122	4.3405547	5.2536817	5.7732453	4.480249	6.0040054	5.712198	6.3432107	5.560924	5.909013	5.3152103	5.185866	6.430599	4.9263315	6.7174807	6.2501945	4.919175	4.4275956	5.617304	6.2570786	6.2469044	4.97064	6.3486156
A2M_7932	4.937726	4.72759	2.3502016	3.6757114	2.881201	3.3978255	3.4560616	3.7469723	3.7083166	3.2799911	3.6829596	2.5852954	3.9644902	2.3325603	5.6671014	3.301502	3.6577122	3.4858491	4.653067	3.0681372	4.452417	5.218265	4.030841	4.3927975	4.080615	3.6813867	3.279927	2.632058	5.1030436	4.591672	3.4916978	3.0651286	1.4239212	4.117576	5.8425317	3.6941032	5.228014	4.1363716	3.400936	2.3209968	4.174067	2.2019026	3.3742747	3.5060575	3.848923	2.6158779	2.9440758	3.6730638	3.4522603	7.508566	4.3909903
AADAC_7934	7.681607	8.24941	9.042497	7.753887	8.726734	7.2179337	7.181644	8.753314	8.644068	8.917652	7.154797	6.5081897	8.014125	8.606946	7.993903	7.255419	8.873085	8.608005	8.211873	8.513412	8.566198	8.593457	8.746182	8.134929	8.480583	8.987817	8.353666	8.212854	6.9421635	7.8745923	8.408757	7.288029	6.734393	8.363256	8.203021	8.529539	8.394924	6.4436216	7.8021746	8.621413	7.361607	8.412277	7.698459	8.34911	8.377532	8.515182	8.45286	8.067629	8.224043	6.258207	7.5120597
AARS_7935	7.379295	7.423017	6.9538317	6.6832924	6.882707	8.632693	8.610677	7.0346227	6.7291474	6.637053	8.670362	8.928917	8.044382	6.433786	7.5646386	8.940228	6.4265013	6.9729886	7.699814	7.252016	6.8810754	7.250128	6.913712	8.263772	6.950851	6.7911754	7.580769	7.2018747	8.649005	7.497924	7.0547743	8.81212	8.462608	7.200643	7.139819	7.126876	6.901555	8.852696	8.0822115	6.840747	8.657405	6.799946	8.044021	7.525644	7.024767	6.789898	7.4915414	7.9021125	6.516877	8.636749	7.75636
AASS_7936	9.11393	8.91128	8.863633	9.203305	8.628603	8.953398	9.464458	8.62297	8.899224	8.964861	9.403699	8.921495	9.660843	8.389726	9.361219	8.729553	8.64303	8.797152	9.2466955	8.607491	9.061862	8.884237	9.140359	9.309127	9.151766	8.73094	8.871578	8.982885	9.202094	8.792255	9.131446	9.158873	8.934015	8.6164665	8.788374	8.736061	8.864522	8.821632	9.200348	8.74751	9.276485	8.600255	9.356879	9.466611	8.812499	8.46108	8.690339	8.780281	8.242772	9.140316	9.722391
AATF_32691	2.409378	2.9139721	4.120669	2.5139024	3.2862148	2.9661357	3.045104	3.1763933	2.8856955	1.5901505	2.9739285	2.5852954	2.6957984	2.8187435	2.9415038	3.1173892	2.7014403	3.0510337	2.574325	3.4395163	2.2979228	2.4854817	2.7558799	2.7283485	3.2664962	3.350593	2.4212997	3.4260373	2.755594	2.4578505	3.221435	2.6470556	2.842276	2.6033113	2.9663258	3.2525873	3.578181	2.6283505	3.3219843	2.864066	1.9781799	2.5363371	2.3502588	2.62776	1.5000542	2.6158779	1.7802451	1.5140738	2.069274	1.9105707	3.3411362
ABAT_32557	7.5087695	7.759674	7.528518	7.569372	7.5115747	7.157242	7.421816	7.2850437	7.6374164	7.4915476	7.2345905	6.8109674	7.8525176	7.245211	7.8645062	7.331455	7.2251763	7.6170626	7.8154187	7.2808566	7.163253	6.961516	7.614846	7.7924786	7.5345044	7.457897	7.706454	7.300332	7.033695	7.071841	7.871351	7.2635264	7.5050716	7.4160852	7.213942	7.4700637	7.367685	7.4778795	7.636687	7.7022505	7.7325196	7.574746	7.863537	7.797487	7.260946	7.097442	6.939488	7.2476163	7.0412397	6.894478	7.0966487
ABCB11_33142	8.917239	8.6143675	8.291587	8.256645	7.871687	9.302256	9.140957	8.310617	7.9171534	7.9522114	9.676305	9.665069	9.282106	7.9537826	8.565457	9.289752	7.8049498	8.380831	8.864921	8.359687	8.151602	8.740354	8.217637	8.94741	8.694336	7.6352797	7.958263	8.316484	9.172193	9.236475	8.156861	9.660005	9.451342	8.428486	8.77823	8.193531	8.226511	9.323292	9.1710825	8.017239	9.074174	7.679822	8.783918	8.923004	8.597793	8.128983	8.586795	8.820324	7.9881096	9.060543	8.99175
ABCC1_32904	2.0821369	3.4336748	3.0666265	3.0121117	3.029203	3.488207	2.687183	3.288564	2.8856955	3.0657377	2.5817635	3.3754005	3.0540662	2.3325603	3.0512993	2.517281	0.68850464	2.4256833	3.4478233	3.6662931	2.9124877	3.4296765	2.7558799	3.375495	3.052492	2.4855142	3.08208	2.7758899	2.627134	3.8561816	3.0082793	3.1531265	3.1464343	3.242043	3.448023	2.613164	2.8237183	2.7444851	2.7279735	3.8780603	1.7450074	2.8076494	2.5070972	2.902232	3.7213972	2.7594128	4.267636	2.9645648	2.5783901	2.543313	3.2574866
ABCC2_32541	5.8069367	5.4207582	4.120669	4.961365	5.0019016	5.7769933	6.0895844	4.6508408	4.806459	4.8654885	6.0542097	6.2950153	5.878607	4.2605095	5.50287	6.1674247	4.130398	5.1397095	5.54974	5.0176687	4.5760407	4.976199	4.8959436	5.464017	4.817409	4.8708196	5.4161053	5.09357	5.737554	5.3277516	4.7345457	6.4042153	5.8911467	5.509791	5.13246	5.390514	4.794485	6.6059575	5.690059	4.6427383	6.3496985	4.868228	6.1192417	5.0326085	5.1347394	4.383953	5.0019946	5.9456635	5.0429745	5.440571	5.6629543
ABCC3_7941	1.8856847	3.4336748	0.0	2.5139024	2.881201	3.6535742	2.9636004	2.2187026	1.9412099	1.2268404	3.5356498	4.055658	2.5534418	2.125702	2.0134	2.658931	1.7851106	3.284761	2.574325	2.2306483	2.7816195	3.8304188	1.8309125	4.055756	1.8691806	0.72874016	2.579879	2.292582	3.7095048	2.8914123	3.3172593	3.388875	3.611281	1.7032578	2.2380252	1.4362402	1.4977168	2.6283505	2.7279735	2.746243	2.1788576	2.378789	1.9737837	3.2355075	2.69724	2.4564686	3.0538995	2.845426	2.886259	3.5476182	2.3208134
ABCF1_7945	4.689109	4.5776806	4.3114448	3.919806	4.3293314	5.4346046	4.885714	4.4240203	4.0549803	4.651321	5.30914	5.3797684	4.9745092	4.042216	4.793296	5.7590623	3.4310606	4.3182406	4.380154	4.2366204	5.0723534	4.9225	3.85075	5.464017	4.385388	4.4614058	4.509865	4.9793253	5.367131	4.737679	4.6994085	5.429984	5.3517084	4.117576	4.912673	5.0625014	4.729844	5.1378736	5.273856	4.540259	5.4177647	4.2019587	4.77356	5.0037794	4.314323	4.51111	4.9461155	4.9688826	4.6113415	4.889017	5.0921593
ABCF3_7946	4.3123007	5.074014	4.582204	3.9640336	5.071853	4.8549457	4.9076715	5.0192933	4.5681663	4.8982844	5.2862773	5.4433336	5.2298756	4.4500732	4.971463	5.1873584	4.3190384	4.767496	5.157507	5.2686615	4.4087377	5.002317	4.766362	5.3580437	4.385388	4.4614058	4.9189115	5.0087457	5.02871	4.702539	4.088628	5.6874304	5.2701583	5.3393583	4.422657	4.7329316	4.477643	5.7924247	5.1421676	4.6093807	5.133543	4.573219	5.0277767	5.0885944	4.6656456	4.5900526	5.132899	5.1047883	4.309273	5.106846	5.395856
