Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Liver-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.21
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 12 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: liver
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AATF_32691	114512	aatf	0.019157852724007184	0.41189383356615444	-1.5212033	1.5212033	-1.1994355	-1.043728	-1.1266665	-1.0050734	-1.0966406	-1.0160426	-1.1700299	-1.5212033	-1.2514598	0.13952234	0.5400805	0.23389521	0.95579183	0.25736454	0.85835546	0.16690393	0.010595075	0.30720463			
ABAT_32557	81632	abat	0.020854220974533787	0.413291252574089	-1.06518	1.06518	-1.0084187	-1.0014844	-1.0136515	1.0121297	-1.0161455	-1.01064	1.031361	-1.0273995	-1.06518	0.7568511	0.93929833	0.5718949	0.42979318	0.5092436	0.3506968	0.014701603	0.25816903	0.0014803385			
ABCG2_32656	312382	abcg2	0.012101653892698669	0.36618708260499305	1.2114846	1.2114846	1.0143367	-1.0749695	-1.0015264	1.0225384	-1.046271	1.1251682	1.0130522	-1.0453033	1.2114846	0.8074722	0.26449975	0.98260844	0.8256709	0.34504625	0.0465816	0.78394395	0.55737084	0.08955157			
ABHD1_7949	313917	abhd1	0.00579073482428115	0.2426169410993692	1.3933744	1.3933744	1.2076792	1.0363969	-1.1053605	1.1995587	1.152783	1.092132	1.100928	1.1238688	1.3933744	0.080582276	0.7710807	0.36591637	0.18760167	0.27890825	0.44210595	0.24175052	0.25221962	0.046058293			
ABHD4_7950	364380	abhd4	0.007400194741966894	0.27481632291758873	1.6710601	1.6710601	1.4866985	1.3142703	1.1693051	1.4394214	1.6710601	1.4286555	1.3836948	1.2023435	1.6630156	0.09971365	0.33030722	0.53638786	0.15954393	0.034554914	0.13132638	0.2235081	0.4895241	0.055403233			
ACAA1A_7954	24157;501072	acaa1a;acaa1b	0.014616321559074299	0.3827066221765914	1.1822824	1.1822824	1.0558884	-1.0111908	-1.0393639	1.0169548	1.1031488	-1.0059665	1.0527993	-1.0198567	1.1822824	0.35231727	0.8175439	0.36035407	0.6765185	0.043266077	0.88618517	0.3934372	0.6260628	0.16922325			
ACADL_32776	25287	acadl	0.030886482150020055	0.47722856062336416	1.1479138	1.1479138	-1.0352503	-1.11829	-1.0934827	-1.1009051	1.0763797	-1.0322407	-1.0053248	1.0374643	1.1479138	0.7373321	0.21488605	0.20180115	0.2233587	0.29138264	0.63800853	0.9469369	0.5562732	0.22092403			
ACADM_7957	24158	acadm	0.021743548059337533	0.413291252574089	1.0775169	1.0775169	1.033043	-1.0250894	-1.0295883	-1.0131911	1.0476207	-1.0061477	1.0216203	1.0093609	1.0775169	0.33817166	0.44417068	0.23491675	0.53084236	0.08076532	0.77172816	0.49492034	0.6380966	0.1809564			
ACOT2_7969	192272	acot2	0.003391182924396569	0.23088303743599972	1.2842665	1.2842665	1.0396487	-1.2256329	-1.0616115	1.1176666	1.2348213	1.0118347	-1.075391	1.1208581	1.2842665	0.728163	0.08796199	0.3966728	0.21217242	0.027094675	0.8784639	0.56077737	0.112542644	0.04439815			
ADH5_7991	100145871	adh5	0.002226720647773279	0.21817210761733094	1.0715423	1.0715423	1.0373242	-1.0002673	1.0193762	1.0118561	1.0336516	-1.0022911	1.016267	1.0053517	1.0715423	0.14205928	0.9893234	0.28768337	0.5210052	0.07306185	0.8900424	0.372373	0.73736256	0.026556524			
AKR1D1_32336	192242	akr1d1	0.03095852351657075	0.47722856062336416	-1.1145209	1.1145209	-1.0400498	-1.0427973	-1.0443256	-1.037491	-1.0481071	1.004464	-1.0241487	1.0119137	-1.1145209	0.3678896	0.27783936	0.28787374	0.29582536	0.10359979	0.9006638	0.6148491	0.7371097	0.057070926			
AMACR_8038	25284	amacr	7.955449482895784E-4	0.1299920445505171	-1.0682967	1.0682967	1.0212392	-1.0144818	1.0045168	-1.0092977	1.0089428	-1.0259421	1.0047464	-1.0150794	-1.0682967	0.18628733	0.28051737	0.7073028	0.46206993	0.628401	0.28218538	0.7173453	0.23570992	0.030704524			
ATP11C_33283	317599	atp11c	0.03593908629441624	0.48568193767326256	-1.0800502	1.0800502	1.0034199	-1.0304555	1.0127093	-1.0177542	1.0136576	-1.0207162	1.0113724	-1.0033728	-1.0800502	0.8366953	0.35202396	0.3467629	0.37642744	0.48263055	0.50169814	0.6008568	0.8368942	0.24982084			
C4BPA_32954	24235	c4bpa	0.01314459049544995	0.37681159420289856	1.0694215	1.0694215	1.0133282	-1.0198203	-1.0117499	-1.0220344	1.0401211	-1.0134226	1.010815	1.0162215	1.0694215	0.61676204	0.35880968	0.59540874	0.38943893	0.08599005	0.50678754	0.5428553	0.5350432	0.158749			
C4BPB_8177	24236	c4bpb	0.005385252692626346	0.2315658657829329	1.0668383	1.0668383	1.0064081	-1.0078932	-1.030549	-1.0086915	1.0238338	-1.0105181	1.0191208	1.0069098	1.0668383	0.641941	0.61063826	0.043412924	0.62956434	0.22766979	0.5209053	0.18530844	0.74099475	0.18638556			
