Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Lung
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
AARS_7935	7.803982	8.274148	9.750266	8.152435	7.4534993	8.0770855	7.700679	8.359721	8.124474	7.6349325	7.4738855	7.7750444	7.2670293	7.964378	8.28469	8.021452	8.55326	9.086859	8.071382	7.915273	8.91161	7.7522416	8.293427	8.351168	8.505644	8.178453	7.7075906	7.9463153	8.380639	7.733822	9.089053	8.05768	9.326223	8.184381	7.86011	7.5916815	9.278667	7.6893835	7.8557096	8.385388	8.180661	7.6651297	8.272107	8.450117	7.7684193	9.00539	9.07812	9.527959	7.224467	8.992143	7.1218963
AASS_7936	4.0225945	2.3501372	1.8789985	3.8779576	3.1528513	5.024495	5.7268744	3.4995244	4.023241	4.807576	3.2751224	5.0125628	4.609625	3.4928782	2.2602682	4.076834	2.2221518	2.085858	3.4274127	0.8007204	3.800145	4.1383424	5.0946345	4.7637978	3.712118	3.4924479	5.024411	5.553514	4.043644	5.767873	1.2658277	8.294779	1.8597177	3.508436	5.036411	3.6945293	1.2891012	0.8731264	3.0922322	4.386459	6.1319327	2.0724106	4.737588	4.1330543	0.0	3.7200794	1.2759471	2.9251723	3.9930086	2.4381058	3.135979
AATF_32691	4.6549916	3.7329402	4.5211267	4.3199244	4.3092074	4.0935264	4.8785534	4.1684127	4.6772428	5.167789	4.373581	4.344823	4.6582117	3.6968467	4.822414	3.8190868	4.4282074	4.172943	4.0672793	3.843529	3.723762	3.9650462	4.0004706	3.8927078	4.388102	4.4788485	4.534031	3.6209226	4.233822	3.4229236	4.2675705	3.631716	4.838364	4.4436145	4.3379474	4.8764567	4.137767	4.331092	3.8076808	4.4847875	4.117115	4.3388047	4.2923794	3.966862	3.5847728	4.664276	4.6121182	4.377605	4.7789335	4.963406	4.261404
ABAT_32557	2.9703662	2.7772253	2.2477682	2.9728925	3.1528513	2.5265586	5.1333904	0.0	3.244535	3.8581946	4.259326	3.0634978	4.5072484	3.8755176	2.2602682	3.5901983	1.975524	2.9050717	2.955299	1.6897072	2.1990361	3.2686324	3.927467	2.675224	3.6315188	2.0549433	4.685116	4.1962185	3.1285758	4.7388835	1.2658277	7.0485477	2.0998702	1.9875869	4.2401285	1.3180891	0.78398365	0.0	4.065285	2.9332514	5.6020656	3.172283	4.2923794	0.71050537	1.9755981	1.6549355	2.1871164	2.2216442	2.6840148	0.0	2.9053998
ABCB11_33142	2.870148	1.4628887	2.541206	3.23758	1.7777706	0.0	4.4665875	2.2137566	1.430573	0.0	1.7516711	2.2265038	3.3502536	0.0	2.0117261	2.5438888	1.6778612	0.0	2.4604673	1.9883695	2.1990361	3.6959236	0.0	3.242737	1.2775058	0.0	0.0	1.7051257	2.6830223	3.7552874	1.2658277	2.121528	2.0998702	2.6299462	1.8684858	0.0	1.2891012	0.0	1.2441283	4.5768394	2.6330206	0.0	2.1832695	1.5405886	0.79346156	2.8967123	2.39636	0.7931462	3.0808835	2.6219573	0.0
ABCB1B_7939	5.093174	6.741216	8.420961	6.458712	8.459369	7.4545593	5.853821	7.543648	5.22705	8.026345	7.763081	7.4802594	7.8824854	5.0653853	6.3597183	5.4974375	7.496882	8.399587	4.7694035	5.4846625	7.197944	4.4327383	7.5191007	5.694749	8.046993	6.820335	7.552428	8.645183	5.903699	6.2351108	8.439816	7.290127	7.8063164	6.997575	6.1416297	8.071771	7.0167465	7.03049	5.507303	6.136137	7.295512	6.822808	6.0557942	8.104749	5.933684	8.153197	6.1134443	9.592378	8.348315	5.9050612	7.6875873
ABCC1_32904	7.600089	7.788948	8.548207	7.71938	7.3062906	7.107544	7.3944745	7.6778865	7.6876206	7.640686	7.4610195	7.339844	7.1359305	7.7970243	7.826116	7.7845836	7.7779913	8.360948	7.6701446	7.404523	8.116671	7.943494	8.082649	7.936469	8.0586	7.7624564	7.333496	7.648782	7.6443233	7.238834	8.651152	7.5076637	8.401802	7.9097896	7.61386	6.9908257	8.252244	7.7067165	7.537465	7.7475266	7.8357706	7.4896736	6.8919706	7.6033196	7.6937456	8.032081	8.167156	8.495172	7.2179084	8.439533	7.26882
ABCC3_7941	5.0707717	4.5391736	6.051981	5.73264	4.5147934	4.943088	5.065055	5.0506268	5.5214195	4.8479238	4.9164276	5.240309	5.140962	5.450936	5.3371534	5.812964	5.234918	5.912321	5.2680197	4.973648	5.833672	5.704859	5.572743	4.8433065	5.85718	4.258732	3.8719954	5.094028	5.0337496	4.881701	6.0664897	5.4339433	5.9572825	4.8666334	5.645373	4.351461	5.8765244	4.3895025	5.4177513	5.5688863	5.845296	4.448787	4.5862727	5.0364532	4.8873253	6.1096644	6.227318	6.270834	4.705822	5.47432	4.261404
ABCC4_32768	1.6340358	3.667966	3.6762748	3.3160174	3.7815733	3.3955991	2.9059668	3.2464948	3.1093469	3.2834303	3.4930193	2.704867	3.091846	3.1199367	2.6569831	3.953709	3.4937096	3.5294642	3.7016082	3.07377	3.2660577	4.4327383	3.389151	3.1203945	3.8609483	2.0549433	2.8007808	3.2154872	3.566084	1.6247827	4.417342	2.6695876	3.3508909	3.5994952	2.109148	4.1232457	3.7303073	3.34311	3.7353907	2.7867448	2.9429598	2.8898196	1.470359	3.5629644	2.4327908	3.7964468	3.1405618	4.3258243	2.9603305	3.5907507	3.3347337
