Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Lung-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:31.04
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: lung
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ACOT1_7968	50559	acot1	0.01951219512195122	0.7728154936740392	-1.8097908	1.8097908	-1.2630941	-1.1220776	-1.1023078	1.2362572	1.3220302	-1.0745248	1.0727128	-1.8097908	1.7251801	0.579101	0.2707985	0.5688848	0.11871738	0.28590724	0.72540325	0.77652955	0.034647398	0.22710866			
ACOT2_7969	192272	acot2	0.0410958904109589	0.8532168834292644	1.2807015	1.2807015	1.1334599	1.0533953	1.2390574	1.1261586	1.0788461	-1.0456636	1.0185989	1.0351694	1.2807015	0.26908877	0.6130226	0.01573784	0.21268518	0.37529707	0.665653	0.91987044	0.7174962	0.17974219			
AEBP1_33321	305494	aebp1	0.017317760773258157	0.7728154936740392	1.1124377	1.1124377	-1.0779065	1.0047568	-1.0604336	1.0402606	1.0975194	1.0603703	1.0175122	1.0927094	1.1124377	0.23052466	0.90414715	0.2731256	0.25649175	0.098756365	0.22346342	0.73464435	0.058058053	0.057363726			
AGL_8002	362029	agl	0.04770531400966183	0.8706219806763285	-2.8251073	2.8251073	-1.9376059	-1.198071	-1.5365614	-1.4518342	-1.3128289	-2.8251073	-2.0206249	-1.8661485	1.0687265	0.042137485	0.09292103	0.016878393	0.021923212	0.15266652	0.011555752	0.017822517	0.055273037	0.516926	3.0	10.0	
BAMBI_8130	83837	bambi	0.013584752635847526	0.7728154936740392	-1.0795295	1.0795295	-1.0196828	1.0001618	1.0046662	1.0190471	-1.002123	1.0029293	-1.0066427	1.0007694	-1.0795295	0.38472098	0.9953789	0.85308367	0.26492062	0.93592113	0.8689018	0.7267966	0.9780306	0.02003084			
BIRC5_8148	64041	birc5	0.039473684210526314	0.8532168834292644	-1.383491	1.383491	-1.0561992	-1.0872825	-1.1753204	-1.1834046	-1.064513	-1.3741765	-1.383491	-1.1159327	-1.1158088	0.010793521	0.33771178	0.06556443	0.14403333	0.10021548	0.020028621	0.0059651244	0.041890014	0.32168412			
BNIP3_8154	84480	bnip3	0.004889975550122249	0.47608695652173916	1.1352735	1.1352735	-1.0163071	1.0403836	1.0716624	1.0536515	1.088706	-1.0161	-1.0455936	1.0322355	1.1352735	0.65593433	0.021889882	0.05396185	0.010738343	0.04050194	0.6874889	0.23274691	0.3706163	0.18444356			
BST1_32671	81506	bst1	0.024508850418206576	0.8163210534790931	1.1450641	1.1450641	1.0742445	1.0301362	1.0574679	1.024272	1.0754476	1.0468829	-1.0282549	1.0508235	1.1450641	0.08546937	0.630872	0.2906026	0.59274304	0.2363683	0.27425653	0.6539115	0.49408677	0.011774698			
C3_8175	24232	c3	0.04185381788485096	0.8532168834292644	1.1160264	1.1160264	-1.0076035	1.0468936	1.0384655	1.0248411	-1.0180202	1.0658535	1.1040792	1.1160264	-1.0218326	0.769755	0.11506553	0.17054261	0.30623433	0.5352632	0.061291147	0.048083764	0.018762417	0.34818748			
CD83_32673	361226	cd83	0.022285251215559156	0.8000770518372877	-1.0889045	1.0889045	-1.0241588	1.0487196	1.0250257	-1.052856	1.0111796	-1.0331482	1.0174669	1.0250738	-1.0889045	0.3594946	0.12087468	0.5485194	0.072055094	0.71904224	0.3792986	0.4745399	0.38465968	0.10451986			
CDC6_32573	360621	cdc6	0.015296757087497451	0.7728154936740392	-2.704736	2.704736	-1.3187824	-1.1161448	-1.2656769	-1.1087608	-1.2725745	-2.704736	-2.316194	-1.4486202	-1.079329	0.17174171	0.25246894	0.0278642	0.36115605	0.06736575	0.0040805074	0.013309087	0.0011787317	0.49086633	3.0	10.0	
CDCA4_8261	500727	cdca4	0.03142292490118577	0.8532168834292644	1.3341923	1.3341923	1.0349606	1.1936595	1.2358195	1.2423582	1.1506785	1.1691554	1.1465081	1.3341923	-1.0267358	0.75728714	0.02608281	0.011734458	0.006797522	0.020344703	0.014122843	0.13873494	4.579256E-5	0.7008432			
CDO1_8275	81718	cdo1	0.0022736668044646548	0.31120814386109963	1.1539279	1.1539279	1.0546416	1.0153496	1.0525414	1.0336264	1.0637559	1.0408983	-1.0134181	1.0665267	1.1539279	0.13680942	0.6502592	0.24651399	0.42477268	0.063492134	0.34342217	0.7090421	0.090857565	0.09324906			
CENPT_32437	307805	cenpt	0.02280524722502523	0.8055401842387943	-4.827492	4.827492	-1.4011935	-1.137614	-2.0050006	-1.4550092	-1.4118794	-2.1970375	-4.827492	-2.0684698	-1.175408	0.25917634	0.53817225	0.031510387	0.097729065	0.099663615	0.0141133135	8.836723E-5	0.0038392984	0.24729744	0.1	0.3	
CERK_8293	300129	cerk	0.03431667670078266	0.8532168834292644	-1.0970387	1.0970387	-1.0193111	1.0106664	1.0755868	1.0048287	1.0496686	-1.0604068	1.0007501	1.0640451	-1.0970387	0.47984672	0.70738304	0.04545552	0.92171067	0.1218714	0.04508413	0.9839693	0.010408912	0.4063864			
CHP1_33118	500462;64152	chp1l1;chp1	0.04940944881889764	0.8747525268313014	1.1651161	1.1651161	1.1099545	1.0068105	1.0443883	1.0735364	-1.0678887	1.0241698	-1.0251502	-1.0536034	1.1651161	0.031846825	0.9107568	0.43105352	0.39480314	0.1356634	0.75476915	0.7716746	0.4501969	0.08070977			
COL12A1_32305	25683	col12a1	0.04129554655870445	0.8532168834292644	-1.2452123	1.2452123	-1.2355558	1.0489657	-1.0113379	-1.0117434	-1.0282943	-1.0464586	-1.1228817	1.1004853	-1.2452123	0.020934401	0.54737824	0.8751251	0.8940818	0.7082068	0.62745374	0.21007699	0.20608263	0.22064425			
COPS7A_8361	312710	cops7a	0.023655479175090983	0.8094609280226446	1.0709554	1.0709554	1.0197985	1.0183433	-1.0574259	1.0177252	1.0156809	1.0330213	1.0296468	1.0104598	1.0709554	0.54435766	0.51310134	0.057117242	0.3959823	0.5943134	0.08449006	0.06707445	0.5983646	0.120838836			
CP_8366	24268	cp	0.03202357563850688	0.8532168834292644	1.0844537	1.0844537	-1.009715	1.0410862	1.0406605	1.0154288	1.0596926	-1.0102122	-1.025898	1.058265	1.0844537	0.6911786	0.03802501	0.17090233	0.49658313	0.019009937	0.75987446	0.5265837	0.21389142	0.23620641			
CXCL10_8408	245920	cxcl10	0.033378879562756196	0.8532168834292644	1.5671092	1.5671092	1.1756835	-1.1785173	-1.2926348	1.0292081	-1.0310987	1.2558717	1.2603266	1.2882072	1.5671092	0.42689794	0.59633964	0.44950876	0.9086971	0.8755764	0.354416	0.2713729	0.17131233	0.16164257			
CYP11A1_32785	29680	cyp11a1	4.0064102564102563E-4	0.21935096153846154	-1.265466	1.265466	1.1887344	1.082009	1.1248473	1.0136988	1.0559444	1.010278	1.1369088	-1.0345254	-1.265466	0.027427303	0.22982003	0.07277964	0.8058748	0.37665784	0.89689314	0.03040773	0.69481975	0.0077773607			
CYP3A2_32374	266682	cyp3a2	0.0039159109645507005	0.4711395459774953	-2.0882213	2.0882213	-1.1698903	-1.1599061	-1.4318923	-1.3532683	-1.2384455	-1.9510655	-2.0882213	-1.486893	-1.2469531	0.08349206	0.17219454	6.3134497E-4	6.0346455E-4	0.010938227	0.0010310444	0.019802526	0.0061520725	0.24799727	10.0	30.0	
DDB2_8446	100362121	ddb2	9.96810207336523E-4	0.2576546369010853	1.0915533	1.0915533	1.0280397	1.0148826	1.0131766	1.0334392	1.0067204	1.0459282	1.0034345	1.0209665	1.0915533	0.12401867	0.52588654	0.5382871	0.18206382	0.65133995	0.01338814	0.9217493	0.24050471	0.012344923			
DENND2D_8461	310772	dennd2d	0.027676027676027677	0.8421752896793318	-1.0733675	1.0733675	-1.0062456	-1.0116262	-1.0125799	-1.019398	-1.0489389	1.0141697	1.0283948	-1.0009935	-1.0733675	0.8286776	0.6756149	0.56758714	0.58743334	0.102601394	0.5405553	0.18697359	0.9614432	0.0081149535			
DTX3L_8500	498089	dtx3l	0.019703432866138532	0.7728154936740392	-1.1262472	1.1262472	-1.0035397	1.0476955	-1.070505	-1.0490427	-1.0007544	-1.0127264	-1.0331588	1.0361823	-1.1262472	0.8998455	0.20585756	0.16066986	0.18501405	0.98178345	0.828705	0.4671443	0.33351305	0.12123129			
DUSP6_8506	116663	dusp6	0.04404567699836868	0.8532168834292644	1.0617878	1.0617878	-1.0170561	1.0269713	1.0245979	-1.0040474	1.0290495	1.0183498	-1.0065548	1.0467525	1.0617878	0.27094805	0.18363763	0.14130674	0.8514658	0.32331935	0.3227544	0.74658567	0.0019119116	0.39606076			
ECH1_8516	64526	ech1	0.0456754130223518	0.8532168834292644	-1.0380083	1.0380083	1.0131105	-1.013458	-1.0013137	1.0094334	-1.0235693	-1.0048604	-1.0040756	-1.0380083	1.02819	0.28702018	0.29621872	0.91569644	0.44361365	0.31120044	0.68642324	0.8251868	0.08119123	0.12585047			
EIF4EBP1_8550	116636	eif4ebp1	0.01594896331738437	0.7728154936740392	1.0810122	1.0810122	1.0651467	1.0194803	1.0081475	1.0163043	1.0103562	1.0371072	1.0200797	1.0432187	1.0810122	0.038610008	0.5120116	0.7515003	0.633177	0.6363328	0.050856978	0.4566833	0.12740485	0.009290259			
ENOPH1_8559	305177	enoph1	0.008467741935483872	0.6868279569892474	-1.1906451	1.1906451	-1.127175	-1.0177609	-1.028435	-1.0424281	-1.0750875	-1.0128168	-1.0428803	1.0303345	-1.1906451	0.0073678875	0.6486627	0.62178993	0.4610348	0.14640205	0.81196696	0.4395788	0.28192607	0.119437166			
ERO1LB_32533	364755	ero1b	0.01966349077640381	0.7728154936740392	-1.658484	1.658484	-1.0282226	-1.0067577	-1.33902	-1.2632307	-1.2289059	-1.1844317	-1.658484	-1.3816984	-1.0645393	0.6833992	0.9279717	0.03876868	0.034989502	0.12260629	0.16576327	1.8163148E-4	0.022923226	0.4967117			
EXOSC5_32543	308441	exosc5	0.04234463830621447	0.8532168834292644	1.1416954	1.1416954	1.0398263	1.0121356	1.0053145	1.066236	1.0139629	1.0208534	1.040647	-1.0443839	1.1416954	0.38291818	0.81828225	0.90239376	0.3473424	0.8213337	0.66383135	0.44671285	0.52829534	0.10228524			
F3_32469	25584	f3	0.01768092105263158	0.7728154936740392	1.112117	1.112117	-1.0316548	1.044053	-1.0018783	1.013226	-1.027629	1.0801672	1.031554	1.0895615	1.112117	0.5157928	0.12677984	0.9554042	0.49696925	0.38534403	0.051449966	0.40622878	0.062733054	0.23119251			
FANCD2_32782	312641	fancd2	0.020015546055188495	0.7728154936740392	-1.671069	1.671069	-1.2378502	-1.0000362	-1.1461335	-1.1974405	-1.0774904	-1.671069	-1.5309416	1.08448	1.206086	0.28564945	0.9997513	0.3881233	0.2774579	0.56658727	0.0070732925	0.0021657497	0.45246837	0.042858746			
FGF1_8633	25317	fgf1	0.0397324143523211	0.8532168834292644	-1.1528633	1.1528633	1.0681808	1.0166672	-1.0370411	1.0127585	-1.004574	1.1137706	1.0620137	1.0264771	-1.1528633	0.40116364	0.7775352	0.61065507	0.82375985	0.9116646	0.04967306	0.1541469	0.7304943	0.045785487			
FKBP10_33287	360627	fkbp10	0.04396482813749001	0.8532168834292644	1.088846	1.088846	-1.0803864	1.0583309	1.0576187	1.0087137	1.0378048	1.088846	1.0025042	1.0811796	1.0868611	0.15115224	0.23784718	0.30243036	0.73009497	0.30718768	0.054423142	0.9536381	0.088470824	0.230954			
FKBP5_8650	361810	fkbp5	0.0344972654606647	0.8532168834292644	1.1761681	1.1761681	1.0305641	1.0331126	1.0564095	1.0288707	1.0770655	1.0170028	1.0110075	1.0603677	1.1761681	0.54135513	0.34336588	0.19711065	0.4256666	0.0023674774	0.71719617	0.765871	0.1391272	0.3289179			
FMO3_8654	84493	fmo3	0.0012424932698281218	0.2576546369010853	1.2286682	1.2286682	1.1060426	1.0598962	1.0603131	1.0704397	1.1491278	1.0401155	1.0503839	1.0683067	1.2286682	0.036779236	0.077312835	0.18448326	0.057668783	0.020622382	0.48608616	0.34198081	0.37378356	0.06583801			
GADD45B_8679	299626	gadd45b	0.0015455950540958269	0.2576546369010853	1.266521	1.266521	1.1239746	1.093017	1.0234663	1.0169096	1.0811871	1.0380353	1.0592282	1.0956495	1.266521	0.017262554	0.1914332	0.85495645	0.79299223	0.33692768	0.5034974	0.28088483	0.120000586	0.010485304			
GAP43_32848	29423	gap43	0.019283209972730815	0.7728154936740392	1.9644071	1.9644071	1.9644071	1.7861326	1.6014878	1.7552512	1.3144766	1.646448	1.600355	1.7066383	1.4292624	0.0045124064	0.013181428	0.042032015	0.039843153	0.27813408	0.062945545	0.040762186	0.023422375	0.35784972			
GBE1_32816	288333	gbe1	0.009120900446341937	0.6887852406030636	1.1041286	1.1041286	1.0256908	1.060235	1.0366945	1.0119333	1.00408	-1.0328269	1.0191201	1.0111147	1.1041286	0.35904992	0.03453686	0.1819268	0.7530136	0.91683483	0.44922403	0.44623047	0.6782977	0.04721002			
GLUL_32832	24957	glul	0.01564129301355579	0.7728154936740392	1.0739108	1.0739108	1.0463408	1.0245365	1.0497005	1.0421576	1.0630736	1.023187	1.0363872	1.0150344	1.0739108	0.03177119	0.046875857	0.025522191	0.03962303	0.07374225	0.042485736	0.0376049	0.4163899	0.23573811			
HMGB2_8808	29395	hmgb2	0.03093812375249501	0.8532168834292644	-1.0892632	1.0892632	-1.0515642	-1.0892632	-1.0528827	-1.0299426	-1.0415933	1.0266241	1.0194851	1.0116243	-1.0159605	0.018315924	0.00442581	0.03071927	0.31078646	0.029160043	0.24247874	0.23462903	0.5321953	0.58131117			
HMGCS2_8812	24450	hmgcs2	0.0014314928425357874	0.2576546369010853	1.1514263	1.1514263	1.0638412	1.0202775	1.0395684	1.0646607	1.05912	-1.0238369	-1.0357772	-1.0220617	1.1514263	0.05284518	0.63414526	0.19414103	0.27341917	0.07951236	0.44794127	0.3395569	0.6478165	0.021884926			
HPRT1_8824	24465	hprt1	0.033152501506931886	0.8532168834292644	1.0643139	1.0643139	-1.0163782	-1.0163647	-1.0313402	-1.00393	-1.0439802	1.0014923	-1.0082366	-1.0065085	1.0643139	0.5863956	0.50619173	0.2566108	0.8749937	0.14348194	0.9671637	0.7709385	0.8115449	0.35806194			
HSD3B_8835	360348;682974	hsd3b1;hsd3b3	2.021018593371059E-4	0.15192507804370448	-1.2121619	1.2121619	1.0135697	1.0078796	-1.0112338	1.0335919	1.0324751	-1.0060945	-1.0118421	-1.0121768	-1.2121619	0.55284953	0.75471944	0.57608974	0.16763084	0.35715732	0.7838457	0.6778879	0.57916147	0.0025777502			
HSPA1A_8841	24472	hspa1a	0.030309112806101966	0.8532168834292644	-1.1574298	1.1574298	-1.1104035	1.0366492	1.0705967	-1.0425364	1.0767934	-1.0072017	-1.0495857	1.0710926	-1.1574298	0.10144734	0.4602823	0.12574318	0.3747255	0.24419801	0.8927088	0.42141315	0.3073737	0.009146318			
HTRA1_8856	65164	htra1	0.02962515114873035	0.8532168834292644	-1.0442408	1.0442408	-1.0324208	1.0061018	1.0087445	-1.0069774	1.0036174	-1.016019	-1.0092046	1.0031625	-1.0442408	0.003451775	0.71515596	0.54468894	0.57653856	0.8341702	0.28557	0.5404952	0.810517	0.19717911			
ICAM1_8859	25464	icam1	0.03437876960193004	0.8532168834292644	-1.0769136	1.0769136	-1.0397975	1.0135996	-1.0112479	-1.0215123	-1.0150768	-1.0229719	-1.0274465	1.0193552	-1.0769136	0.06659057	0.68910265	0.7242927	0.43415362	0.6007245	0.43946525	0.31107154	0.45374233	0.053964462			
IDH3A_33174	114096	idh3a	0.020114375862748966	0.7728154936740392	-1.0281216	1.0281216	-1.008285	1.0126809	1.0147834	-1.0012649	-1.0200533	-1.0017861	1.0042963	1.0061302	-1.0281216	0.41197363	0.16513844	0.40619308	0.8684848	0.08970927	0.82110506	0.5242308	0.46031103	0.13344792			
IFITM2_8870	114709	ifitm2	0.02933124755572937	0.8532168834292644	1.0675538	1.0675538	1.0114517	-1.0102583	1.0092249	-1.01282	-1.0406708	-1.0023433	-1.0061212	-1.0274653	1.0675538	0.6895163	0.6406922	0.6692608	0.67824167	0.26297155	0.92776	0.8617545	0.37791872	0.06333504			
IGF2BP2_8878	303824	igf2bp2	0.03616636528028933	0.8532168834292644	1.0823038	1.0823038	-1.0108968	-1.0026693	1.0052239	1.0115695	1.0052085	1.0416628	1.0075021	1.0247146	1.0823038	0.75173175	0.93320054	0.83143353	0.78022575	0.8911355	0.22449434	0.82573	0.34382358	0.11090253			
IL1B_8892	24494	il1b	0.004415897230028101	0.4711395459774953	1.1585345	1.1585345	1.0168906	-1.046465	-1.017159	-1.0301703	-1.0167335	-1.0085891	1.0546445	1.0122864	1.1585345	0.6602756	0.2140025	0.6273366	0.5104263	0.7422149	0.8604105	0.123606734	0.7674002	0.16119471			
IMPDH2_8901	301005	impdh2	0.02920696324951644	0.8532168834292644	1.0669888	1.0669888	1.0288376	-1.0063897	-1.0123022	1.0159465	-1.0529423	1.002437	1.0302275	-1.0298097	1.0669888	0.28880912	0.82388175	0.6933814	0.5697913	0.10549385	0.9451859	0.27485365	0.35252228	0.25040936			
IVD_8932	24513	ivd	0.008184980560671169	0.6868279569892474	1.1640128	1.1640128	1.0737585	1.0714183	1.1095349	1.10931	1.1176236	1.118598	1.0535976	1.1640128	1.1043377	0.02072586	0.15624386	0.003316118	0.0010644081	0.064482376	0.0114998175	0.0061562173	0.02970937	0.22885257			
KCNK1_8942	59324	kcnk1	0.03890020366598778	0.8532168834292644	1.0396903	1.0396903	-1.0064832	-1.0093294	-1.0131091	1.0121516	1.0062672	1.0136142	-1.0054893	-1.0218719	1.0396903	0.6433417	0.36708638	0.3175509	0.34834844	0.78870994	0.3791311	0.7485026	0.08489988	0.24880205			
LAMC2_8982	192362	lamc2	0.0016122531237404273	0.2576546369010853	-1.1734335	1.1734335	-1.010662	-1.0059348	1.0041695	1.0046502	-1.0853819	-1.0164645	-1.0307256	-1.0109328	-1.1734335	0.82814425	0.832267	0.9093069	0.89153385	0.021522192	0.714383	0.3014021	0.7812695	2.1262198E-4			
LOC100360856_32354	108351885	spetex2el3	0.026394125818614805	0.8257590791823775	-1.8238779	1.8238779	-1.0936488	-1.1168891	-1.7375932	-1.2445388	-1.1770887	-1.8238779	-1.2959422	-1.3660046	1.0734504	0.35140878	0.30792212	0.0016523381	0.16175792	0.09586991	0.0064199055	0.026823586	0.015638718	0.5735023			
LOC100910898_33247	299053	brms1l	0.009457236842105263	0.6903782894736842	-1.1089417	1.1089417	-1.0097762	-1.0066676	-1.0209965	-1.003166	-1.074671	1.0115836	1.010818	1.0192546	-1.1089417	0.6744252	0.7940729	0.32100302	0.9048231	0.051752474	0.6642707	0.5572569	0.26152498	0.1982407			
LOC100910973_9069	100910973	loc100910973	0.008450123660346249	0.6868279569892474	-1.0534321	1.0534321	-1.0088872	1.0208116	-1.0190724	-1.0207192	-1.0292028	-1.0182748	-1.004082	-1.0036255	-1.0534321	0.5977674	0.14036049	0.24302545	0.2979897	0.098246284	0.3056292	0.78631353	0.8427546	0.029330596			
LOC100910978_33295	100361383	ecm2	0.04057618178129438	0.8532168834292644	1.2060289	1.2060289	1.0971175	1.0417341	1.0825467	1.0661895	1.0406634	1.2060289	1.1214559	1.081864	1.03004	0.042051084	0.43850818	0.06855293	0.24378027	0.25886428	0.0032828522	0.0081154825	0.024704952	0.66816497			
LOC100911946_9096	100911946	loc100911946	0.037866772402854874	0.8532168834292644	-1.0756397	1.0756397	1.0271522	-1.0267569	-1.0479623	1.0019797	-1.0289102	1.0002711	-1.0291172	-1.0756397	1.0436797	0.18317945	0.26457632	0.15222272	0.9000954	0.33622056	0.989319	0.077113874	0.05487968	0.21237648			
LOC100912163_9101	84481	arid4b	0.02610759493670886	0.8257590791823775	1.0405345	1.0405345	-1.0006932	-1.0050604	1.0110844	-1.0055821	1.0060471	1.0156348	1.0004586	1.0012445	1.0405345	0.9696854	0.81044674	0.54295933	0.74858606	0.7772164	0.39908975	0.97982174	0.9454671	0.038216386			
LOC102549726_32764	102549726	loc102549726	0.018751246758428087	0.7728154936740392	1.0713514	1.0713514	1.0713514	1.0327305	1.0150559	1.0436585	1.0046662	1.0355105	1.0142332	-1.01644	1.0584788	8.3824096E-4	0.21992178	0.57391447	0.014571122	0.84304935	0.023846947	0.3574951	0.39234403	0.07123077			
LOC259245_33313	259244	mup4l4	0.004228755537656061	0.4711395459774953	-2.3520787	2.3520787	-1.5231645	-1.1466019	-1.3681214	-1.508193	-1.409755	-2.3520787	-1.914407	-1.4681362	-1.0484365	0.0072359154	0.1163233	0.023149606	0.013516751	0.0060370145	0.0071988963	3.1310038E-4	9.1456925E-4	0.68054116	3.0	10.0	
LOC290595_32588	290595	gpr15lg	0.024601456406219246	0.8163210534790931	1.6488779	1.6488779	1.4545172	-1.2269816	-1.0899533	1.1671373	1.3233333	-1.5963981	1.0259696	1.1960305	1.6488779	0.02597482	0.5573375	0.7069832	0.5497439	0.16085908	0.26769447	0.8878882	0.45704037	0.03315939			
LOC688041_9143	688041	suz12	0.021609833465503568	0.789766081871345	-1.0717094	1.0717094	-1.0092258	1.0047047	-1.0233978	-1.009098	-1.0505978	-1.0325385	1.0056378	-1.0491921	-1.0717094	0.6819056	0.8541843	0.36267027	0.65719813	0.078096755	0.13625523	0.80094564	0.04838679	0.11480092			
LOC689660_33277			0.0012200081333875558	0.2576546369010853	-16.579872	16.579872	-1.0019453	1.3135976	-1.5359443	-1.2524678	-1.1271605	-2.4835937	-16.579872	-5.3150706	1.0793418	0.99255073	0.15165354	0.1611938	0.34745565	0.5182522	0.028964156	1.5163177E-4	9.756483E-4	0.6651635	3.0	10.0	
LOC691603_32330	54269;408240;29269	mcpt10;mcpt8l2;mcpt8	0.0470144812537195	0.8652244869381992	1.1866243	1.1866243	1.0475389	1.1866243	1.1422933	1.0401409	1.1239545	-1.0376447	1.0439126	1.0770293	-1.1714932	0.48948786	0.05072966	0.08724745	0.68770075	0.09590029	0.7643073	0.65808064	0.43196994	0.110482626			
