Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Ovary
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
A2M_7932	7.796653	6.8725333	9.525743	8.004244	8.537143	7.6793404	5.880704	6.1408834	9.049217	7.162247	6.4177957	8.06698	7.0468354	7.4739575	7.077234	10.344021	8.269462	8.990546	7.6317663	8.181884	8.811603	7.1585855	8.018324	8.847924	8.552573	6.54314	7.115823	5.88693	7.7906947	8.405529	5.6753926	8.566291	7.709272	9.801478	8.42781	7.9974008	9.318524	7.8123507	9.48743	8.81787	7.781473	7.214444	7.825479	9.383439	9.7066965	7.0169106	7.305954	8.832577	10.113408	9.036847	6.0725365
AARS_7935	7.44668	8.665423	7.881214	8.380404	7.2308493	7.5020447	7.389593	7.54425	7.667076	6.784912	7.5355306	8.085575	7.621402	8.385465	7.2404695	7.647351	7.9184523	8.797157	7.667836	6.8317065	7.903534	7.3379693	7.434377	7.292024	7.956891	8.229391	8.146431	8.892449	7.3210206	7.5288405	6.7292576	7.9243336	7.5188837	8.174772	8.234492	7.740402	7.7724714	7.8379025	7.892713	8.018917	7.6901407	7.5297923	7.6921434	8.20339	8.174965	7.9329314	7.965814	7.9279456	7.987281	7.696266	7.2161555
AASS_7936	6.517415	4.08019	5.3590264	4.5186477	4.262771	6.068714	4.841634	5.364685	5.153271	6.1288967	6.616513	5.3205442	4.904746	3.7727666	4.785379	4.459328	4.4265847	6.606239	4.005708	4.6647124	5.814139	2.8689728	4.4132156	8.106195	8.83658	3.7662292	5.133775	5.058306	4.2867594	4.395547	6.2624435	3.4753637	3.3299177	6.105361	4.1692386	4.8888836	6.0167904	4.231694	6.393888	4.619103	3.7952862	4.092535	4.791779	3.9145584	5.1323915	3.335997	4.1837068	8.055199	5.5728817	8.092386	5.53191
AATF_32691	5.141675	6.228867	5.319939	5.795998	5.3328667	4.861492	4.595044	5.5569077	5.289249	5.430329	5.418281	5.841853	5.1244946	5.9684186	5.696061	5.6234097	5.332737	5.5131135	5.2153773	4.912554	5.6807857	5.649112	5.216098	5.7621317	4.917365	5.3614783	5.6873984	6.036493	5.910235	5.7429714	5.2350454	5.4094186	5.3611746	5.3533454	4.9418116	5.785133	4.776166	5.441625	5.799428	5.0470853	5.610361	5.2657757	5.171642	5.27649	5.312642	4.8792763	5.384925	6.0400715	5.1056046	5.695428	5.7062845
ABAT_32557	4.5639033	4.010672	4.296433	4.455984	4.3682246	4.301132	5.284302	4.383756	4.169949	4.891969	4.4192514	4.4043965	4.1898284	4.4793506	4.5915713	1.8579025	4.9092174	4.5222764	3.3978267	4.940742	5.029811	3.2968433	3.634867	4.3694386	4.945556	3.825742	3.2991145	3.294912	4.0983596	3.2733667	5.034476	5.186957	3.3299177	2.743565	4.38013	4.826965	3.498621	4.7757993	3.5258074	4.591154	4.278343	3.9331422	3.307396	5.0161333	3.861642	4.6036925	4.905883	3.4938712	4.265638	4.541597	3.7868865
ABCB1A_7938	1.55661	2.7159114	2.6971502	2.4287744	1.6706498	1.8053627	2.281367	2.7808099	2.649835	1.7831694	0.0	3.2248003	3.9231188	1.9557477	1.9593154	3.9725912	3.3381722	1.9396279	3.86365	0.0	1.517442	2.7387471	2.603265	1.7902299	0.67472994	2.8685431	2.2599971	1.7443887	3.4002454	2.5549111	2.700291	3.2636094	2.770071	2.362734	2.736348	3.0820458	2.4614024	2.9791927	3.1519294	1.7473754	3.5146773	2.368397	2.4462266	3.8519928	3.4943295	3.163619	3.4849544	2.2778823	3.1865485	0.53185457	2.3547843
ABCB1B_7939	9.5945425	9.825486	8.3056	8.458401	8.239999	8.773649	9.873489	8.869219	7.716165	10.095822	9.112771	9.283076	9.32024	10.111169	9.740623	7.204219	9.40077	7.8936753	7.7775497	9.286241	7.1743054	8.460306	8.194287	7.62714	8.60654	9.030738	8.304666	9.013856	8.816398	9.2881	8.98044	9.794751	9.709675	7.1797557	9.816257	9.483967	7.7935605	8.8793745	9.179936	8.62288	8.890621	9.291723	8.200341	8.562083	9.120179	8.319355	9.124229	8.139679	6.931423	8.156901	8.807943
ABCC1_32904	7.457345	7.453386	6.4896097	6.9570923	6.5346584	7.3668246	7.2683616	7.3341494	6.4164224	7.2224593	7.9064183	7.2867966	6.6197	7.8026576	7.7659197	7.3459625	6.9545293	6.899729	7.114568	6.531595	7.1989036	7.004165	6.5589194	6.8237576	6.7907567	7.28278	7.312091	8.251746	6.4432874	6.3812056	7.17586	7.6648874	6.9679775	6.743834	7.1557827	7.2323046	6.95409	6.48161	6.338712	6.932794	5.859347	6.833066	6.788927	7.3309107	6.8324165	7.084958	7.235776	6.3883204	7.163215	7.0976624	7.347521
ABCC2_32541	0.720021	0.0	1.4035724	2.2919593	1.2961458	1.8053627	0.0	0.0	0.66559047	1.1511492	0.0	0.76191807	2.0286984	0.0	0.65787303	0.0	0.0	0.0	0.0	0.0	2.577138	0.70535415	0.0	1.4000642	2.7997048	1.4431157	0.0	1.1211907	0.6756951	1.0590956	0.0	0.0	0.7196862	0.6021055	0.0	1.8029712	0.7171499	0.0	1.036884	0.0	1.1550937	1.7566988	0.0	1.1890302	0.0	1.9422795	2.077207	1.1910689	0.59121877	1.4767168	2.795797
ABCC3_7941	5.611563	5.6071396	5.590143	5.7313232	5.4812856	5.264069	5.260278	5.3164372	6.0200953	5.450609	5.418281	5.295205	5.9682593	5.6913495	5.0597997	6.6694865	6.0303845	6.1098957	6.1658745	5.3718605	4.9451056	5.2791996	5.8764277	5.04278	5.708232	6.013591	5.6696057	5.782989	6.1353397	5.452964	4.979652	6.0172434	6.0087366	5.2193666	6.3772154	5.718489	5.37739	5.963364	5.356428	5.644878	5.092912	5.6199884	5.705251	6.0916934	5.617038	6.1015315	5.743935	5.540841	5.633019	5.213686	5.5460978
ABCC4_32768	3.3306851	4.7259173	4.412458	4.2123694	4.3682246	4.1058965	3.4132502	3.040462	4.169949	4.177336	4.047853	2.163086	4.5725684	2.6281915	4.1024175	4.4933515	4.7655635	3.706341	4.912776	3.3094196	3.4508936	3.6264167	3.706744	2.9177246	4.3277974	4.041915	4.2718644	4.0760517	3.9389246	3.3520257	3.4298284	4.1458035	4.523061	3.2151945	3.780686	4.54871	3.9828036	3.9926298	3.4583843	3.3826518	4.083285	4.732097	4.0985246	4.698212	4.5197315	4.219352	4.306169	3.9179475	3.3387582	3.5482981	4.3035555
ABCC5_7942	4.3966656	3.860699	3.2892904	4.8705993	5.306575	4.4319677	4.669902	4.614093	4.466224	4.978318	4.9134526	3.51553	4.455918	4.839961	5.3930244	3.232564	4.7038417	4.3821464	3.9125736	4.0912437	4.3833714	3.954432	4.854061	4.4255376	4.564337	4.803856	4.878936	3.9718473	4.1478157	3.4975405	4.024667	4.103954	3.9888618	4.5722184	4.6881347	4.1027403	4.040397	3.5731273	4.624411	4.442662	2.9539046	4.2808905	4.1892962	3.8519928	4.3318696	4.6370444	4.7986965	4.035503	4.6028767	4.541597	4.9834595
ABCF1_7945	6.7607026	7.188066	6.907236	7.1475773	6.764517	7.0306544	6.7950583	6.534489	6.548781	6.3283873	7.002596	6.9231925	6.7980127	6.989907	6.7299795	7.214454	7.429973	7.2481227	7.3052573	6.876173	6.9607863	6.757458	7.0343914	6.704117	6.9242444	7.200863	7.1674495	7.197047	6.539072	6.3623276	7.061722	6.703847	7.0120225	7.0277133	7.311783	7.202135	7.2076616	7.067366	7.105729	6.904684	6.8922796	6.5785584	6.8176675	7.4779944	7.041117	7.195426	6.715755	6.148434	7.0792446	6.6108136	6.340159
ABCF3_7946	6.803127	7.09876	6.3017664	6.7109876	6.404356	6.988754	6.5789976	6.832009	6.156762	6.6156244	7.2890606	6.5581093	6.4470873	7.1150365	6.871951	6.8043466	7.0506353	6.793084	6.4898357	6.793575	6.4064574	6.318644	6.5877595	6.8444834	7.2746797	6.78722	7.1354	7.3503776	6.4432874	6.3140225	7.021577	7.083475	6.9302177	7.1219206	6.9563813	6.8204618	6.779054	6.314857	6.4814034	6.5382495	6.135962	6.4568434	6.5783367	6.820173	6.1406016	6.9718747	6.64015	6.6034985	6.7327566	6.687692	6.5162344
ABCG2_32656	4.640773	5.5592504	5.2173195	4.4236007	4.6863456	3.282899	4.595044	4.383756	5.546121	3.3443747	4.9592133	4.778117	4.680489	5.128219	3.272967	4.23639	5.159637	4.5222764	4.135024	4.4062867	4.506717	4.360848	5.3342705	2.9177246	4.3277974	4.356344	4.5692134	3.9718473	5.5907197	5.20005	3.058739	5.1044664	4.676905	4.3702583	4.9418116	4.6594377	4.633748	4.682172	4.71386	4.776298	4.9282618	4.8851295	5.609882	5.557036	3.9943266	5.2678814	5.1434565	4.551905	4.4772754	4.1287966	4.163334
