Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Ovary_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:30.46
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 17 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: ovary
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ACADSB_7959	25618	acadsb	0.02229676400947119	0.4795882144124955	-1.101536	1.101536	1.0204625	1.0065895	-1.0083629	1.0579761	-1.0254351	-1.03268	-1.0764309	-1.0366143	-1.101536	0.680655	0.79870576	0.749754	0.02678425	0.40638158	0.22243142	0.07648512	0.4606862	0.09365564			
ACOT4_7971	681337	acot4	0.03385049365303244	0.5226516220028209	-4.463541	4.463541	-1.456312	-1.7664452	-1.5699072	-4.463541	-1.9021403	-1.1926143	-1.6825953	-1.1894543	1.3822502	0.36883137	0.13943005	0.07781628	0.004645903	0.09227177	0.5720591	0.22771956	0.63220894	0.3072833	0.3	1.0	
ACTC1_32706	29275	actc1	0.002004811547714515	0.23017292784734644	-2.717859	2.717859	-1.2695999	-1.1694561	-1.5267111	-2.717859	-1.1040184	1.5743372	1.7414701	1.5827607	-1.1668568	0.40778008	0.3747959	0.049515694	0.015510026	0.72686034	0.005145885	4.946078E-4	0.028837847	0.48508063	0.3	1.0	
ADH5_7991	100145871	adh5	0.04864652805021577	0.571905375453298	-1.0273204	1.0273204	-1.0093261	-1.0046024	-1.019427	-1.009798	-1.0084156	-1.0155811	-1.0190533	-1.023856	-1.0273204	0.55267525	0.73395014	0.1525589	0.17723167	0.49144024	0.10139125	0.044766206	0.016110925	0.04595585			
ALAS1_8018	65155	alas1	0.002976190476190476	0.23017292784734644	1.0816232	1.0816232	-1.0490675	1.0085795	-1.0053362	1.0082853	-1.026023	1.0389565	1.0216194	1.0622841	1.0816232	0.14930113	0.6570359	0.79662466	0.69206226	0.35487694	0.17882244	0.4134965	0.066231094	0.070320964			
ALB_8020	24186	alb	0.002336448598130841	0.23017292784734644	-1.9648893	1.9648893	-1.2572834	-1.5547807	-1.2452724	-1.6873473	-1.9648893	-1.4614562	-1.4346733	-1.4814283	-1.6080685	0.0019501785	1.0194822E-4	0.3184767	1.1191625E-5	1.12970985E-4	2.4406466E-4	1.5533573E-4	0.11006426	0.116634555			
APOA2_33095	25649	apoa2	0.032632199724788674	0.5171071937397665	-3.5132291	3.5132291	-1.3475901	-1.8025994	-1.7371174	-2.0059478	-2.5529373	-3.5132291	-1.516788	-1.3081031	-1.2964594	0.025067542	0.015395691	0.23012303	0.012193044	1.2457377E-4	2.683707E-6	0.0026762611	0.37807888	0.2620186	0.3	1.0	
APOH_32855	287774	apoh	0.014628437682855471	0.422607665369358	-2.5367508	2.5367508	-1.3677374	-2.4718347	-1.7751844	-2.5367508	-2.4545727	-2.3453884	-1.8303539	-1.8535596	-1.8106209	0.0018684074	3.0035875E-4	0.28121436	0.0022802777	1.3299285E-5	0.0015250089	0.0016590277	0.07471209	0.19401222	0.01	0.1	
APON_8066	304603	apon	0.014580801944106925	0.422607665369358	-4.319537	4.319537	-1.4361614	-1.4070063	-4.319537	-2.784305	-2.5911834	-1.9842652	-1.6600777	-1.7005557	1.5294502	0.38497353	0.35741246	0.011688645	0.030548083	0.045506526	0.12206274	0.26352787	0.35622904	0.054481883	0.1	0.3	
ASCC3_8090	309887	ascc3	0.01988862370723946	0.46492558920609184	-1.0262191	1.0262191	1.0034963	1.0153185	-1.0115857	1.0207684	-1.0112734	1.0010792	-1.0055482	-1.008446	-1.0262191	0.776108	0.21983708	0.3186345	0.06740305	0.32948512	0.9264779	0.6726124	0.43299747	0.15216841			
