Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Spleen
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
A2M_7932	3.5456047	3.0586443	3.3574777	3.560242	3.685054	3.0670135	2.7307975	3.125914	1.8583468	4.701108	1.0020893	2.3254929	4.2468624	2.4853108	3.7376914	3.49322	3.4665625	3.6571267	4.294831	3.0764742	4.228669	3.4208615	4.1664906	2.8784254	3.9574897	3.7051795	3.4668822	3.4093964	3.4455554	2.8640163	3.9019144	2.7481825	3.4473686	3.762368	4.8829484	4.1497555	2.8461952	3.8506863	3.4294353	2.8672009	3.272122	3.7356005	2.9852931	3.933959	3.7487903	4.443757	3.2849705	4.048706	4.672488	3.8204393	3.3331888
AARS_7935	6.6842957	6.54183	6.774406	6.6470494	7.1127276	7.3215833	7.1027107	8.77387	6.45377	7.8269963	6.289524	6.5893707	7.0151863	6.8230996	7.297441	7.0141134	6.9902554	6.6519346	6.6928344	6.9164076	7.063454	6.8964663	6.707748	6.8038974	6.8168693	6.9779625	6.975835	7.9261785	7.28338	6.665141	7.9975038	6.4392996	6.5890617	6.794274	8.641145	7.4288445	6.364005	6.8120365	6.9804873	7.077084	6.952146	6.4847054	7.2880816	8.60056	8.108824	6.600292	6.957153	6.989047	6.9750175	6.3284416	6.9666023
AASS_7936	3.643668	1.0338023	3.471231	1.6118363	2.156972	1.4346478	1.9332373	1.5520809	1.8583468	3.4087145	1.0020893	1.0022291	3.0631406	2.2263975	4.9458776	2.2217295	1.9038626	0.8715908	2.0372567	2.3591936	1.9409894	1.3886317	2.1921742	1.8964331	2.2122133	1.9180439	3.2297103	4.9008727	0.7712642	1.4825375	1.8541217	1.3972087	2.2663147	2.7347815	2.592281	3.341476	2.438866	3.019407	3.1693838	1.4849088	1.364385	0.0	2.2761428	1.7028273	1.8558273	2.4129095	0.84413606	2.3482168	3.1138003	3.880123	2.6886315
AATF_32691	4.933914	3.8168726	4.6659026	4.593029	3.9386027	4.260557	4.293234	4.4761467	3.629821	6.114828	4.4634175	5.004316	5.2083597	5.3087473	4.8969226	4.6119366	4.8289046	5.095383	5.286581	5.37442	4.731031	4.791918	5.0883923	5.1119757	4.866037	5.214449	4.5624347	4.3398557	4.87138	4.1736693	4.8957133	4.0463333	4.5300317	4.6730957	4.798538	4.866444	4.7830853	5.642949	4.480545	5.060994	3.9963274	4.165188	4.3914804	5.3252892	4.990057	4.6566477	4.145594	4.4235597	4.672488	4.4119706	4.850014
ABAT_32557	2.5675144	1.3623968	2.9498878	1.6118363	2.3086033	1.9405812	0.6450767	0.9754093	1.4597532	1.958288	2.8109345	1.0022291	0.8619907	2.8951802	1.6119626	1.3020612	1.4998289	0.8715908	2.2871187	0.8688187	1.6460551	2.3350704	2.1921742	0.93178797	2.4704902	1.9180439	0.0	4.4498425	0.0	0.0	2.8283074	0.0	2.0174735	0.0	2.3763168	2.0163083	1.4692928	1.752512	2.6624522	1.8869371	2.3035364	0.82378626	2.0268176	1.3239976	1.5678834	2.157166	0.84413606	0.0	1.3398898	3.1304677	0.0
ABCB11_33142	3.643668	1.6298585	4.221729	2.841816	3.791877	2.1395752	3.058263	3.4144049	2.6442807	3.755531	1.5877475	4.0916557	3.0631406	3.0633786	3.035335	3.8996773	2.6969454	3.4536693	3.471199	2.5745864	2.1857433	2.5496464	2.4495406	3.457335	3.7780504	4.0659385	3.4668822	5.0480385	2.1807282	2.6742785	4.2710676	1.7869611	2.478483	3.1970189	4.0815067	2.4772134	3.5376894	3.1535068	3.3052611	2.201003	3.48997	0.82378626	2.6738586	4.1930833	4.063292	2.4129095	0.84413606	2.3482168	4.21802	3.8204393	3.4968212
ABCB1B_7939	4.1231894	3.5847027	3.7669044	2.492344	2.9854198	3.3339286	3.5499928	3.8606436	3.1501954	3.1203544	2.3252695	3.0038986	3.434366	1.9106289	3.205814	3.3961267	1.9038626	2.5796812	2.8498564	2.7619596	2.5775993	2.736401	2.4495406	3.0463355	3.3340878	3.7051795	3.4668822	3.514391	3.012148	2.8640163	2.1657794	2.7481825	3.107998	2.8649468	3.5728228	1.7155	3.2992895	2.520773	3.3052611	2.4587722	2.5170228	2.278052	2.2761428	4.1325336	4.3213544	2.8187814	3.5030258	2.7503326	3.1138003	2.8005517	2.00939
ABCC1_32904	6.3339114	5.9605503	6.7407727	6.072944	6.6201177	6.5209765	6.310546	7.7675996	5.855365	6.933245	6.252048	6.5435658	6.532395	6.7008543	6.1895	6.4142036	5.7794886	6.6519346	6.0487046	6.738084	6.7094097	6.2060103	6.4075823	6.43159	6.4776936	6.520171	5.7268567	5.99011	6.6833334	6.3688574	6.8370647	5.9605074	6.24211	6.444696	7.881159	6.576063	5.80309	6.4444337	6.6124706	6.9144826	6.7871094	5.512942	6.6682878	7.8236113	7.1543927	6.847903	5.431123	5.9246316	6.1586742	6.018982	6.8197503
ABCC3_7941	3.980356	4.5232906	4.5670133	3.9917662	4.5076156	3.8703935	4.1169343	6.059648	2.426676	4.900145	3.463228	3.9110487	5.143102	3.0633786	2.354268	4.3259277	3.2057698	2.767179	3.568792	3.9111967	4.228669	4.988582	3.6556146	3.9562628	3.9574897	4.5380926	2.779587	4.9008727	4.048657	3.5565996	2.9953353	4.527186	3.8029325	4.0075736	6.1066823	3.8781984	4.003181	3.8506863	3.9275382	3.8572307	4.3144054	3.6496935	3.891198	6.193225	5.738548	3.8049228	4.328014	3.4357173	3.3487873	3.8204393	3.711988
