Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Spleen_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:30.31
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: spleen
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCB1B_7939	24646	abcb1b	0.030577348622007644	0.5578411247257671	-1.3486843	1.3486843	-1.1514306	-1.3319908	-1.2942238	-1.0142866	-1.2455425	-1.2388386	-1.3486843	1.0124388	-1.3107976	0.1106291	0.050328817	0.0032288698	0.8241391	0.01905158	0.1192195	0.0070528793	0.9114389	0.107826434			
ACD_7963	307798	acd	0.004300634855621544	0.29689210279152867	1.0857539	1.0857539	1.052457	1.0857539	1.072314	1.0849105	1.0115708	1.0590585	1.0720568	1.0827318	-1.0753431	0.17703123	0.0061748154	0.019601662	0.0062910216	0.67480135	0.048452746	0.09213751	0.019635899	0.20310007			
ACTA1_7978	29437	acta1	0.013545347467608953	0.4602716127737013	-1.8606031	1.8606031	-1.5521171	-1.4135348	-1.8606031	-1.5585207	-1.7461948	-1.6194487	-1.5914729	-1.765345	-1.4378252	0.05227104	0.05246959	0.014495715	0.04798983	0.009753802	0.019983567	0.007190943	5.879544E-4	0.006011374			
ACTC1_32706	29275	actc1	0.018406148867313916	0.4867506039089378	-1.5990938	1.5990938	-1.0029594	1.2235351	1.1165679	-1.061998	-1.0701443	1.0391128	1.1294203	1.0229139	-1.5990938	0.9842316	0.050549436	0.40144396	0.6707027	0.5083375	0.7971388	0.318041	0.8867188	0.18963209			
AEBP1_33321	305494	aebp1	0.029034841810172206	0.5520635093252134	-1.9729861	1.9729861	-1.1719017	-1.9729861	-1.6008615	-1.2828679	-1.096894	-1.1994097	-1.0477309	-1.1229064	1.1325182	0.26860726	0.0020491597	0.0055948966	0.15407123	0.47832766	0.26623863	0.7003931	0.51288766	0.2171078			
ALDH1A1_8022	24188	aldh1a1	0.022718446601941746	0.5089269826205588	-1.7684052	1.7684052	-1.090888	1.3547207	-1.2238742	1.1988658	1.0398828	1.1790025	1.2037425	-1.152833	-1.7684052	0.5271357	0.25175694	0.1188447	0.42103642	0.82683724	0.32686064	0.12853308	0.39920074	0.0049744355			
APEX1_8058	79116	apex1	0.043683589138134596	0.6246753246753247	1.0790217	1.0790217	1.0790217	1.0398467	1.0683763	1.04145	1.0113891	1.0588303	1.0389327	1.0491977	1.0627638	0.039870434	0.08267466	0.023775883	0.12605281	0.7120297	0.032830622	0.091857955	0.04705134	0.013138968			
ARL11_32961	364396	arl11	0.012282091917591125	0.4503812302506118	1.404164	1.404164	1.1009218	1.174485	1.1827018	1.2564936	1.1207076	1.045496	1.0858743	1.0695922	1.404164	0.49100593	0.2151913	0.19608964	0.07301352	0.22050549	0.55877763	0.6810036	0.58597517	3.9827326E-4			
BAMBI_8130	83837	bambi	0.04856860809476802	0.6372946672513239	-1.096839	1.096839	1.0261469	-1.0151315	1.0395157	-1.0332092	-1.0425726	1.0174026	-1.028758	1.0217568	-1.096839	0.5740223	0.7020268	0.39125565	0.4571709	0.3362859	0.7795666	0.5000089	0.7373457	0.053932723			
BCL2L2_32990	60434	bcl2l2	0.03647294589178357	0.5806908176979324	-1.090234	1.090234	1.0108188	1.0070566	1.0760914	-1.0074391	-1.0163828	1.0308547	1.0341094	1.0766952	-1.090234	0.7861914	0.8352206	0.07571843	0.86740345	0.69207925	0.41332784	0.43673477	0.08906818	0.10230288			
BNIP3L_8155	140923	bnip3l	0.0478110599078341	0.6372946672513239	-1.0424044	1.0424044	-1.0131468	-1.0214692	-1.0077866	-1.0111943	1.0146809	-1.0167092	-1.0112644	1.0001781	-1.0424044	0.4089673	0.10096755	0.7626964	0.39653462	0.39210263	0.34955844	0.47418147	0.9916421	0.010246758			
BST1_32671	81506	bst1	0.016282764098490866	0.48653871231610024	1.1245501	1.1245501	1.0738251	1.0226309	1.0541115	1.0059328	-1.0521687	1.0472913	-1.0120572	1.009032	1.1245501	0.05849295	0.3318193	0.27608454	0.92081183	0.17729302	0.34078762	0.7465467	0.82720304	0.002013778			
CARS2_32316	361184	cars2	0.0033071517155849523	0.2758715722750448	-1.9200298	1.9200298	-1.0080532	1.3067396	1.3200003	1.1949757	1.1106005	1.3306571	1.0411593	1.36399	-1.9200298	0.96101475	0.03498373	0.19104008	0.19769157	0.54585576	0.024086881	0.840683	0.07525353	0.020557249			
CASP3_8201	25402	casp3	0.0465977773445116	0.6361511012673804	1.0506634	1.0506634	1.0315711	1.0193554	1.0228213	1.0145739	1.004552	1.0409384	1.0050138	-1.0012693	1.0506634	0.09900572	0.19279669	0.2051271	0.46688238	0.80531275	0.13866292	0.76696616	0.96607435	0.0035580408			
CAT_8206	24248	cat	0.012823042020122312	0.4503812302506118	-1.0991544	1.0991544	-1.0196849	-1.0207051	-1.0183083	-1.0115384	1.0063217	-1.0173643	-1.0212873	1.0137069	-1.0991544	0.45166698	0.45943815	0.60886484	0.7956163	0.81684905	0.6382521	0.50826746	0.67900527	0.0066476967			
CCL17_32810	117518	ccl17	0.021613276727132383	0.5089269826205588	1.1603807	1.1603807	1.0583905	1.0351739	1.0443034	1.0460984	-1.0536954	1.0274745	1.0171077	1.016522	1.1603807	0.1940371	0.38792357	0.4056656	0.4368972	0.3137107	0.50985795	0.85942143	0.78606004	0.03278913			
CCL6_32398	287910	ccl6	0.0027860696517412937	0.24250919316461172	1.1540539	1.1540539	1.0660166	1.0885966	1.0621579	1.1128038	1.0807725	1.0516547	1.0350673	1.0024533	1.1540539	0.07542153	0.062446482	0.1384719	0.028233977	0.16789125	0.18040675	0.5899861	0.9554686	0.0010599986			
CCNH_8229	84389	ccnh	0.04487052777228701	0.6281873888120182	1.0543016	1.0543016	1.0288684	1.0225799	1.0147175	1.0263966	-1.0118954	1.024126	1.0308261	1.018145	1.0543016	0.13248837	0.24537379	0.4803726	0.20094691	0.5805526	0.13189358	0.34160334	0.45724708	0.13227436			
CCT2_8233	299809	cct2	0.018068777928890615	0.4867506039089378	1.0679091	1.0679091	1.0138222	1.0123702	-1.0252081	1.006597	-1.0379212	1.0219356	1.0139779	1.0081401	1.0679091	0.4474036	0.592048	0.49524373	0.78715914	0.059128612	0.2820244	0.5247272	0.81593055	0.009615012			
CD48_8249	245962	cd48	0.010130527956360803	0.4456543064547773	1.0430939	1.0430939	1.0194178	1.0299715	1.017678	1.0278308	-1.0102719	1.0100001	1.0286374	1.011913	1.0430939	0.29027694	0.046963703	0.37135422	0.055756174	0.554035	0.43716064	0.053256772	0.45598653	0.006590394			
CDKN3_8274	289993	cdkn3	0.009249949728534084	0.42087271264830084	1.0841112	1.0841112	1.0759099	1.0831536	1.0574303	1.0538887	1.0528612	1.0067756	1.0670612	1.048447	1.0841112	0.012699802	8.9776906E-4	0.18439315	0.044830747	0.014263561	0.75739735	0.011090925	0.16528246	0.0010894581			
CEBPB_8282	24253	cebpb	0.007189934092270821	0.3787960013875311	1.0876853	1.0876853	1.0490108	1.0816748	1.0619462	1.0603485	1.0741309	1.0473175	1.0844291	1.0876853	1.0693603	0.0721441	0.028203692	0.08808539	0.014056626	0.026383141	0.03445015	1.3792975E-4	0.0017568425	0.14358985			
CEBPD_8283	25695	cebpd	0.016090584028605484	0.48653871231610024	1.094205	1.094205	1.0296549	1.0216811	1.0453835	1.0475603	1.0524927	1.0825208	1.0480903	1.094205	1.0689632	0.3356599	0.44840354	0.15782674	0.15976176	0.11439473	0.042793136	0.1168264	0.0046888115	0.25244495			
CENPK_8288	294712	cenpk	0.0015926737009755126	0.16828655788002647	-1.8449066	1.8449066	-1.4183718	-1.393263	-1.3486217	-1.5146915	-1.1056899	-1.0619626	-1.3115363	-1.4905639	-1.8449066	0.039115075	0.061950725	0.022059621	0.010384007	0.45138624	0.57925844	0.056025404	0.060119756	0.0024466636			
CISD1_8322	294362	cisd1	0.011575436531292917	0.4456543064547773	1.0582908	1.0582908	1.044291	1.0516347	1.0473752	1.0444322	-1.0025764	1.0350655	1.0370584	1.0146102	1.0582908	0.07049023	0.010497266	0.07348873	0.041593835	0.9123283	0.06841432	0.06772607	0.5106798	0.0050862385			
CKAP2_8324	306575	ckap2	0.03674698795180723	0.5806908176979324	1.1642662	1.1642662	1.0409465	-1.030301	1.1008061	1.0404505	-1.0577911	1.0663408	1.0086733	1.1128129	1.1642662	0.31684345	0.60748786	0.2516979	0.5517226	0.50787973	0.18109651	0.87570673	0.039430406	0.0021992654			
