Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Thymus
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0
A2M_7932	2.5188687	4.0502024	2.6242175	2.2843535	3.4023082	2.2546313	2.9003832	2.5657415	3.5052454	2.8104782	1.8641647	1.6579639	3.1594307	4.2240386	3.4384794	3.7853594	3.792875	2.464409	3.294797	3.7725787	3.7056699	3.8281794	1.5193479	3.6741796	2.0811713	4.3040357	3.4617538	1.6966769	2.1268055	3.6267955	3.3667293	3.1893358	2.222343	2.8764	4.1131525	2.9858232	2.8429837	1.9904245	3.0809016	1.6585646	2.77218	3.4292722	2.9222558	4.9221015	2.7427983	3.8695798	2.655959	3.3272223	2.100327	4.036192
AARS_7935	6.429011	6.7571535	6.6518154	6.5232363	6.785176	6.348232	6.8663387	6.7899756	7.5969462	8.945172	6.395371	6.7842755	6.6273465	7.3113503	6.858835	6.6907716	6.785441	6.671357	6.975684	8.04449	6.8604846	7.0714893	6.1497073	6.899021	6.565501	7.2631717	6.1839986	6.722533	6.150638	6.0573506	8.837486	6.581285	9.028948	6.7014976	7.6677184	6.814005	6.2844825	6.2238812	8.206465	6.867405	6.3393764	6.7957506	6.977575	9.157337	8.521719	6.5012136	8.413454	7.5361166	7.90912	7.48865
AASS_7936	2.2585368	4.9230056	2.5099256	1.5537186	2.0672905	3.2930205	2.5919912	3.4384506	2.8505895	2.1182804	1.2143023	1.9539274	1.577099	2.1380064	2.2585654	1.3776911	2.075549	0.0	1.679615	3.6916986	0.80978554	1.9760416	0.95107096	1.2534919	0.7192284	1.1974528	0.0	1.3186675	1.8851818	0.70551354	2.500217	0.0	2.222343	0.0	3.072373	0.82300407	1.9448626	1.1305459	1.601666	1.285707	1.4147377	2.2954214	1.9725381	3.0874538	3.5454297	0.77962667	3.1142647	1.8407383	2.100327	1.946
AATF_32691	5.3316336	5.109694	5.0207057	4.8452616	5.6107244	4.8090825	5.4151964	5.95782	5.54107	5.5581546	5.4345994	5.3908896	5.3223834	5.3860664	5.2799	5.540953	4.903782	5.3546605	5.26522	5.5142965	4.691946	5.263412	5.112661	5.386578	5.02984	4.815587	4.774124	5.39557	5.1975284	5.1055284	5.5484605	5.006028	5.729672	5.1969314	5.332037	5.0904593	5.0367284	5.2202206	5.579045	5.2893696	5.297213	5.2281933	5.5339055	5.8305774	5.164857	4.99175	5.946869	5.529316	6.0176654	5.8452477
ABAT_32557	5.397889	5.5205336	5.371029	4.939282	5.9455323	5.343667	5.887433	5.566637	5.4299507	5.637776	5.499194	4.8230176	5.414729	5.701078	5.488894	4.774819	5.6948175	5.0933657	5.7517366	5.2575617	5.060777	5.3949842	4.880973	4.7707963	5.0010123	5.166727	4.9319625	5.564532	5.5483723	5.348221	5.618521	5.065557	6.112638	5.64845	5.744755	4.989295	4.7615566	4.8555546	5.516286	5.5328617	5.574439	5.501493	5.2861247	5.914511	5.6053915	5.6152396	4.61867	4.939801	5.653088	4.2674985
ABCB11_33142	2.2585368	3.4826076	2.5099256	1.5537186	2.5326867	2.433176	0.7811262	1.6363695	3.5052454	2.6660335	1.5755196	2.5921547	2.3124866	1.604508	1.3300202	2.0693734	1.5504222	0.80996424	1.9774263	2.635904	1.3253298	2.6169958	1.5193479	2.8537562	2.0811713	2.9004745	2.0577936	2.4549835	0.74286735	2.258323	3.2538571	2.3394096	4.159139	2.525409	2.4454446	1.3437897	2.6380785	2.5254831	2.523106	2.2000766	0.0	2.6350496	1.3000005	3.9371636	3.9292405	2.406025	3.6081572	3.4171433	2.9214613	3.0734644
ABCB1B_7939	4.2463346	6.354494	4.8666825	3.8629572	5.141724	3.7627468	4.894278	4.964699	5.497644	5.5581546	4.668192	4.8944674	5.501518	5.3138804	5.439415	4.215969	5.1058664	5.244325	4.4306397	5.6489277	3.4314036	5.056381	3.9939384	6.090274	4.9415693	4.7820706	3.825909	3.925656	4.156839	3.2972136	5.5243297	4.879053	5.8987913	3.7746618	5.3583403	5.511183	3.6865058	3.4737911	5.677933	4.895317	4.6999784	5.4805946	3.6665654	5.3169913	5.4259577	4.5371275	6.555985	5.4463186	5.5555987	4.133208
ABCC1_32904	6.79753	7.2693205	6.835057	6.582717	7.3052063	6.4554725	7.1109076	6.66563	7.4622426	8.403089	6.372564	6.5609293	6.8084726	7.0697465	7.0604844	6.6104426	7.0740986	6.784103	6.9155135	7.781734	6.5830345	7.626338	6.276705	7.1725516	6.9963326	7.026074	6.361001	6.792272	6.584411	6.4392676	8.265063	6.430955	8.718299	6.6107755	7.6250243	6.507526	6.489051	6.3020763	8.27441	7.1416626	6.9957623	7.224397	6.6605926	8.476644	8.54939	6.5350556	7.8466964	7.515907	7.522122	7.2060046
ABCC2_32541	3.0993154	3.403189	2.6242175	3.3267388	3.6050746	3.38271	2.5919912	3.3417356	3.819283	3.2762852	2.310589	2.7545786	2.653025	3.4860196	3.0993474	2.0693734	4.1985927	2.0045633	2.434788	3.3134062	2.0042508	2.926336	2.0930786	3.2180166	2.4657419	2.6260598	2.2298152	2.2436357	2.9513988	2.988771	4.2950487	2.957591	3.8277605	2.3116403	2.4454446	1.7256354	2.9354646	2.667295	2.9603484	2.592888	2.5845628	2.9097645	1.9725381	4.060195	3.6307955	2.8972752	3.1142647	2.4642453	3.0415485	3.1680856
ABCC3_7941	4.281859	5.1588783	4.236068	3.9855537	4.9315243	4.4427233	4.7085466	4.418548	4.730212	5.473881	5.456454	3.558089	4.8793592	4.3735714	5.0017242	4.335016	4.342717	4.1955733	4.3806477	5.5605836	4.773642	5.056381	4.3314757	5.0967793	4.56197	4.395531	4.3581285	4.454241	3.8549902	3.3869317	4.855304	4.9439373	5.8628855	3.9328265	4.4914374	3.1194987	3.456154	3.3944216	5.1807933	4.299699	3.6625233	4.573032	3.5810106	5.365517	4.9491515	4.445191	3.8630683	3.3272223	4.5046988	4.224109
ABCC5_7942	6.600595	6.036967	6.3284206	6.3051386	7.2151275	6.325793	5.869816	5.689629	6.3164606	7.635408	6.2275867	6.3226967	5.8212867	6.0060406	6.1425533	5.9294257	6.4876037	6.1352773	6.489791	6.797968	6.1654572	6.339045	5.7096186	6.3931875	5.822269	6.185482	5.970119	6.35218	6.446386	6.0573506	6.977071	5.820172	7.920389	6.2983584	6.142998	6.5555	5.5999184	5.7844625	6.711243	5.7603955	6.231548	6.464348	5.929646	7.7117352	7.020362	5.6361804	5.8470354	5.3807793	6.1303	5.756668
ABCF1_7945	7.2062435	7.258079	7.2138476	6.747724	7.3411403	7.0070105	7.26711	7.2357903	7.676992	8.805613	7.2050767	7.140789	7.301146	7.35397	7.501227	6.9175406	7.1479077	6.9689283	7.3385134	7.9649806	7.4318967	7.3497033	6.9510503	7.151637	7.1019187	7.0753307	6.850661	7.1893554	7.0032787	7.0326447	8.239351	7.1126547	8.88421	7.126772	7.6031938	7.3579583	7.0609717	6.899017	8.159322	7.570607	6.9957623	7.3216114	7.351506	8.842912	8.6927595	7.1733007	7.3951325	6.7909303	7.5678415	7.166438
ABCF3_7946	6.429011	6.300724	6.1586323	6.1694584	6.6655655	5.939085	6.1287327	6.1977673	6.7456474	7.524569	6.34939	6.1869946	6.316263	6.2576528	6.6243496	6.6104426	6.577767	6.309785	6.218151	6.47445	6.1502433	6.377738	6.101498	6.4050183	6.5556226	6.643002	6.1522655	6.1844606	6.564017	6.162718	7.2292666	6.601537	7.62589	6.3692594	6.286885	6.5196695	6.3277826	6.0917416	7.177939	6.310555	6.6215773	6.6442504	6.4595337	7.584269	7.4424906	6.252705	7.147865	6.7131844	6.757436	6.8326454
ABCG2_32656	4.2099133	5.462949	4.843273	4.47852	5.7455416	4.217482	4.6683483	4.5967607	5.33445	5.105075	5.1427164	4.962545	5.032942	5.643339	5.307741	4.93417	5.847617	5.685443	5.292513	5.6273437	5.24392	5.1487684	4.364534	5.5012383	4.8475437	4.5227365	4.746053	5.050008	4.537635	4.5671864	5.198065	4.5019755	5.1483307	4.5361176	5.5531044	5.30211	4.2517242	4.407357	5.3582697	4.895317	5.2024736	5.501493	5.1140614	4.4683366	5.584145	5.23078	5.707607	5.718051	5.8302836	5.0671544
ABHD1_7949	1.5323318	1.9976788	1.7432796	1.5537186	3.289129	2.0508277	1.2850729	0.7680291	2.7054522	4.251379	1.8641647	1.9539274	2.653025	2.9640415	1.7097727	1.3776911	0.71634084	0.0	1.9774263	2.94595	2.2524018	2.222697	2.2428248	1.9139352	2.0811713	2.4664195	0.6109348	0.80502665	1.5947855	2.0543709	2.2873013	2.1322904	4.217171	0.8422905	2.7926984	2.0272756	1.5360565	1.7565243	2.3419492	1.9545798	2.5845628	2.6350496	2.429447	4.4232016	3.5454297	2.1964285	3.1142647	1.5540729	2.3061686	1.439266
ABHD4_7950	3.1768417	4.5330906	3.5607867	3.5812464	3.9410546	2.433176	3.4670975	3.3417356	4.8386045	5.3134065	3.6114588	3.9421756	3.7616456	4.4652896	4.4222217	2.3208613	4.038456	3.3274024	2.7815273	4.450392	3.5287352	3.900826	2.6166377	4.080491	3.6591737	3.8004797	2.6490371	3.421333	3.7140229	3.0990763	4.23684	3.720592	5.262973	3.3943403	4.6700554	3.733937	2.9354646	1.9904245	4.3695393	2.9013145	3.9995503	4.4057446	3.5810106	5.502008	4.772585	3.4638333	4.750825	5.084049	4.7358966	4.3505483
ABHD6_7951	3.0993154	4.60584	3.7234886	3.5012972	4.593035	3.0949533	3.1543224	4.1595163	4.34548	4.3957872	3.4465394	3.8005633	3.5335252	4.057195	3.94332	3.034453	3.9208848	4.4151864	4.2751465	3.8491642	3.9360316	4.1595645	4.035586	3.9573452	3.232955	4.101549	3.9293847	4.124156	3.920624	4.4048486	4.5069036	3.644553	3.9695673	4.2050543	4.2317195	3.733937	3.738773	3.6205218	4.5050006	4.2460423	4.333445	3.4292722	4.26893	4.5545793	4.527508	3.938637	3.8034377	4.2535	3.8229606	3.5657897
ABL1_7952	4.6782346	4.2449946	4.5279937	4.2529907	4.6399508	4.265432	3.9419923	4.5967607	5.5195203	6.9382873	4.6302385	4.245209	5.2983427	4.9190154	4.699442	4.4969764	4.631765	5.0933657	4.478957	5.2291846	5.060777	4.923207	4.1911035	4.532744	4.2055593	4.8803706	4.2819724	4.7226877	4.769055	4.5671864	6.615233	3.644553	6.964952	4.14166	5.1023226	4.7628226	4.355797	3.1261802	6.04697	4.929758	4.2725635	4.952743	4.213151	6.9430375	7.012431	4.241624	6.288784	5.24003	5.614879	5.272778
ACAA1A_7954	4.01259	4.416588	3.5022027	3.230842	3.9410546	3.8905556	4.6683483	3.6143644	4.1904726	5.495415	3.1573207	4.131515	3.448698	4.17054	2.818901	3.4047847	3.4967375	3.4317813	4.5709925	4.120354	3.9360316	3.9699893	4.035586	3.5937629	3.503453	3.9285393	4.025933	3.9949021	4.4063296	3.4713957	5.103507	4.318398	5.8628855	4.676929	3.9839618	3.8150077	3.3923225	3.9329104	3.9302218	4.1323442	3.5643456	3.4292722	4.213151	5.3414583	5.1064463	4.0675616	4.68626	4.3015156	4.5046988	4.884133
ACAA2_7955	9.948991	9.600534	9.913787	9.568261	9.086052	9.837803	9.5473	9.946211	10.055425	9.780072	9.991919	9.900835	9.868295	9.829548	9.969461	9.700841	9.978132	9.510395	10.045999	9.64204	10.074774	9.720802	9.866311	9.87358	9.875641	9.771502	9.742687	9.462684	10.1850395	9.918716	9.934195	9.880295	9.734082	10.066359	9.8385515	9.648155	9.916893	9.618412	9.998895	9.921102	9.829508	9.704358	9.820122	9.353538	9.790601	9.922848	9.7939625	9.777364	10.191772	10.180504
ACACA_32532	5.7031646	6.569826	6.0605383	5.402434	6.1375856	5.6266994	5.8519807	5.821006	7.06116	8.290574	6.0521145	5.5976973	6.0828795	6.891092	6.079351	5.726612	5.8636374	5.4322047	6.036367	7.243256	5.9885693	6.5228996	5.0326495	6.2948775	6.0920243	6.0371013	5.283992	5.756213	5.589311	5.7711363	8.070486	5.44758	7.9420605	5.8797374	6.963162	5.7566743	5.613979	5.7999454	7.4538975	6.038056	5.3861127	6.516612	6.5182514	7.9411707	7.974539	5.71703	6.899972	6.8241835	6.8993006	6.0944877
ACADL_32776	3.5120895	3.4826076	2.2499688	2.6233854	2.0672905	3.0949533	2.9003832	3.2380686	4.393657	4.4846067	3.1573207	2.9005527	2.9283342	4.2756243	2.6551723	3.5097454	2.619196	3.3274024	3.0608685	4.3485436	3.3270276	2.779941	2.9132533	2.5471098	3.4187996	3.1309414	2.6490371	2.8026946	2.8199723	3.2972136	4.966942	1.8903701	4.035565	2.0605931	3.1941996	2.6743705	3.9307425	3.0244071	3.391818	2.9013145	2.3688471	3.594002	3.1767366	4.750012	3.454693	3.1511369	3.975409	3.7294636	3.1524036	4.085515
ACADM_7957	7.0083814	7.438206	6.768262	6.848097	7.0855446	7.0892415	7.383419	6.8874187	7.4046307	8.214708	7.06984	6.8841925	6.8169584	7.4299283	6.97625	6.9644613	7.017943	7.044954	6.861863	7.5258546	7.222373	6.9822373	6.4329195	7.2268853	7.122139	7.162571	6.79009	6.537652	7.1196384	6.8864875	8.032495	6.916455	8.179515	7.15112	7.428	6.8238325	7.28841	7.009685	7.909558	7.1850786	6.8575053	7.273823	7.216176	8.21055	7.9786153	7.2567987	8.717978	7.6378083	7.7812624	8.172863
ACADSB_7959	4.3834667	4.7085176	4.843273	4.1518846	5.1087494	5.0471478	4.7857313	4.4652076	4.9394193	5.212998	5.1427164	4.1894817	4.286472	4.17054	4.520667	4.54716	4.9644656	4.7337728	5.058182	4.8363485	4.812818	5.9168577	4.3968515	5.7253776	4.480778	5.360844	5.028344	5.082185	4.769055	4.4883	5.13572	4.413105	5.626377	5.0664625	5.133118	5.1849923	4.5438104	4.631588	5.233767	5.2353206	4.7896147	5.2774916	4.8833594	5.2921023	5.7071676	5.23078	4.750825	4.710054	5.0541124	5.612683
