Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Thymus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:30.15
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: thymus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AATF_32691	114512	aatf	0.00897226753670473	0.15440229739964656	1.1271144	1.1271144	1.0355161	1.0058066	-1.0179917	-1.0358589	1.0104376	-1.016857	1.0233785	1.0437354	1.1271144	0.237152	0.8649826	0.6429804	0.36829132	0.7851374	0.57309514	0.45114398	0.34790513	0.0053117904			
ABCF3_7946	287982	abcf3	0.04786899013226958	0.24787578013384465	1.1247444	1.1247444	1.0601654	1.0363884	1.0025276	1.0223173	1.094111	1.0112739	1.0630778	1.1247444	1.0874462	0.2034376	0.06726485	0.8827844	0.29310983	0.086369954	0.51188856	0.053406972	0.030212019	2.6130126E-4			
ACAA2_7955	170465	acaa2	5.767012687427913E-4	0.07401526283357823	1.0521655	1.0521655	1.0246036	1.0120397	1.0195087	1.0066212	1.025756	1.0141054	1.0179399	1.0048077	1.0521655	0.06661163	0.4121213	0.19021392	0.6289231	0.076324835	0.33012825	0.16558646	0.75072825	0.0018820817			
ACADM_7957	24158	acadm	0.02454242928452579	0.2045858731651997	1.1293243	1.1293243	1.0303664	1.0032754	-1.0083542	-1.0137349	1.0514395	1.01085	1.0318334	1.1269584	1.1293243	0.46259493	0.8535205	0.78182286	0.56026596	0.273861	0.58664143	0.28489843	0.019230323	0.08978795			
ACO2_7967	79250	aco2	0.03772811154398196	0.23055836751164496	1.1550126	1.1550126	1.0679483	-1.0047579	1.0316006	1.0029353	1.0931207	1.0030131	1.00025	1.1436907	1.1550126	0.27294782	0.9319507	0.39929348	0.91758084	0.08759557	0.88735765	0.9925146	0.02069501	5.4923166E-5			
ACVRL1_32420	25237	acvrl1	8.087343307723412E-4	0.08755256518082422	1.2672628	1.2672628	1.0993816	1.0827596	1.1170973	1.0399469	1.0703871	1.0460788	1.0385872	1.0971398	1.2672628	0.057968676	0.0718247	0.07685874	0.40665412	0.098427996	0.47148985	0.3990042	0.07243788	0.13523385			
ADH5_7991	100145871	adh5	0.006752730883813307	0.14368530020703935	1.0345805	1.0345805	1.0082233	1.0117809	-1.00291	-1.0004905	1.010117	1.0080646	1.0037944	1.0106186	1.0345805	0.43802568	0.28888053	0.762487	0.9535689	0.23213108	0.32639515	0.6248523	0.4107902	0.0319918			
ADO_7995	309732	ado	0.03485576923076923	0.22533476644722109	1.5420252	1.5420252	1.010987	1.032214	1.0434741	1.0734915	1.1817191	-1.0714474	1.1933045	1.3079242	1.5420252	0.9520018	0.80074674	0.80108064	0.68609995	0.4085378	0.5585562	0.08922481	0.09805239	0.008816848			
AHNAK_32407	191572	ahnak	0.0023391812865497076	0.11688224198329292	1.1321033	1.1321033	1.0642751	1.0712992	1.0445114	1.0232009	1.0372138	1.0026357	1.0516282	1.0868943	1.1321033	0.050950766	0.0468416	0.21127729	0.57350516	0.35753906	0.92296225	0.19353084	0.0027303041	7.701995E-6			
AIF1_32886	29427	aif1	0.022532860421447944	0.20122809273208514	1.133828	1.133828	1.0160483	1.0332046	1.022585	1.0090601	-1.0148087	1.0304028	1.0098987	-1.00172	1.133828	0.56084263	0.23049743	0.25242144	0.73203224	0.5714665	0.1299159	0.46837345	0.9527706	0.40227044			
