Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Thyroid
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
AARS_7935	7.1684513	8.448609	8.436693	7.8838406	7.8314667	7.9659367	7.9858837	8.201748	7.387974	7.697703	8.175385	8.673501	8.832576	7.5447874	7.019205	8.285589	7.4850965	8.013963	7.658597	7.8151226	8.36525	8.953924	8.127902	7.5009084	8.258905	8.784419	8.545498	7.837488	7.849596	8.550702	7.12709	7.8220863	7.8912034	8.082635	8.576175	8.317901	8.124783	8.402617	8.872002	8.012312	8.063385	8.343214	7.995626	8.467688	7.044589	7.1407504	7.7732325	8.609043	7.852051	8.406494	7.715216
AASS_7936	6.7344203	7.9157324	7.7280855	7.0433106	7.874999	7.31517	7.084929	8.074688	6.993184	7.1060886	6.8547635	8.18737	7.2121444	6.8151994	7.385235	7.4168057	6.966832	7.470957	7.5270877	7.7243924	7.313214	7.8124394	7.644537	7.524782	8.191088	8.183567	7.6266522	7.133369	7.9243803	8.308705	5.9700084	6.9199753	5.8260484	7.264807	6.6016774	7.6536365	7.0832853	8.512728	8.328994	7.5946016	7.3937507	7.043638	7.225741	7.0690475	6.567047	6.3391767	6.589041	7.7815127	6.8908663	8.061245	7.6141186
AATF_32691	5.292961	6.717491	5.2581115	5.547268	6.034385	5.5967965	3.1965055	6.2377152	5.2984695	4.4815288	5.1896505	5.798482	5.612652	5.1650405	6.1522045	5.766467	5.41478	5.8585267	5.4469094	5.334533	5.05279	6.357796	5.381439	5.2430954	4.690581	3.4182136	5.474108	5.6635175	5.813076	5.713522	1.8958147	5.574338	4.3767962	5.8376117	5.7371964	5.136877	4.8396826	5.8468466	5.076492	6.006396	6.1385484	5.3945374	5.370942	5.3735957	5.315425	5.0879683	4.582996	6.1188283	5.6674986	5.7856107	5.6779003
ABAT_32557	6.3789196	6.062501	6.2864485	5.788581	6.793099	5.620547	5.289625	6.3979516	0.0	4.815547	6.326357	7.228775	6.476012	4.763345	6.614957	4.685028	5.7117443	5.564693	5.7498403	6.1775374	7.1243877	4.821302	4.386082	5.172308	6.237808	6.430846	5.3230553	5.474933	5.857374	6.0299406	3.8685486	6.675755	4.7097616	4.8379717	3.25777	6.569977	4.968497	6.1876645	7.124992	5.432611	6.324484	5.655256	6.6323037	4.764422	5.9271297	4.3272243	5.919933	5.2340655	5.3300147	7.0106525	5.6779003
ABCB1B_7939	2.7684562	3.4670062	0.0	2.0678813	2.4225185	4.0235133	2.6881588	3.302283	0.0	2.7697465	0.0	2.641788	0.0	2.828572	1.5465238	1.7623996	0.0	2.190258	2.7134972	2.8886907	0.0	3.9484248	3.395324	3.4951916	2.76384	0.0	3.4995453	3.2142823	3.5258904	0.0	4.25868	3.8967652	3.8563032	0.9896727	3.25777	1.9443814	3.8451421	3.942811	0.0	3.1879861	1.386888	2.3690426	0.0	1.7569855	1.3881917	3.2932496	2.138344	3.0299892	3.7783735	2.3000662	3.2273796
ABCC1_32904	6.592639	7.7231603	7.6361146	7.6285076	7.295778	7.5373077	7.4587555	7.6973066	7.10703	6.801905	7.8276997	8.079696	7.9418077	7.6170535	6.931102	7.814478	7.4416227	7.7350507	7.239318	7.654032	7.3907385	7.791699	7.4863873	7.1603904	7.616723	7.4386683	7.621266	8.040192	7.9654355	7.9109383	6.8938947	7.372918	8.089904	7.868102	8.379954	7.8914456	7.521556	7.373905	7.9745154	7.5264006	7.842616	7.5259376	7.2863708	6.999195	6.762402	7.1630764	7.5556707	7.6954384	7.6460514	7.6409326	6.9923306
ABCC3_7941	3.5603516	4.7334595	4.8927484	3.6675045	3.9843712	3.1752226	4.420778	5.829036	0.0	5.0017734	5.0165052	4.35521	5.6381207	4.454636	2.757743	4.9311614	4.293784	3.8444376	5.3188114	3.5827582	5.6928663	4.2208395	3.5093832	4.346473	4.736083	5.165294	4.7025976	5.429454	4.6244984	2.7289944	5.14853	5.770706	6.3074694	2.9818785	5.1004925	4.834797	4.7469378	4.895124	3.7206316	3.719191	4.871102	5.4545083	4.3415146	4.2664857	3.801162	4.923336	3.2489007	5.1716766	4.9884024	3.3812182	2.373739
ABCC5_7942	4.695783	4.8293753	4.469416	3.2500339	4.2050986	4.554141	2.527143	5.0012	4.4542303	5.1666865	5.1896505	4.5054407	4.0605865	5.266569	3.6469398	3.2887921	4.157116	4.234145	3.4843545	4.337564	3.4269807	4.0910525	3.615082	4.546311	5.1929646	4.12708	4.3325224	4.7297225	3.411701	3.6158714	4.509098	4.6334405	5.9147043	0.0	5.2158136	4.452244	4.6982293	3.8499608	5.544952	4.567878	4.2908745	3.6214852	4.2746787	2.5260246	4.1022415	4.7374673	4.301156	5.293868	3.2450461	3.7612185	3.6681094
ABCF1_7945	6.1107044	7.24668	6.958741	6.8169155	5.7603526	6.507332	6.9877005	7.678701	4.8956003	6.9787383	6.791667	7.5093036	7.262142	6.359172	6.762654	7.0246015	6.5691643	6.629451	6.1767564	6.9174714	7.295405	7.2229567	6.52185	6.592561	6.847815	6.7623615	7.004545	7.5493827	6.7423067	7.000852	6.8938947	6.3815956	6.5342703	7.47124	7.412759	7.425624	6.4798145	7.037404	7.2814636	6.976662	6.760311	7.358154	6.6587543	6.9811907	6.205308	6.24464	7.2993727	7.0137773	7.1604514	7.0367613	6.565221
ABCF3_7946	6.9724755	7.2025824	7.647031	6.9345493	7.425875	6.795112	7.4076247	7.6278806	6.3120317	6.166084	7.625446	7.7838182	8.06429	6.9019084	7.112287	7.495427	7.112557	6.9327655	6.3506193	7.5237813	7.526697	7.807282	7.0221295	7.2718034	7.0948553	8.026229	7.769834	7.325616	7.545568	7.795559	6.5046773	7.407065	6.642072	7.48718	7.9677315	8.187699	7.667863	7.8580375	7.527554	7.468097	7.4876223	7.5490446	7.243325	7.422572	7.1794896	6.545866	7.169	7.3599424	7.3504972	7.199699	7.4649844
ABCG2_32656	2.934389	0.0	4.4362383	0.0	0.90474397	0.85064816	2.3458724	4.2939577	0.0	0.97818106	2.1049793	4.6414924	4.7625465	0.0	0.0	0.0	0.0	0.0	0.0	3.3436067	3.6674838	4.976385	0.8996611	0.0	2.3609695	3.6585784	2.7848203	4.3449965	3.411701	4.2245092	3.3321447	1.5777373	2.6765513	3.5659723	1.946735	2.7436128	3.0235188	2.7551575	0.8167649	0.8570557	3.957567	1.7572628	3.8842752	2.8770435	2.0823648	2.6171074	0.0	2.316795	1.6416668	3.675185	2.777358
ABCG5_7947	3.750404	5.5738626	3.533114	0.0	2.4225185	3.9504309	2.3458724	4.6904902	4.3346705	4.1284304	4.5917635	3.8556886	0.0	0.0	4.4040723	4.4940042	3.5405674	3.752058	3.2232132	3.6889434	0.0	4.9009266	0.0	4.010051	3.5553994	3.129636	2.7848203	3.4142954	2.6459985	4.399643	3.7760508	2.7980587	3.4446194	1.9844812	4.1025233	3.2549236	3.8451421	3.2670705	2.9732559	2.9051013	4.5112395	4.093289	4.204596	4.205759	3.525289	0.7937696	4.728967	3.6945155	3.88574	4.2520294	3.0923915
ABHD1_7949	4.8697915	3.9662166	5.180094	3.8909385	4.668002	3.7921238	3.0852108	3.1664388	0.0	4.2063026	3.8285973	4.35521	3.2801507	3.902202	3.531841	4.4940042	4.7390122	3.8444376	1.9182138	3.0567777	4.214094	5.0826526	3.8923953	3.8377852	2.9296865	3.8645573	4.0413494	2.8501513	4.068487	3.1767635	0.0	0.0	2.4579573	2.9818785	4.391292	4.452244	3.309519	1.5445288	4.575527	2.3381932	4.459223	4.764801	3.0604346	3.6892498	3.420216	1.6784301	2.393198	3.861918	2.6555014	4.5706973	0.0
ABHD4_7950	4.4978714	6.1014457	5.8557673	1.6454574	4.396494	3.6142802	4.747564	6.0953364	3.5185874	5.9567246	6.136278	6.6085877	6.6859474	5.1295457	4.468086	6.120775	5.2895985	5.7190776	5.4772325	5.828417	5.250593	6.706989	5.440147	5.1479187	5.5135307	5.540518	5.850644	6.62924	6.221684	6.430507	5.9059753	3.44957	4.0251083	5.734545	6.5731225	5.9265513	6.2956295	4.585266	5.636129	5.0986576	5.825845	5.961148	3.9712656	6.2397523	4.7043915	5.148898	5.3864927	6.782847	5.755062	5.1190786	5.81284
ABHD6_7951	4.695783	4.2695646	4.3318653	5.1747165	5.4508286	3.040857	3.8002937	4.9607043	5.3610053	4.5428486	4.3793087	4.951813	4.8952103	3.902202	6.1126986	4.3320603	4.083599	4.838952	2.2345212	4.734651	4.609566	4.39595	1.8467473	3.7103367	4.8645654	4.3491073	4.7025976	3.9534304	5.1005077	3.5179799	0.0	4.1596785	0.0	5.0242977	4.455278	4.513506	4.647819	5.554899	4.4302316	3.9638517	4.5614457	3.6214852	2.482564	4.142363	3.801162	3.2932496	4.101161	5.072723	3.88574	4.366254	4.005236
ABL1_7952	5.759012	5.5738626	6.4112144	6.0884557	5.80605	5.818351	4.8868303	6.5283675	4.7629356	5.1666865	6.08457	6.5521526	6.4474845	6.8592052	6.092532	6.4842496	6.2032356	5.6694293	5.9790325	6.102666	6.745952	7.458297	6.1867995	5.607433	6.105371	6.347461	5.939884	6.365097	5.9420877	6.619375	5.5626225	5.4812436	5.893046	6.319379	6.1962714	6.707411	6.1402054	5.554899	6.456239	5.511708	5.7841682	6.397797	5.761052	5.9188104	4.9124136	5.8266363	6.3542213	6.696854	4.665791	6.5488276	5.7692475
ACAA1A_7954	4.3292985	5.4586015	5.010133	5.335451	6.3899136	4.9029994	5.043905	6.113921	5.391285	5.1666865	5.635268	5.5444846	4.6668024	4.808936	5.9428763	5.5624657	4.9188623	5.4808283	4.9377456	5.0457006	5.05279	5.521006	5.5508475	5.072175	6.2219033	5.862254	4.99686	5.6830273	6.04143	4.904674	4.671966	4.513184	5.34165	4.1503553	5.2522926	5.708107	5.361579	5.8226166	6.2261386	5.8117533	4.985849	4.8266225	5.685881	5.197656	4.658929	4.477311	4.681932	4.440132	5.0816827	5.7010627	4.6102176
ACAA2_7955	11.602566	11.290836	11.443257	12.143383	11.874598	11.830041	10.389962	11.185972	11.0558405	11.870797	11.703518	11.637897	11.735247	11.054492	11.590327	11.359802	11.818599	11.355597	11.464992	11.639046	11.7534	11.422614	12.020985	11.921808	12.131907	12.51039	11.9883995	11.734687	11.4098835	11.433219	11.5242815	11.778686	10.741097	11.087152	11.402773	11.385325	12.253405	12.160819	11.422733	11.500581	11.923552	11.445037	11.2475	11.175849	11.917239	11.999981	10.739728	11.968929	11.600899	12.615083	12.2807865
ACACA_32532	8.287494	9.035969	7.7177677	9.032154	8.607355	7.413616	8.104793	7.8983016	8.253723	8.487529	8.718255	9.465656	9.933549	8.42492	8.325832	9.260944	8.812176	8.178285	8.85012	8.464868	9.887629	9.306218	8.720057	8.0374775	9.697117	9.569364	8.34117	8.499504	8.341835	9.806316	8.26917	8.922861	8.9628315	8.418123	8.928677	9.151895	10.444417	9.390217	8.9473715	8.389185	8.998263	8.91251	8.786382	8.067937	8.121025	9.025475	8.226773	8.934348	7.94187	9.513754	7.8882036
ACADL_32776	3.9954603	4.4614086	4.791439	5.6114845	5.3921103	3.8734477	5.158307	4.2939577	4.7629356	5.416473	5.6824107	5.655798	4.9368525	4.7162657	4.644667	5.2662005	4.5335054	4.090635	3.5991027	4.57764	5.519622	5.0826526	4.8429832	5.0978675	5.731405	6.22198	5.375183	5.6236887	5.3378773	4.5056024	5.7198706	4.449075	4.8954988	4.3725824	4.391292	4.452244	6.4941525	4.748498	4.020505	4.8775887	5.1588826	4.9428434	5.6334987	5.0671854	2.0823648	5.8266363	4.5308614	5.8665195	5.47461	5.865477	4.6588054
ACADM_7957	8.768857	9.033454	8.751901	10.294314	8.88529	9.310186	8.520304	8.318519	8.75653	9.719291	8.903738	9.375836	9.939962	8.685423	8.628595	8.977988	9.577728	8.743706	8.490096	8.702081	9.489834	9.25978	9.753493	9.260526	9.847219	10.251548	9.49433	9.397722	9.174348	9.284268	8.893049	9.607548	8.472314	8.737542	9.178952	9.40322	10.157394	9.656667	9.411461	9.431785	9.609386	9.230985	8.753012	8.846502	8.982027	9.392838	8.6559	9.602768	9.187381	10.2920885	9.5883465
ACADSB_7959	6.7344203	7.2725053	7.0492983	7.374661	7.0615196	6.5818133	6.450186	7.210963	6.869579	6.0441465	6.6565385	6.775637	7.0123925	6.880715	6.7106786	7.167515	6.8608036	6.729746	7.109824	7.1675367	6.8714557	7.2761855	7.1507354	6.6370497	7.154724	7.576881	7.2753396	6.861014	6.844878	7.3809447	7.503939	6.3643193	6.6025844	6.921955	7.25092	6.981213	6.868966	7.252192	7.429002	7.1840634	6.893668	6.6579766	6.007348	6.079752	7.0708623	6.8044324	6.8665023	6.823994	7.002429	6.793044	6.98282
ACADVL_7960	8.609265	8.7899685	8.748527	9.8545885	8.719068	8.958397	8.310545	9.175164	8.74778	9.6530485	9.381892	9.50484	10.322266	8.947363	9.136808	9.255307	9.53355	9.003676	9.196131	8.877949	9.700707	9.491246	9.382696	9.243361	9.861404	9.809513	9.364959	9.2793455	9.055792	8.996928	8.920317	9.326787	9.087255	8.541569	9.576083	9.322073	10.021706	9.57562	9.406613	9.1623745	9.48321	8.81865	8.670927	8.949637	8.942258	9.252397	8.628254	9.553158	9.14208	10.169615	9.3704405
ACAT2_7961	6.489733	5.196129	5.5648255	5.9462957	6.0908604	5.9365983	4.9831114	5.85136	5.19927	5.9109435	5.4016967	5.81776	6.3273754	5.9139223	5.987242	5.53791	5.937172	6.629451	4.594722	5.8964887	6.2501297	5.953287	6.6640964	5.8685155	6.1564703	6.6274724	5.54409	5.497146	5.457819	5.365056	4.1886406	5.744238	6.2743454	5.0673475	4.885092	6.694242	6.8467913	6.431463	6.3922873	6.331116	6.1385484	5.434794	5.4638724	6.284486	5.868425	6.3391767	5.7015066	5.9800935	5.211185	6.254674	6.4594774
ACBD3_7962	4.7854095	4.048239	4.76496	3.7835426	4.0617604	3.8734477	4.3260455	5.444628	4.715857	4.815547	4.979235	4.5522313	4.1340313	3.902202	4.5293794	5.0046835	2.6595085	3.0228548	3.705393	3.2073088	4.6660943	4.9009266	3.8923953	4.9645705	2.76384	2.285719	4.742834	5.2837234	3.991074	4.604309	0.0	3.3121655	3.0340416	5.0242977	4.6317887	4.628738	4.8396826	4.641754	4.210497	0.8570557	4.6569023	4.9146543	2.482564	4.764422	4.658929	3.1810358	4.4205756	5.072723	3.88574	4.522238	0.0
ACD_7963	5.381854	6.64025	4.7104974	6.154606	5.165449	4.6950274	4.8532534	6.254564	4.3346705	5.349407	5.5615344	6.3551197	4.5642495	5.0174985	6.0720797	6.277312	5.8288565	6.121109	5.4159355	5.123508	5.5797114	6.1935863	5.6782527	5.7275066	6.4161296	4.600295	5.6324124	4.9060993	5.9003525	5.7570825	5.4473815	4.7444396	5.9360423	4.8868575	5.515022	5.7595882	5.2976217	6.3147073	5.568292	4.4656343	5.674385	5.861297	5.8090744	5.88047	5.764941	5.2635417	6.4415293	5.826584	6.1273956	4.7912235	4.3976364
Ace_34123	5.7140675	6.969845	7.2630553	6.628039	6.214627	7.034924	6.8667126	6.734582	6.674084	6.9221683	6.533379	6.8049145	6.836549	6.9331264	7.092115	6.815775	5.7117443	6.521659	6.549232	6.502772	7.0306225	7.110218	6.5882506	6.314364	7.1630774	7.56954	6.4456496	7.2160482	7.3808293	7.331373	7.7728467	7.5666347	6.2404428	6.8249426	7.3383555	6.820816	7.358719	7.1777344	6.8577223	6.7343564	6.4629936	6.5612807	6.684728	6.9351707	5.764941	6.4401383	6.0917134	7.10006	7.1059804	7.1367145	7.0752163
ACLY_7965	8.42632	8.467365	7.710848	8.351628	8.266874	7.6910286	7.7324767	7.6724453	7.3728786	8.27358	8.410543	9.024066	8.843565	7.8420553	7.9865694	8.7404	8.433774	7.2268133	8.700714	8.442272	9.352335	8.756687	8.457706	7.520039	8.894652	9.176259	8.344442	8.237816	7.838589	8.805335	7.6015015	8.17901	9.051041	8.260109	8.7360525	9.144651	9.897761	8.550101	8.526621	8.083083	8.139727	8.213273	8.862317	8.381085	8.694435	9.161064	8.034231	8.879291	8.1173525	9.330654	7.8096905
ACO1_7966	6.800407	7.754042	7.2583175	7.3466353	7.116963	6.532589	6.8065805	7.798432	6.869579	6.85122	7.445847	7.8648267	7.79669	7.0798216	7.1518044	8.054106	7.1032867	7.1564765	7.009652	6.8389187	7.636866	7.968428	7.1061096	7.059397	7.7722445	7.818979	7.7353487	7.287888	7.4475503	7.8569064	7.503939	7.603914	7.1510024	7.518542	8.232547	7.2387195	8.03937	7.6327047	8.004769	7.126589	7.872753	7.6970625	7.0767713	7.7008023	7.2113323	7.1995354	7.568658	8.090583	7.450068	8.190913	7.3289795
ACO2_7967	6.800407	6.871882	6.63971	7.5487537	6.902325	6.990045	5.6041574	6.6479654	6.558758	6.7377925	6.6915255	7.6011767	7.509879	6.1799207	6.64296	6.815775	7.2021227	7.1743846	6.6722875	7.2991066	7.579158	6.771963	6.848784	6.893271	7.228218	7.8676753	7.431207	7.075494	6.682005	6.8379803	7.191179	6.2372193	6.018372	6.9101796	7.0165353	7.145037	8.092164	7.7971663	7.0357146	7.1012383	7.1115203	6.748597	6.506881	6.9811907	7.287993	7.1850624	6.308502	7.3316884	6.8648577	7.755417	7.4717994
ACOT1_7968	5.4103084	7.0615764	6.402652	4.8414755	6.1452084	5.9922757	5.563209	6.6479654	3.9018054	5.6847897	6.5839114	5.8367844	5.9743795	5.0174985	5.615537	6.5097275	5.0010233	6.667883	4.8005877	6.559863	5.4569206	6.440065	5.0456276	6.34687	6.908694	6.6829505	6.304922	6.911507	5.8353953	6.274378	6.1466393	6.011684	5.242371	5.734545	5.657836	6.511115	4.968497	7.0789104	6.456239	6.415812	6.1549916	6.447833	7.1154804	6.369995	5.315425	5.343916	4.4767723	7.8022523	5.810618	7.0106525	6.842638
ACOT2_7969	3.918309	1.5001444	4.9643188	5.9709835	1.4565036	3.9504309	3.299826	4.227241	4.4542303	4.2063026	4.5917635	4.063774	5.265762	5.1650405	1.9566836	4.2737703	4.357551	2.190258	4.066156	2.479153	4.2879996	4.501896	4.7988	4.5084968	3.336532	5.2411795	4.1649547	4.0765543	4.403309	5.1853967	3.0455923	3.3121655	3.320306	2.9818785	4.6861324	4.735443	4.7469378	5.110574	5.447622	4.0369797	4.030674	2.915816	2.7019212	4.4866633	3.525289	4.6972365	3.8689096	5.13944	4.8886714	5.330847	4.078502
ACOT3_7970	2.7684562	4.576454	5.1999974	0.0	3.902594	3.8734477	0.0	3.4264295	0.0	0.0	4.4354267	3.8556886	4.4538455	3.2808943	2.949336	3.6963384	3.016301	4.234145	3.3596845	2.2205033	4.136197	4.939149	2.4136317	2.9353123	3.8317654	3.8645573	3.1859977	5.092717	4.461866	4.8250422	0.0	3.1602833	4.102639	3.151514	4.180312	0.9631601	2.8559995	3.1157577	4.378355	3.719191	2.5473065	4.093289	0.0	2.5260246	3.420216	4.0992246	2.393198	3.938857	2.6555014	4.617582	3.4645092
ACOX1_7973	7.1684513	7.557983	7.2002115	7.2888966	7.27155	7.3861675	6.7438326	7.6661625	6.5851946	6.415966	7.3098536	7.7984486	7.756556	7.0890903	7.385235	7.7517996	7.3188496	6.765629	7.710573	7.4947953	7.407415	7.8679833	6.36403	7.436921	7.4492354	7.885521	8.023623	7.863371	7.572392	7.811142	6.68083	5.8719764	6.955895	7.3631	7.900369	7.3008556	7.4932837	7.784678	7.7273903	7.0491595	7.3798275	7.3685827	6.521368	7.4490128	6.8859286	7.0398016	7.6132135	7.7337294	7.5432086	7.77623	7.1704526
ACSL6_32382	0.0	1.5001444	2.3303008	0.0	2.4225185	3.7059407	0.0	4.006305	0.0	0.0	0.0	1.3204511	0.0	0.0	0.0	0.0	3.1662762	2.6658037	2.7134972	3.4681323	3.4269807	0.0	0.0	4.0631866	2.76384	0.0	1.6822661	1.6183577	0.0	0.0	0.0	3.989829	3.9431734	2.7896054	0.0	2.2625241	3.1735945	0.9697815	0.0	3.719191	1.7751389	1.4778954	3.211015	0.0	1.3881917	1.6784301	0.0	2.0655012	5.1261544	0.0	3.4645092
