Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Thyroid_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:29.58
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: thyroid
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ACAA2_7955	170465	acaa2	0.016733067729083666	0.7467403654230002	1.0606371	1.0606371	1.0113847	-1.0030005	1.0165763	1.0512083	-1.0081427	1.0163747	1.0032959	1.00787	1.0606371	0.593735	0.8841444	0.40610802	0.027582128	0.7255974	0.5472426	0.86777925	0.78436726	0.124974914			
ACADVL_7960	25363	acadvl	0.035209866719713545	0.7577163318082355	1.0747578	1.0747578	1.0704021	1.0314367	1.0487939	1.06925	1.0204285	1.0575246	1.0239066	1.0190487	1.0747578	0.07416894	0.1771544	0.06842645	0.014045664	0.33063823	0.12186356	0.37231302	0.4706982	0.14976518			
ADRB2_7997	24176	adrb2	0.011126846044911997	0.6472978303747534	-1.0992739	1.0992739	1.0789281	1.0725994	1.0421093	-1.0001007	1.0609667	1.0000817	1.0425454	-1.0184737	-1.0992739	0.011805315	0.14228813	0.23898414	0.9984172	0.084992975	0.9981462	0.27914578	0.47377494	0.24716695			
AGXT2_32707	83784	agxt2	0.004190476190476191	0.500994708994709	-2.8613324	2.8613324	-1.1882288	-1.4739745	-1.5964034	1.0836287	-1.2332586	-1.2162663	-1.2657818	-1.3511468	-2.8613324	0.48632276	0.10434274	0.063481525	0.8101617	0.41964883	0.35907593	0.3395948	0.16589941	0.08924978			
ALDH3A2_8024	65183	aldh3a2	0.04819508448540707	0.7978140139430463	1.2751724	1.2751724	1.0545862	1.0701836	1.1682309	1.1164995	1.0936836	1.2751724	1.1606745	1.1499642	1.1608504	0.65861803	0.50911534	0.11237983	0.33560413	0.34343493	0.014061933	0.10895438	0.13366342	0.1517742			
ALDOC_8034	24191	aldoc	0.003327461342728518	0.500994708994709	1.7642794	1.7642794	1.434462	1.5473385	1.4955719	1.4030486	1.3722274	1.5117036	1.1290917	1.5461586	1.7642794	0.08897881	0.0357929	0.09291301	0.12497317	0.19931494	0.08060448	0.73124015	0.038181845	0.071207374			
ANXA5_32426	25673	anxa5	0.03518481913421625	0.7577163318082355	1.0548084	1.0548084	1.018792	1.0307497	1.0312304	1.0403954	1.0146668	1.044875	1.044154	1.0297747	1.0548084	0.50614685	0.10622642	0.02477393	0.06551412	0.52941316	0.057712626	0.025567418	0.2753222	0.011609512			
ATF3_8095	25389	atf3	0.022351797862001945	0.7467403654230002	1.4773321	1.4773321	1.1474503	1.1509085	-1.0335394	1.3314486	1.4141179	1.0364505	1.0416912	1.2392246	1.4773321	0.44155192	0.3789647	0.8615666	0.06702969	0.027524898	0.913385	0.80710167	0.21853237	0.035907716			
ATP5S_8111	362749	dmac2l	0.0022199798183652874	0.4777396569122098	-1.5736655	1.5736655	-1.1917953	-1.1433823	-1.0483121	-1.0397229	-1.0904268	1.0409496	-1.1058453	1.0248029	-1.5736655	0.06962938	0.2853921	0.57243776	0.6352818	0.39909592	0.51946735	0.12415849	0.6594447	1.5751585E-4			
BAG3_8129	293524	bag3	0.023861602704314974	0.7546097773340109	1.1882126	1.1882126	1.1046773	1.0552592	-1.0080392	1.0227784	-1.0533472	-1.0664964	1.015446	1.0209572	1.1882126	0.14181386	0.47352833	0.89959836	0.7168209	0.5778394	0.42387056	0.8128815	0.7242925	0.027728712			
