Subject Type: In Vivo
Species: Rat
Strain: Sprague-Dawley
Sex: Female
Organ: Uterus
Test Article: Perfluoro-3-methoxypropanoic acid
CASRN: 377-73-1
DSSTOX: DTXSID70191136
Study Duration: 28d
Article Type: Chemical
Article Route: Oral
Article Vehicle: Feed
Administration Means: Dietary
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder

	A52	A53	A54	A55	A56	A57	A58	A59	A60	A61	A62	A63	A64	A65	A66	A67	A68	A69	A70	A71	A72	A73	A74	A75	A76	A77	A78	A79	A80	A81	A82	A83	A84	A85	A86	A87	A88	A89	A90	A91	A92	A93	A94	A95	A96	A97	A98	A99	A100	A101	A102
Doses	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.1	0.1	0.1	0.1	0.1	0.3	0.3	0.3	0.3	0.3	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	10.0	10.0	10.0	10.0	10.0	30.0	30.0	30.0	30.0	30.0	100.0	100.0	100.0	100.0	100.0	300.0	300.0	300.0
A2M_7932	6.7385592	6.740849	9.394647	8.392125	6.0753217	8.6180105	9.0468235	6.399497	9.118006	9.461806	8.893883	9.200686	9.405153	9.39352	8.687004	8.9085655	9.431841	8.5753565	9.21128	6.0714607	10.697543	6.881686	5.4411297	6.4177556	9.325606	8.975206	6.379837	6.907379	8.510238	8.730841	9.937181	8.578946	6.2565956	8.322716	6.7492657	9.047995	8.835626	6.33903	9.144698	8.743159	6.22152	9.040334	6.297705	8.248533	8.533345	6.4484234	6.7837405	6.94215	8.509601	7.361219	8.978666
AARS_7935	8.157977	7.9444175	9.793312	8.885642	7.9262877	8.660972	8.396305	8.288589	9.002192	8.722715	8.686785	8.88319	9.84497	8.949243	7.251401	8.977348	9.095583	8.985487	9.142827	8.096646	9.171931	8.00291	8.204051	8.026831	7.3609557	7.3740196	9.054955	9.021353	8.84402	8.850309	9.0925045	7.4100766	8.6135235	8.906176	7.5427313	9.178269	8.736166	7.912062	8.792755	8.962514	8.550053	8.877098	8.025966	8.514619	8.888935	8.470528	7.333823	7.5129843	9.331942	8.41284	7.529825
AASS_7936	3.103965	1.3950981	4.4470105	4.2219753	1.4706516	1.9238267	1.5088185	1.5558056	5.475771	4.0302987	3.778424	3.373115	3.3732615	3.3174615	4.1735883	2.3818157	0.0	2.5305808	3.029539	5.7208977	3.3484118	1.9455143	2.5448675	2.4849958	2.4648252	2.6509805	3.432267	1.1351331	2.8105915	4.494562	3.913168	2.287042	3.1555746	0.0	2.003866	2.7269223	3.5343275	0.0	3.7840095	2.657775	2.6034417	4.3345	3.9763558	3.1866622	2.7037613	1.484687	2.7541184	5.701456	4.053022	3.609889	1.2811667
AATF_32691	4.7396092	4.8435364	5.283559	5.44727	5.115114	4.629438	5.6502047	5.0865984	4.8653154	5.4626055	5.3768296	5.3773	5.488175	5.22639	4.000025	5.4099855	5.7590837	5.179434	5.130769	4.7085156	5.3840365	5.0908666	5.423177	4.716486	4.8137093	5.2687845	5.231406	5.108477	5.5376725	5.481131	4.9151716	4.3893657	4.3556533	5.378401	4.424451	5.163764	5.680441	4.820538	5.1400003	5.4202433	5.191461	5.4641404	5.0081186	5.085782	4.9836226	5.136385	4.7778645	5.4534807	5.1423206	3.6779692	4.5780735
ABAT_32557	3.0024037	2.0908968	2.83208	5.0826387	1.6845217	5.3262477	4.413016	2.4663963	5.722945	4.2118645	3.9366195	4.6543794	4.6091375	4.61729	5.7229886	4.1576653	2.54411	4.3722153	4.4916263	3.9091687	4.0937476	1.7143117	1.654954	2.3287034	3.9867203	4.612992	1.8527786	3.4020545	5.0769124	5.3636427	5.432833	5.1216855	1.7799444	5.378401	2.6824205	3.9117918	3.7624588	0.68321306	4.9085593	4.02396	3.305293	5.3627415	3.4111056	4.661924	5.038451	1.484687	2.3284006	2.9045246	3.9106436	3.0142577	4.6619787
ABCB1B_7939	4.165824	6.5280023	5.413553	6.460879	4.9388566	5.9651885	4.454091	5.314681	4.927292	5.2847996	4.8887243	4.301759	6.700224	6.9049706	4.118022	3.4891517	4.3455334	7.143179	5.0550523	4.997693	5.4037347	6.2853518	5.3490443	6.573885	4.1530595	4.074062	7.156825	7.519237	5.2131267	5.481131	5.9770966	4.4270325	6.4295244	5.643745	3.8326092	5.094256	5.0626416	6.412679	4.5985904	6.661598	6.1066313	7.22503	6.98705	6.459331	4.2767406	6.6427164	3.8295176	4.4146876	5.0771503	4.958271	4.7412715
ABCC1_32904	6.951092	6.9878035	8.302042	7.826183	7.0258856	7.608828	7.8213515	7.345759	7.7799506	7.8568864	7.6191306	8.094099	8.248411	7.800802	7.4834757	7.8657794	8.029363	7.9967885	8.0462055	7.2282553	7.8167596	7.113267	7.039574	7.323884	7.475322	7.784323	7.784006	7.773091	7.9086447	7.7769856	7.62494	7.8347173	7.5343833	7.8578677	6.938211	8.092906	8.053401	7.088245	7.8623095	7.3660116	7.585227	7.9359465	7.2514124	8.125529	7.734848	7.1847234	6.993458	7.1715484	8.564131	7.5682254	7.579219
ABCC3_7941	5.0506964	5.568544	5.9304013	5.108337	4.8965816	4.889541	5.7850943	5.1924415	5.299515	5.3636994	5.6750555	5.602467	5.8074336	5.446361	4.7130213	5.8768487	6.115722	5.9099717	5.9658713	5.2568355	5.749944	5.2289114	5.290833	5.58895	5.4682117	5.4148374	5.9013233	5.7452664	5.8533754	5.095366	5.786018	5.334847	5.5621953	5.329013	5.0139813	5.9340086	5.661707	4.8511367	5.6541786	5.568873	5.812913	5.6818566	4.6973553	6.4415035	5.826869	5.160769	5.17205	3.9731958	6.1217504	5.1621823	5.281861
ABCC4_32768	1.7388889	2.9869156	3.0609467	3.4254794	2.3178275	3.2300253	2.0272536	2.4663963	3.0066483	3.175527	3.600721	2.5060396	3.1054778	3.3174615	1.8981396	3.4096966	2.15438	2.9202566	2.9199815	2.5449207	1.7208549	3.4939423	2.788709	2.1533985	1.5545398	2.3525884	3.342246	1.9967397	2.8105915	3.5210547	3.9622111	3.0368063	0.68574494	3.6087048	2.6824205	2.9531724	1.5776827	1.494229	3.5889478	2.1107368	2.877093	2.2001655	0.64793134	2.9038126	1.5050411	3.320892	2.4846854	2.290609	2.0425723	1.748383	2.894642
