Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Female_Uterus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:29.41
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: female
Organ: uterus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AATF_32691	114512	aatf	0.04258412962193602	0.8693920173267327	-1.1417998	1.1417998	1.0420889	1.0030527	1.0094241	-1.0142496	-1.0331491	-1.0011579	1.0285085	-1.0023568	-1.1417998	0.23229621	0.9631661	0.79371506	0.6773261	0.58497304	0.9819813	0.3590413	0.9439629	0.27230182			
ABCG8_7948	155192	abcg8	8.257638315441783E-4	0.2696708741299988	-Infinity	Infinity	2.3432934	2.0905762	3.3577447	4.438412	2.219034	3.3875442	-Infinity	-1.1331432	10.068226	0.50251937	0.5514881	0.12903892	0.15255319	0.5309779	0.23529689	0.35061666	0.9314187	0.026933618	100.0	300.0	
ACAA1A_7954	24157;501072	acaa1a;acaa1b	0.04826368452030606	0.8693920173267327	1.1786203	1.1786203	1.032234	-1.0080444	1.0576985	1.0032566	1.1233479	1.0380903	1.0652304	1.0269611	1.1786203	0.59738386	0.9100767	0.5508623	0.9620924	0.05501097	0.65843004	0.44291767	0.6806592	0.07828651			
ACADL_32776	25287	acadl	0.006818624586012079	0.7562441418095606	1.303506	1.303506	1.0624187	1.0322605	1.0930176	1.0918839	1.0643059	1.0842731	1.0614052	1.1176646	1.303506	0.36835337	0.77426714	0.40302518	0.28413352	0.42269385	0.42502153	0.49672827	0.22265376	0.028821757			
ACMSD_32377	171385	acmsd	0.019695431472081217	0.8495048367014654	4.7234206	4.7234206	1.6674397	2.1222308	1.2249638	2.4585772	2.3398209	2.1520073	2.3729854	4.0472093	4.7234206	0.6019491	0.2202236	0.82673645	0.21441676	0.3070299	0.27315924	0.25835997	0.0053532207	0.25384107	30.0	100.0	
ADO_7995	309732	ado	0.020925553319919517	0.8614516083160318	-1.706483	1.706483	1.0306252	1.0298963	-1.0729185	-1.0163226	-1.076022	1.0504887	1.0699977	-1.0289271	-1.706483	0.84904385	0.7683932	0.6685011	0.90241504	0.67782515	0.7034792	0.611524	0.80010915	0.024134168			
AHR_32572	25690	ahr	0.024645110410094637	0.8693920173267327	1.0708704	1.0708704	-1.0013839	-1.0392534	1.0042076	1.006188	-1.0149926	1.0441787	1.0366242	1.0171372	1.0708704	0.96777827	0.25967708	0.91106766	0.8262385	0.6666249	0.16545096	0.24499436	0.6046436	0.03378477			
AKR1B8_8013	286921	akr1b8	0.04277967463346054	0.8693920173267327	-1.3996227	1.3996227	-1.3996227	-1.0977397	1.0088226	-1.0875787	-1.1213428	1.0096816	-1.020871	-1.0096558	1.1414063	0.0065214415	0.23191302	0.9282903	0.42875856	0.17794114	0.9048466	0.8372077	0.9307716	0.24870059			
AKT2_32310	25233	akt2	0.028810589838427096	0.8693920173267327	1.3754038	1.3754038	1.2134728	1.0047847	1.3003298	1.1811649	1.2687098	1.2278936	1.212103	1.2915409	1.3754038	0.21290195	0.98011625	0.059866186	0.25630525	0.094123945	0.17228347	0.21167786	0.17426416	0.018998222			
ALDOC_8034	24191	aldoc	0.03827160493827161	0.8693920173267327	1.4073822	1.4073822	1.0597806	1.1164136	-1.0337846	1.2496909	1.2836988	1.0748669	1.1164992	1.1648453	1.4073822	0.44443306	0.49481592	0.6283988	0.19804963	0.19273598	0.26849934	0.10458519	0.07678465	0.1485805			
