Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Adrenal_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.54
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 14 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: adrenal
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCF3_7946	287982	abcf3	0.043927125506072875	0.40480364526699664	-1.0581273	1.0581273	-1.0416002	-1.0077218	-1.0242729	1.0165119	-1.0085536	-1.0035937	-1.040952	-1.0303247	-1.0581273	0.13565382	0.78522044	0.46282604	0.5327637	0.78068846	0.87904036	0.22640173	0.33302808	0.044402532			
ABCG2_32656	312382	abcg2	0.038741396263520154	0.3893705988101268	1.550626	1.550626	1.0969445	1.2400984	1.4217963	1.3716412	1.550626	1.4100126	-1.1142071	1.2448031	1.3110659	0.5111386	0.023792468	0.002360271	0.06956838	0.003139931	0.0051104473	0.6135509	0.12458749	0.0017086634			
ACADVL_7960	25363	acadvl	0.01407884151246983	0.2739112565526226	-1.0409076	1.0409076	-1.0142788	-1.0069386	-1.0140824	1.0218711	1.0062191	-1.0026398	-1.0204511	-1.0340708	-1.0409076	0.27379835	0.59507173	0.24493654	0.30164748	0.63733816	0.868057	0.3307525	0.020468565	0.079432525			
ACO1_7966	50655	aco1	0.0480225988700565	0.41731428712407176	-1.1191424	1.1191424	-1.0398854	-1.0596819	-1.0490386	1.0192379	1.0205996	-1.0338911	-1.1191424	-1.0866797	-1.0748731	0.33130577	0.088734835	0.17937662	0.5631989	0.6332759	0.4148777	0.04997458	0.026468169	0.026735483			
ACO2_7967	79250	aco2	0.048741188318227595	0.42171723805770833	-1.0766578	1.0766578	-1.0231345	1.0055784	-1.0502543	-1.0103878	1.0174912	1.0077786	-1.0401171	1.0397128	-1.0766578	0.19604014	0.8507029	0.11163138	0.7262485	0.5336984	0.7345003	0.15852979	0.19354068	0.19348888			
ACTA1_7978	29437	acta1	0.024668705402650357	0.32664933291312115	1.5510218	1.5510218	1.1354954	1.3251265	1.4903884	1.5510218	1.4734454	1.281471	1.2521443	1.2569098	-1.0594083	0.3665985	0.09760701	0.011846791	0.0049426625	0.017064068	0.08449729	0.26503727	0.116339706	0.7249562			
ACTC1_32706	29275	actc1	0.020754340451007783	0.3177010576731191	-1.592338	1.592338	-1.023572	-1.1071498	-1.184355	-1.0220298	1.0479507	-1.2144371	-1.3311086	1.0286051	-1.592338	0.7748064	0.14795618	0.19528483	0.8979193	0.7648995	0.24341625	8.508098E-4	0.639995	0.16556337			
ADM_33168	25026	adm	0.012743926722421346	0.26417098101685915	1.2611234	1.2611234	1.0927241	1.1641556	1.045689	1.1043783	1.1411114	1.049307	-1.1338077	1.1187565	1.2611234	0.37137532	0.11877499	0.6678892	0.45900428	0.24935527	0.6724484	0.23762786	0.25886333	0.027750337			
ALDOC_8034	24191	aldoc	0.024400080661423674	0.32664933291312115	1.1762278	1.1762278	1.0992442	1.0374088	1.0986475	1.0537554	1.113653	1.0733689	1.0420785	1.0693356	1.1762278	0.117931776	0.6083283	0.2198558	0.45380068	0.07986829	0.26048735	0.6625762	0.42288652	0.09520764			
AMPD1_32743	25028	ampd1	0.019631410256410256	0.3139154929577465	-Infinity	Infinity	-4.586597	-3.7640736	-2.3729696	-Infinity	-1.2729876	-1.7306826	-7.4272966	1.6482897	1.058004	0.037443623	0.035276383	0.17500973	0.0061139143	0.66173303	0.37528664	0.012821348	0.054612644	0.8617536	0.0	0.01	
