Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Brain_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.39
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: brain
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AASS_7936	296925	aass	0.03917190988431094	0.7562932097320412	1.1043011	1.1043011	-1.0799499	1.0216653	1.059004	-1.0006876	1.0394298	1.0421852	1.1043011	1.0689467	1.0904796	0.0799915	0.5238674	0.26172054	0.99202067	0.54533774	0.47898722	0.015151028	0.16795123	0.062231086			
ACOT1_7968	50559	acot1	0.04191131808058311	0.7562932097320412	1.4343284	1.4343284	1.0115451	1.092172	1.2930155	-1.3057425	1.225744	1.1367494	1.3451868	1.1947684	1.4343284	0.94128126	0.5490267	0.3411451	0.17103922	0.31610608	0.36731628	0.11283998	0.20862754	0.015990516			
ACOX1_7973	50681	acox1	0.02492906364004864	0.7195279053367464	1.0369527	1.0369527	-1.033868	1.0281837	-1.0013826	-1.0239445	1.0114342	-1.0035022	1.0192775	-1.0021268	1.0369527	0.026987424	0.088370785	0.8984204	0.31830895	0.6945998	0.7889794	0.20556167	0.9202992	0.08350284			
ADCY8_32323	29241	adcy8	0.0012249897917517355	0.3104372937293729	1.2060691	1.2060691	-1.0974827	1.052542	-1.0515479	1.0114044	1.0265757	-1.0377727	1.0315881	-1.0811304	1.2060691	0.08814839	0.4344285	0.5637044	0.8695614	0.67564046	0.50774926	0.6404139	0.27790996	0.0020537795			
ADH5_7991	100145871	adh5	0.029364115026326448	0.743875161719419	1.0351514	1.0351514	1.0006407	1.0138249	1.0173228	1.0082296	1.0298228	1.0216894	1.0295085	1.004731	1.0351514	0.95416594	0.26337966	0.19361377	0.7237122	0.036889825	0.07475377	0.020382544	0.76864517	0.035478007			
AGL_8002	362029	agl	0.033493782591255516	0.7507595736146316	1.5648822	1.5648822	1.0495585	1.2492625	1.4346021	1.2992046	1.1287146	1.17946	1.2336566	1.5648822	1.5207235	0.78491896	0.30734345	0.019042978	0.0790831	0.74084896	0.3830615	0.42486495	0.01220019	0.057430066			
ALB_8020	24186	alb	0.046987951807228916	0.7822193115645805	1.3302968	1.3302968	1.0448617	1.257108	1.2195207	-1.2322588	1.0764493	1.0647285	1.3302968	1.2227366	1.3005328	0.73673934	0.06801875	0.045070827	0.18923904	0.585328	0.6387361	0.043536518	0.24729276	0.012530437			
ALDH7A1_8028	291450	aldh7a1	0.006484295845997973	0.4618714892451021	1.0543153	1.0543153	-1.02108	1.019469	1.0254495	-1.039851	1.0053537	1.0064318	1.0229555	-1.0034335	1.0543153	0.38794804	0.18883464	0.13743985	0.1733468	0.8158717	0.6450142	0.4416288	0.8802408	0.0040540816			
AMY1A_8041	24203	amy1	0.015905383360522024	0.6571106419729393	1.9178951	1.9178951	-1.0268615	1.5526023	-1.1945635	1.2868376	1.3892647	1.2869	1.677163	1.2850857	1.9178951	0.9393793	0.15142499	0.65013784	0.4702747	0.43378475	0.20178601	0.03802781	0.38496122	0.003416432			
APOA2_33095	25649	apoa2	0.013325257419745608	0.5973684549660425	2.5039756	2.5039756	1.4996672	1.7736014	1.3140395	1.1791576	1.3126782	-1.0723403	1.7215736	2.1946635	2.5039756	0.3680789	0.09757667	0.5718212	0.6427539	0.5196303	0.8600287	0.31866282	0.124724016	0.0024021016	100.0	300.0	
