Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Heart-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.23
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: heart
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AATF_32691	114512	aatf	0.04329089128305583	0.31377598329862716	-1.482757	1.482757	-1.1416456	-1.1777319	-1.2016392	-1.0474588	-1.095269	-1.0771565	-1.482757	-1.2460924	-1.1718997	0.17920253	0.123608746	0.0366311	0.67778283	0.36832452	0.45105535	0.0013666141	0.1629255	0.11852186			
ACACA_32532	60581	acaca	0.039048562933597625	0.3065549087122691	-1.18326	1.18326	-1.0464436	-1.0202498	-1.0475259	-1.0375088	1.0186635	-1.0381484	-1.18326	-1.1059878	-1.1053253	0.36355025	0.683307	0.45166004	0.5309713	0.78704953	0.37775937	0.048076455	0.06375079	0.04964976			
ACADSB_7959	25618	acadsb	0.02241618726443166	0.27036274376583147	-1.0940179	1.0940179	-1.0797778	1.0410465	-1.0265067	-1.0015612	-1.0361613	-1.0111417	-1.093374	-1.035009	-1.0940179	0.046945453	0.17344864	0.5217312	0.96745944	0.19878623	0.70530295	0.043184444	0.26740605	0.067603685			
ACD_7963	307798	acd	0.003986446083316724	0.23979929539874026	-1.6204492	1.6204492	-1.0670474	-1.0646933	-1.0862306	-1.0108144	-1.1637987	-1.2666396	-1.2386509	-1.0902853	-1.6204492	0.56368244	0.5835253	0.58130807	0.9484938	0.24037403	0.117465846	0.22559154	0.47592834	0.010327726			
ACOT2_7969	192272	acot2	2.041649652919559E-4	0.1394808743169399	1.1995608	1.1995608	1.0375409	1.0009044	1.0023049	1.0337617	-1.064989	1.036462	1.096775	1.0501637	1.1995608	0.4518967	0.9847513	0.9520461	0.41691902	0.07174343	0.3337806	0.016089551	0.31106853	8.945388E-5			
ACOT3_7970	314304	acot3	0.023987099375125984	0.2708602486816422	-1.5552552	1.5552552	-1.2866418	-1.05392	-1.1138784	1.1115643	-1.1841017	-1.2909511	-1.128904	1.0008743	-1.5552552	0.3080593	0.71626097	0.5041534	0.43848264	0.2890967	0.18875578	0.57932794	0.99575204	0.029512051			
ADAM10_7983	29650	adam10	0.013213213213213212	0.25916007767187443	-1.2446053	1.2446053	-1.2446053	-1.0678762	-1.1458021	-1.1433997	-1.1417413	-1.1854688	-1.2352121	-1.1967752	-1.1311212	0.005040017	0.14392786	0.007686536	0.068392426	0.111117594	0.012131402	0.008023654	0.0658634	0.016303267			
ALAD_8017	25374	alad	0.034489593657086225	0.29223132882892144	-1.3768917	1.3768917	-1.2601238	-1.2365476	-1.1101264	-1.0554897	-1.2186205	-1.1576164	-1.3768917	-1.2269192	-1.3314856	0.07088138	0.044922225	0.39028463	0.58424723	0.14895661	0.15203874	0.05207325	0.05585024	0.15029201			
AMDHD2_8039	302972	amdhd2	0.0031237797735259665	0.23133567463464372	-2.0305278	2.0305278	-1.4829576	-1.3465376	-1.2123032	-1.0673379	-1.4112552	-1.2782996	-1.2285763	-2.0305278	-1.5549133	0.09934317	0.025223084	0.13903198	0.64976877	0.04472277	0.16741844	0.08128799	2.331224E-4	0.0332639	30.0	100.0	
ANXA1_33262	25380	anxa1	0.008618961715774705	0.25916007767187443	-1.1441178	1.1441178	-1.0706116	-1.1012796	-1.0622615	-1.0759687	-1.0535939	-1.0960984	-1.1441178	-1.1111853	-1.1144669	0.18708707	0.09104378	0.235499	0.15442742	0.3319868	0.036333162	0.007339733	0.024903039	0.018234627			
ANXA4_32944	79124	anxa4	0.025442258000397535	0.27200571118749617	-1.1151935	1.1151935	-1.0171666	-1.0438179	-1.0352918	-1.0270913	-1.0169483	-1.0826404	-1.1151935	-1.1020136	-1.0719234	0.6511516	0.21761218	0.3269069	0.5556359	0.7288068	0.003587393	0.002105084	0.0023743825	0.011297575			
APBB1IP_33101	307171	apbb1ip	0.0462026571485227	0.31377598329862716	-1.3688995	1.3688995	1.00709	-1.1518859	-1.0087731	-1.0346282	-1.1235683	-1.0339636	-1.3688995	-1.3467594	-1.2572668	0.93328774	0.1358586	0.93573195	0.6908757	0.31646293	0.5871608	0.11471496	0.09102659	0.13609			
APPBP2_8068	303396	appbp2	0.015450811656561706	0.25916007767187443	-1.0943227	1.0943227	-1.0108185	1.0529286	-1.0482217	-1.0114864	-1.0001627	-1.0224766	-1.0428362	-1.0616323	-1.0943227	0.78523356	0.18801846	0.2721795	0.8511173	0.99714607	0.4976402	0.33291715	0.09685354	0.045552265			
ARCN1_8074	300674	arcn1	0.02082093991671624	0.26667910447761195	-1.1012377	1.1012377	-1.0292455	-1.0137212	-1.0641876	-1.0086176	-1.0091085	-1.0694413	-1.1012377	-1.0651966	-1.0843208	0.41510335	0.74124765	0.1511891	0.8245329	0.7278114	0.029957639	0.01618035	0.06305089	0.014127066			
ARF1_32413	64310	arf1	0.007887990534411358	0.25916007767187443	-1.0524355	1.0524355	-1.0343424	-1.0179597	-1.0185885	-1.0066255	-1.0028872	-1.0341617	-1.0435865	-1.0327513	-1.0524355	0.027212579	0.53796315	0.14677766	0.788493	0.8711171	0.028489845	0.09402148	0.042408757	0.0049255337			
ARHGAP30_32923	498282	arhgap30	0.04141535987133092	0.3100910787791014	-1.2777923	1.2777923	1.0327361	-1.1116672	-1.0361841	-1.07471	-1.0994555	1.0051826	-1.2777923	-1.1259613	-1.1087074	0.5225232	0.1504593	0.6737466	0.39116448	0.30527973	0.8996547	6.6842977E-4	0.013807833	0.11706837			
ARHGAP9_32400	362893	arhgap9	0.020710059171597635	0.26667910447761195	-1.7830842	1.7830842	-1.1493734	1.0314183	-1.1830846	-1.2849604	-1.3743908	-1.2439032	-1.7830842	-1.3171271	-1.620999	0.38408837	0.88418657	0.33755243	0.17665766	0.17955227	0.14596315	0.046475023	0.12854712	0.016364317			
ARHGDIB_32723	362456	arhgdib	0.01123370110330993	0.25916007767187443	-1.1360105	1.1360105	-1.0212674	-1.0704584	-1.0417656	-1.090011	-1.0089384	-1.0699668	-1.0995522	-1.0577742	-1.1360105	0.5779493	0.24513261	0.4036798	0.12286253	0.8673769	0.10448026	0.07103922	0.22002636	0.008798171			
ATF4_8096	79255	atf4	0.007011217948717949	0.25916007767187443	-1.1837547	1.1837547	-1.0704322	-1.0675496	-1.130163	-1.0383613	-1.0701225	-1.1397189	-1.1626065	-1.1837547	-1.1177671	0.20209645	0.2203197	0.1515783	0.30852112	0.065767996	6.8755297E-4	0.02296052	0.0020303247	0.0057917717			
ATF6B_32767	406169	atf6b	0.044835078016985976	0.31377598329862716	-1.3440763	1.3440763	-1.1914713	-1.1337929	-1.3130505	-1.1290157	-1.0044523	-1.3440763	-1.3152596	-1.2649856	-1.2697023	0.25578794	0.17009082	0.020046448	0.2765429	0.9557995	0.09504635	0.08087568	0.0027860992	0.0030438676			
ATG3_8099	171415	atg3	0.00874056416368693	0.25916007767187443	-1.1100043	1.1100043	-1.0813582	-1.0249712	-1.062526	-1.004462	-1.0396732	-1.0605788	-1.1100043	-1.10041	-1.0536913	0.020766092	0.3906396	0.11565441	0.8957139	0.25856876	0.015507936	0.002003823	0.0012957308	0.041117966			
ATP2C1_8107	170699	atp2c1	0.006814992984566046	0.25916007767187443	-1.1220151	1.1220151	-1.0344293	1.0007281	-1.0533955	1.0334003	1.0095428	-1.0315925	-1.0546484	-1.0673416	-1.1220151	0.44029	0.9880698	0.2615601	0.46600962	0.8527422	0.49808425	0.27605698	0.16712499	0.029277164			
B4GALT1_8124	24390	b4galt1	0.04745762711864407	0.31544775022281846	-1.2208033	1.2208033	-1.0775313	-1.0307068	-1.1242344	-1.0600022	-1.0751816	-1.1242199	-1.2208033	-1.160668	-1.0982295	0.3121008	0.5571897	0.22568184	0.41116402	0.21109076	0.071951546	0.021492003	0.05095799	0.072671875			
BACE2_8127	288227	bace2	0.022905364677516575	0.27036274376583147	-1.2189256	1.2189256	-1.1176442	-1.1176866	-1.1352723	-1.153395	1.012794	-1.1874135	-1.1726466	-1.1393545	-1.2189256	0.14008635	0.34981027	0.21948712	0.12802185	0.87693363	0.038870476	0.07696161	0.15467137	0.019371409			
BAG3_8129	293524	bag3	0.013	0.25916007767187443	-1.1449758	1.1449758	-1.0280973	-1.0475175	-1.0547718	-1.060957	-1.1077738	-1.0559591	-1.1449758	-1.0851197	-1.0493815	0.45449108	0.25041407	0.082104504	0.08589578	0.013109027	0.051434834	0.0028866392	0.008731827	0.18831599			
BAMBI_8130	83837	bambi	0.004198320671731308	0.23979929539874026	-1.321573	1.321573	-1.0888392	-1.0999777	-1.1871113	-1.0693041	-1.0593256	-1.2586982	-1.1683074	-1.1412674	-1.321573	0.036017094	0.18122745	0.0840638	0.61288095	0.50994974	0.017302243	0.01819027	0.0043509835	3.5449633E-5			
BANF1_8131	114087	banf1	0.04525691699604743	0.31377598329862716	-1.109116	1.109116	-1.0637164	-1.0575052	-1.0660113	-1.0521065	-1.0495334	-1.065952	-1.1088154	-1.0432388	-1.109116	0.17513476	0.32857504	0.25817114	0.13503066	0.35884887	0.0962979	0.07476674	0.28732017	0.02404306			
BCL2A1_8136	170929	bcl2a1	0.001597763131615738	0.23133567463464372	-1.139209	1.139209	1.0546552	-1.0745676	-1.0169312	-1.0845492	1.0425205	1.0014627	-1.0888066	-1.0665104	-1.139209	0.033467244	0.09207905	0.6142082	0.028582668	0.42286843	0.94954634	0.23874883	0.1805636	0.013282495			
BCL2L2_32990	60434	bcl2l2	0.019257494540401033	0.2657013773749926	-1.1578289	1.1578289	-1.0873195	-1.0689766	-1.0892825	-1.0667176	-1.0767251	-1.1563305	-1.1578289	-1.124333	-1.1331542	0.13413128	0.3170148	0.075704835	0.32305348	0.12951936	0.00742865	0.012760822	0.04570748	0.014351721			
BIRC2_8146	60371	birc2	0.01066772026866851	0.25916007767187443	-1.066194	1.066194	-1.013737	1.0059524	-1.0534168	-1.0093378	-1.0208093	-1.0014205	-1.0625952	-1.0383639	-1.066194	0.6632803	0.8534403	0.1061369	0.71633613	0.37470034	0.9484124	0.036641143	0.1471299	0.017223224			
C1S_8172	192262	c1s	0.02510460251046025	0.2719114822929215	-1.1452609	1.1452609	-1.0947224	-1.0440481	-1.1287613	-1.1091256	-1.1059828	-1.0931171	-1.1452609	-1.1217803	-1.0445324	0.13146298	0.24370475	0.04777853	0.019686777	0.056011274	0.018120248	0.0012173333	0.012442372	0.27692524			
CALU_8191	64366	calu	0.021704500199123854	0.26951758727644687	-1.04926	1.04926	-1.0163337	-1.0014144	-1.020207	-1.0235269	1.0002168	-1.0340891	-1.04926	-1.0395864	-1.0480311	0.37265974	0.95436656	0.21888413	0.39754376	0.9933184	0.029563915	0.014899694	0.01810105	0.0054528895			
CAMSAP2_8192	289400	camsap2	0.03392892993374824	0.29209496085123465	-1.0968182	1.0968182	-1.0119976	1.0229905	-1.0328245	1.0267963	-1.0410587	-1.032586	-1.0968182	-1.0523139	-1.0597924	0.76351386	0.30871093	0.16154401	0.21182854	0.22983085	0.11807231	0.021014242	0.08384853	0.06182326			
CASQ1_32992	686019	casq1	8.233841086867024E-4	0.23133567463464372	-1.2316353	1.2316353	-1.002603	1.0320404	-1.0360082	-1.0136309	-1.0271988	-1.0492413	-1.0538157	-1.0972309	-1.2316353	0.9634211	0.3362399	0.3390855	0.72944045	0.49930263	0.44751388	0.14866713	0.08363155	0.0012247487			
CAST_8205	25403	cast	0.0035721373288350863	0.23530014275745956	-1.0758308	1.0758308	-1.027728	-1.0026692	-1.04619	1.0042919	-1.0182452	-1.0329144	-1.0579877	-1.0547656	-1.0758308	0.28808883	0.9196809	0.13369852	0.85964316	0.51112896	0.1053674	0.03930823	0.01533502	0.0032436613			
CCDC86_8215	293738	ccdc86	0.00921474358974359	0.25916007767187443	-1.2762232	1.2762232	1.0341889	1.0165519	-1.0809585	1.0632623	1.1056443	-1.0576057	-1.1297044	-1.0756123	-1.2762232	0.7342333	0.87959254	0.36554435	0.4094719	0.22905938	0.47345138	0.15152103	0.42249376	0.09422396			
CCND2_33278	64033	ccnd2	0.014303228442991417	0.25916007767187443	-1.1875633	1.1875633	-1.0210681	-1.0152717	-1.0399919	-1.0302306	-1.1875633	-1.128479	-1.139068	-1.1826496	-1.129499	0.6907805	0.5768085	0.52592486	0.57102215	0.0052749077	0.02163353	0.047069002	0.035881188	0.014825336			
CCND3_8225	25193	ccnd3	0.032388663967611336	0.2900774202713261	-1.2727422	1.2727422	-1.0698512	-1.0661191	-1.1250172	-1.1676487	-1.0494606	-1.1061447	-1.1959146	-1.2727422	-1.1441377	0.36501455	0.5028537	0.16684434	0.05243761	0.5834812	0.1612486	0.04231414	0.07965587	0.16750091			
CCRN4L_8232	310395	noct	0.020895522388059702	0.26667910447761195	1.5084252	1.5084252	1.2864413	1.3426098	1.1621637	1.5084252	-1.2330902	1.3412007	1.0930012	1.0918486	1.4367179	0.06604135	0.10289728	0.3914185	0.0051521095	0.5299688	0.0737597	0.5958977	0.53650594	0.017899152			
CCT7_8237	297406	cct7	0.029371180760890993	0.2793013106850482	-1.080812	1.080812	1.0099286	1.0179884	-1.0212919	1.0262914	1.0014449	1.0125426	-1.0488566	-1.0191834	-1.080812	0.7824746	0.6272325	0.48351547	0.52832884	0.9713346	0.7182107	0.1292949	0.64674675	0.097315334			
CD37_33149	29185	cd37	0.03111111111111111	0.2836111111111111	-1.103698	1.103698	1.0047853	-1.0096517	1.0689298	-1.0246311	-1.0051925	-1.0286633	-1.0554684	-1.103698	-1.0775399	0.9023353	0.79233813	0.061864994	0.63000995	0.91082525	0.31053004	0.124537945	0.032287687	0.1484139			
CD97_8254	361383	adgre5	0.01696969696969697	0.25916007767187443	-1.1026976	1.1026976	-1.0159199	-1.0409454	-1.0287943	-1.0742859	-1.008887	-1.0486649	-1.0985564	-1.057739	-1.1026976	0.5905275	0.23856845	0.50635254	0.19935845	0.847376	0.1767507	0.041495882	0.06597919	0.006329555			
CDC20_8255	64515	cdc20	0.018343075992743398	0.26011500817487515	-1.4693512	1.4693512	1.1132946	1.0623974	-1.1218027	1.1253879	1.082704	-1.0228356	-1.224737	-1.4693512	-1.1628944	0.25574383	0.51745534	0.3087173	0.13917106	0.44379574	0.8519109	0.115940146	0.028775914	0.30634528			
CDCA4_8261	500727	cdca4	0.033444816053511704	0.2907393513624118	-2.2864287	2.2864287	-1.1608056	-1.2483685	-1.2684287	-1.2821426	-1.1987841	-1.3673257	-1.6777287	-2.2864287	-1.2967935	0.3157281	0.14765294	0.35933512	0.24285989	0.12932836	0.24115224	0.028113233	0.005680708	0.05472618	30.0	100.0	
CENPQ_8290	363198	cenpq	0.03752978554408261	0.3017158349646326	-1.825945	1.825945	1.493495	1.1975336	1.0693985	1.0485168	1.6330533	-1.0821298	1.0137398	1.077802	-1.825945	0.013421137	0.6100804	0.8352406	0.8588463	0.011680551	0.8129134	0.972305	0.66871256	0.049259618			
CERK_8293	300129	cerk	0.02237180756285884	0.27036274376583147	-1.3383806	1.3383806	-1.03963	-1.1500615	-1.0809488	-1.1173626	-1.1545784	-1.0752919	-1.3383806	-1.2144274	-1.1102943	0.6427343	0.12914015	0.3885877	0.23067181	0.15869902	0.31117606	0.005439905	0.030758845	0.18084429			
CFLAR_8297	117279	cflar	0.024854680296652637	0.27140779233029244	-1.1310688	1.1310688	1.0042949	-1.0014902	1.0027571	1.044078	1.0427588	-1.1064575	-1.1074196	-1.0334846	-1.1310688	0.9271045	0.983899	0.9408498	0.43754575	0.20575975	0.1739657	0.026841631	0.35656476	0.09788053			
CHKB_8309	29367	chkb	0.0376953125	0.30185814950980394	-1.0792265	1.0792265	-1.0175818	-1.0002435	-1.025255	1.0164247	-1.0177754	-1.0213449	-1.0792265	-1.0513569	-1.078687	0.54002094	0.9948213	0.37581342	0.6653739	0.5132097	0.48885363	0.059405886	0.046819773	0.05599833			
CHMP6_8311	287873	chmp6	0.04856512141280353	0.31544775022281846	-1.5866092	1.5866092	-1.0331483	-1.1449008	-1.0638447	-1.0945272	-1.0489691	1.000641	-1.5866092	-1.2205173	-1.0860239	0.6447273	0.06802411	0.60272765	0.4491401	0.5086366	0.9897386	0.04509889	0.010292612	0.31916037			
CHN3_8312	84030	chn1	0.01767131356764186	0.25916007767187443	1.6109948	1.6109948	1.3601024	1.4809452	1.6109948	1.2334611	1.5010556	1.5530434	1.3470575	1.1009346	1.5422359	0.124469586	0.039196793	0.014095503	0.41519505	0.07236375	0.022315433	0.26684555	0.66039073	0.0194471			
CHSY1_8317	292999	chsy1	0.04338220526210082	0.31377598329862716	-1.1535351	1.1535351	1.0075967	1.0042795	-1.0482385	-1.0325366	1.0009924	-1.0379215	-1.1535351	-1.1113396	-1.0667197	0.8624345	0.92013764	0.25166738	0.5842093	0.9878264	0.31328192	0.014086141	0.038746454	0.10590766			
CIRBP_8321	81825	cirbp	0.01568705321683876	0.25916007767187443	-1.1191263	1.1191263	-1.0397356	-1.0201063	-1.0516602	-1.0211185	1.0205239	-1.1073049	-1.112187	-1.0822817	-1.1191263	0.33786762	0.741285	0.25128174	0.5345283	0.60687304	0.00887947	0.066120535	0.03690758	9.5590675E-4			
CLIC4_8332	83718	clic4	0.029299618703592215	0.2793013106850482	-1.0605894	1.0605894	-1.0240476	-1.0076388	-1.0369885	-1.0023941	-1.04859	-1.0412997	-1.0605894	-1.0464553	-1.0393667	0.20527187	0.7178328	0.10283649	0.9041906	0.02637684	0.091963165	0.06379275	0.031996317	0.024345553			
CNN2_32878	690976	cnn2	0.016786570743405275	0.25916007767187443	-1.0890443	1.0890443	-1.0132862	-1.0137606	-1.0093865	-1.0174669	1.0073936	-1.0465105	-1.0526468	-1.0473475	-1.0890443	0.5758334	0.7353494	0.74865	0.59869957	0.86544174	0.20220467	0.11698899	0.13478483	0.0054036966			
COL4A2_8356	306628	col4a2	0.030364785001018954	0.2793013106850482	-1.0832298	1.0832298	-1.0021399	1.0004787	-1.0106348	-1.0154554	-1.0832298	-1.0237889	-1.042731	-1.0383265	-1.0726532	0.9235078	0.98188967	0.69385654	0.50876206	0.09587932	0.3738292	0.36476487	0.14158921	0.070055686			
CORO1A_8364	155151	coro1a	0.02963841138114997	0.2793013106850482	-1.1249973	1.1249973	-1.0216845	1.0106273	-1.0216635	1.0106602	-1.0491608	-1.0006107	-1.1249973	-1.0848457	-1.1038761	0.44243175	0.79393536	0.6672991	0.6801555	0.41850734	0.9891518	0.0025067087	0.0067454833	0.01755758			
CRIP1_32865	691657	crip1	0.01733758469509765	0.25916007767187443	-1.1046249	1.1046249	-1.0422051	-1.060451	-1.0327482	-1.1046249	1.0228156	-1.055978	-1.0610639	-1.0536712	-1.0877205	0.20843723	0.26608148	0.36111036	0.015823834	0.59033996	0.07946152	0.08299568	0.14839077	0.018617513			
CRK_8382	54245	crk	0.020812487492495497	0.26667910447761195	-1.1473752	1.1473752	-1.0172095	-1.012048	-1.0742551	1.0022441	-1.079943	-1.0947397	-1.092569	-1.1473752	-1.1142122	0.7645998	0.75710636	0.15706468	0.9548408	0.034223452	0.11559688	0.07492619	0.051037952	0.019496923			
CSGALNACT2_8391	297554	csgalnact2	0.04202350129456284	0.3100910787791014	-1.1518452	1.1518452	-1.0913517	-1.028753	-1.0797449	-1.0384444	-1.0238382	-1.1518452	-1.1117212	-1.0891123	-1.132065	0.1946496	0.52920187	0.18613376	0.44154525	0.75176513	0.020186607	0.01802983	0.13490728	0.00592664			
CSRNP1_32455	363165	csrnp1	0.009018036072144289	0.25916007767187443	-1.7546809	1.7546809	1.0381631	1.0834835	1.0813731	-1.0578053	1.0297968	-1.1131212	-1.5106292	1.015663	-1.7546809	0.82634276	0.53875065	0.6329297	0.7731544	0.8369847	0.58111507	0.0551703	0.93014205	0.06844342			
