Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Kidney-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:34.08
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: kidney
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AARS_7935	292023	aars1	0.03464566929133858	0.07961304436202331	1.0915898	1.0915898	1.0323355	1.0095824	1.0640309	-1.0039446	-1.0464158	1.0317262	1.0177177	1.0073144	1.0915898	0.3416566	0.81043696	0.09646337	0.9283681	0.33971807	0.34523445	0.5416541	0.8876302	0.044516895			
AASS_7936	296925	aass	0.003218020917135961	0.01945831275945941	-1.0619024	1.0619024	-1.0148039	-1.0133622	-1.0171405	-1.011585	-1.0116583	1.0192423	-1.0154296	-1.0056226	-1.0619024	0.07431313	0.1614839	0.4135252	0.43937084	0.37367284	0.26713446	0.26027206	0.7190441	0.05723552			
AATF_32691	114512	aatf	0.022850270595309682	0.05987026298728346	1.1190053	1.1190053	1.0202628	1.0277561	-1.0456804	-1.0094508	1.0030841	-1.0176591	-1.0149184	-1.021644	1.1190053	0.51251394	0.5893536	0.4340913	0.8044983	0.9420248	0.70296717	0.80508494	0.54216295	0.07635761			
ABCB11_33142	83569	abcb11	0.01993289915137162	0.05447415589998135	-1.422623	1.422623	1.0992026	1.1145113	1.2122184	-1.0167211	-1.422623	-1.2385657	-1.0228264	1.1397756	1.4086506	0.59700173	0.5352005	0.30902657	0.9230051	0.08437594	0.33658752	0.91897994	0.4792697	0.040589027			
ABCB1B_7939	24646	abcb1b	4.012841091492777E-4	0.007576131577848074	2.0736952	2.0736952	1.449976	1.3038822	1.4840697	1.2593238	1.4114925	1.242912	1.4335243	1.3220639	2.0736952	0.13430549	0.19998078	0.09130269	0.36346552	0.14102378	0.34912348	0.18179679	0.34930718	0.0015081078	100.0	300.0	
ABCC1_32904	688708	abcc1-ps1	3.9816842524387816E-4	0.007576131577848074	1.1798106	1.1798106	1.0402353	1.0470977	1.1273863	1.0008855	-1.0135106	1.0350332	1.0778443	1.0241827	1.1798106	0.3022984	0.2887396	0.016513642	0.9882901	0.7519349	0.31256795	0.05103169	0.5873363	0.0023809078			
ABCC5_7942	116721	abcc5	3.997601439136518E-4	0.007576131577848074	1.5262547	1.5262547	1.1274388	1.0744212	1.4587723	1.2949976	1.097229	-1.0649744	1.1731992	1.1617001	1.5262547	0.27607867	0.68868196	0.0104213925	0.18361922	0.37378043	0.583824	0.17281722	0.14974734	2.4000701E-4			
ABCF1_7945	85493	abcf1	0.004757185332011893	0.02330743618201998	1.10629	1.10629	1.0046128	-1.0160769	1.0450157	1.0055461	-1.0466635	-1.037585	-1.006374	-1.0127395	1.10629	0.89817876	0.6633296	0.25414807	0.87923336	0.27637547	0.24648297	0.8347647	0.7542375	0.023641407			
ABCF3_7946	287982	abcf3	0.0024247322691452818	0.016738203726452724	1.1547867	1.1547867	-1.0025837	-1.010103	1.0594703	1.0041004	-1.0122201	-1.0092437	1.0125502	1.0271403	1.1547867	0.9358063	0.76024526	0.25556192	0.8965141	0.65514106	0.7243162	0.72673184	0.43732563	0.048693664			
ABHD1_7949	313917	abhd1	0.0021982414068745003	0.016358505080864463	1.2393519	1.2393519	1.0009426	-1.0290915	1.0834124	1.0133047	-1.0426878	-1.0306919	1.0066133	1.0682292	1.2393519	0.97834104	0.5068064	0.41321182	0.826349	0.41516	0.56859326	0.8679208	0.19797465	0.061477903			
ABHD4_7950	364380	abhd4	0.017374136229022705	0.05045327769563362	1.2193468	1.2193468	1.0445623	1.0127176	1.1447585	-1.0590293	-1.1621922	-1.0111383	1.0076873	-1.0117606	1.2193468	0.5071195	0.82882404	0.06948302	0.6042777	0.27237943	0.8611888	0.8880952	0.90394515	0.026954886			
ABL1_7952	311860	abl1	0.005393527766679984	0.024603687195851105	1.2633761	1.2633761	1.0289568	-1.0004312	1.122561	-1.0301208	-1.0206828	1.0597606	1.0587696	1.0059009	1.2633761	0.58708763	0.9958407	0.1275209	0.7475375	0.8331051	0.2516538	0.31710166	0.94807357	0.01874715			
ACAA1A_7954	24157;501072	acaa1a;acaa1b	2.0016012810248197E-4	0.005244396776076087	1.278605	1.278605	-1.0217288	-1.0209997	-1.0181471	-1.0066301	-1.0009576	1.0226835	1.0847006	1.18791	1.278605	0.3246213	0.42091563	0.46563637	0.83358234	0.9707121	0.3829177	0.029504228	0.0019544475	1.3508364E-5			
