Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Liver-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.56
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 11 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: liver
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AADAC_7934	57300	aadac	0.018217821782178217	0.08485384252710984	1.1287532	1.1287532	-1.0071404	1.1127273	1.0548986	1.034458	1.0674782	-1.0047351	1.087715	-1.0092034	1.1287532	0.8926271	0.029774468	0.34115428	0.5425141	0.265148	0.94415224	0.09702372	0.88922536	0.038363107			
ABAT_32557	81632	abat	0.01103088648215002	0.060933049038096695	-1.0537585	1.0537585	-1.0209584	-1.0537585	-1.0392803	-1.0252297	-1.0102373	1.0020117	1.0231801	1.0289985	-1.0470995	0.11328381	0.022589322	0.023441263	0.029563634	0.5942462	0.8825176	0.083318576	0.018221438	0.12518808			
ABCC2_32541	25303	abcc2	0.03742994395516413	0.13202188514316932	-1.5567575	1.5567575	-1.066033	-1.411221	-1.1913427	-1.1603994	-1.2699488	-1.1548401	-1.5567575	-1.2057685	-1.1544883	0.52231514	0.002487901	0.048459902	0.05674944	0.045261633	0.24011935	0.008020695	0.120576836	0.16201104			
ABCG2_32656	312382	abcg2	0.041231012033931744	0.14077508610011458	-1.1532092	1.1532092	1.018356	-1.1532092	1.0269026	-1.1109787	-1.1202798	-1.0970562	-1.0946138	-1.0686582	1.103862	0.81303746	0.03004483	0.7580898	0.32259238	0.21102329	0.115785554	0.10543811	0.14009085	0.025962744			
ABCG5_7947	114628	abcg5	0.004188272836059034	0.028375095188019	-2.0129561	2.0129561	-1.0097344	-1.2216611	-1.1643854	1.0093154	-1.0875508	-1.371798	-1.3524848	-1.2235677	-2.0129561	0.96536684	0.22974062	0.42003912	0.94382423	0.66072065	0.28468138	0.099214226	0.20693322	0.005880321	100.0	300.0	
ABHD1_7949	313917	abhd1	2.0064205457463884E-4	0.0036967747116988152	1.4380769	1.4380769	-1.1846684	-1.2348922	-1.2420461	-1.2178637	-1.2653855	-1.0918357	-1.1204063	1.0426909	1.4380769	0.19421035	0.102417454	0.1971286	0.17496996	0.064673565	0.58065647	0.5483972	0.7873921	0.0020971443			
ABHD4_7950	364380	abhd4	0.032496012759170655	0.12364210942129172	-2.0735621	2.0735621	-1.1734477	-1.5923606	-1.1938413	-1.2244468	-1.3512816	-1.5513836	-1.8041551	-1.1341026	-2.0735621	0.43501204	0.17771924	0.38408914	0.21640314	0.23116957	0.1455954	0.11234761	0.56714195	0.06180304			
ABHD6_7951	305795	abhd6	2.0128824476650564E-4	0.0036967747116988152	1.5240232	1.5240232	-1.1760437	1.1631094	-1.1239713	1.0811838	1.0246184	1.0395434	1.1095952	1.1568809	1.5240232	0.17441386	0.17510477	0.3901042	0.3575818	0.8962321	0.7354339	0.38679075	0.07664749	1.0202208E-4			
ABL1_7952	311860	abl1	0.02722177742193755	0.1106547575722916	-2.2042718	2.2042718	-1.3826116	-1.9927436	-1.6157697	-1.4995767	-2.2042718	-1.4100499	-1.860176	-1.4246856	-1.6606833	0.12908323	0.0028495698	0.009400763	0.055444676	0.017148243	0.14069839	2.7450986E-4	0.19312538	0.02535996	1.0	3.0	
ACAA1A_7954	24157;501072	acaa1a;acaa1b	2.0263424518743666E-4	0.0036967747116988152	1.5771737	1.5771737	1.0129559	-1.1055074	-1.0482745	-1.0511922	-1.0722233	1.0507188	1.0305595	1.2711813	1.5771737	0.79887474	0.08285034	0.4864228	0.40701208	0.20634016	0.33562657	0.6571641	0.024974404	2.2907636E-7			
ACAA2_7955	170465	acaa2	2.0263424518743666E-4	0.0036967747116988152	1.1678457	1.1678457	1.0307477	1.0489858	1.0239261	1.0141947	1.0131135	1.0317346	1.047289	1.0611914	1.1678457	0.07412414	0.00849176	0.31323484	0.41335592	0.6065198	0.23386016	0.06787357	0.022884479	1.5226043E-4			
ACADL_32776	25287	acadl	0.005623619200642699	0.03606952479100747	-1.1723298	1.1723298	-1.0325105	-1.1538897	-1.1230079	-1.0243518	-1.1640176	-1.0338274	-1.1723298	1.0227597	1.172241	0.7418516	0.15623738	0.22544797	0.78652465	0.15128496	0.62400806	0.2502619	0.78587824	0.016356176			
