Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Lung-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.40
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: lung
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCC3_7941	140668	abcc3	0.014167650531286895	0.18439770110839415	-1.2743145	1.2743145	1.0595683	-1.0015954	-1.0027536	1.0656357	1.0224447	-1.083511	-1.1137869	-1.0587623	-1.2743145	0.31881496	0.98519474	0.9779434	0.382642	0.6443329	0.52018917	0.35211548	0.48088568	0.007833629			
ACBD3_7962	289312	acbd3	0.03983270264887473	0.20405935765541905	-1.2279605	1.2279605	1.140994	1.0589666	1.0858254	1.1517254	1.0621628	-1.0318756	-1.1718206	-1.036723	-1.2279605	0.13949515	0.5659347	0.4870142	0.1232159	0.4869837	0.78779274	0.41374856	0.80202556	0.2302451			
ACD_7963	307798	acd	0.03636724960254372	0.20025004527982934	1.0968788	1.0968788	1.0285568	1.0356739	1.0863922	1.0278018	1.0665011	1.05703	1.0968788	1.0409471	1.0845406	0.37583908	0.3587091	0.009033698	0.49842602	0.17156617	0.1881999	0.07671608	0.14768475	0.017244404			
ACSS1_32386	296259	acss1	0.0282574568288854	0.1905360020154676	-1.1730148	1.1730148	1.1068034	1.0162598	1.0571378	1.081685	-1.0270017	1.0333192	-1.049921	1.0223378	-1.1730148	0.16066135	0.8762855	0.5496369	0.2629384	0.6334723	0.61453307	0.45526966	0.78038454	0.066757664			
ADAM10_7983	29650	adam10	0.04338308457711443	0.20787109982100174	-1.110522	1.110522	1.0125554	-1.0665448	-1.022316	1.0156102	-1.0567223	-1.0311484	-1.0634829	-1.0223042	-1.110522	0.79497737	0.2632419	0.590776	0.69877386	0.2941015	0.4579082	0.22285116	0.5624945	0.0797056			
ADCY2_32834	81636	adcy2	0.04759095378564405	0.21467841295619036	-1.1203591	1.1203591	1.0930669	1.0442089	1.0795418	1.1055366	1.0324179	1.0870017	1.0030124	1.0698191	-1.1203591	0.26092008	0.51391083	0.37608454	0.22111413	0.6423024	0.2538075	0.9735253	0.46023345	0.089285366			
ADSL_32625	315150	adsl	0.04024583663758922	0.20412185370797906	1.0850847	1.0850847	1.0571743	1.0383604	1.0410705	1.0850847	1.0017517	1.0275986	1.0125458	1.0305493	-1.0711981	0.11294647	0.26770884	0.44509837	0.09740272	0.9650366	0.6152699	0.75453246	0.62286735	0.033531956			
AGMO_33265	362732	agmo	0.014943215780035863	0.18439770110839415	-1.2240622	1.2240622	-1.2240622	-1.1673434	1.1177738	-1.0136563	-1.103648	1.0038881	-1.0980958	-1.0037253	1.1205307	0.17889169	0.16303252	0.088070706	0.8516631	0.22509417	0.9641656	0.23057911	0.9541287	0.054248508			
AGRN_33146	25592	agrn	0.041822844742552774	0.20500822967324062	-1.1431397	1.1431397	1.0298337	-1.0027654	1.0149045	1.0483264	-1.0043973	-1.0042591	-1.0503937	-1.0127382	-1.1431397	0.51210076	0.96583015	0.7984909	0.50470287	0.9200377	0.9435764	0.4308699	0.8452625	0.062578425			
AGTR1A_33175	24180	agtr1a	0.01478415138971023	0.18439770110839415	-1.4033257	1.4033257	-1.0035444	-1.0718248	1.1040723	1.0951561	-1.0776216	1.0223335	-1.1522868	-1.0318544	-1.4033257	0.9664146	0.584831	0.15208037	0.4890712	0.36497214	0.85898626	0.40594292	0.7631134	0.023245707			
