Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Spleen-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.26
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 14 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: spleen
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCB1B_7939	24646	abcb1b	0.00814461660707191	0.21573671674223274	1.323622	1.323622	-1.2931525	-1.0350727	-1.1273354	-1.0072018	1.2176839	-1.127689	-1.159404	1.2084035	1.323622	0.07804509	0.7503243	0.40772822	0.96684927	0.26631734	0.29170972	0.23132788	0.17616458	0.03511879			
ACMSD_32377	171385	acmsd	0.04289704708699122	0.39240584501957204	-2.1048222	2.1048222	-2.1048222	1.3697469	-1.052823	1.0935268	1.3470169	1.0090469	1.2064852	1.5725654	2.030507	0.12169994	0.29208028	0.8793223	0.80430293	0.72225577	0.9763644	0.6755873	0.3959223	0.013409753	100.0	300.0	
ACTA2_33040	81633	acta2	0.00961153384060873	0.23371843680771356	-1.114242	1.114242	1.0485277	-1.0282828	1.0212774	1.0579697	1.0115473	-1.0870361	-1.014903	-1.0506264	-1.114242	0.21287787	0.28651622	0.6299727	0.06910654	0.69623137	0.103081696	0.79880357	0.42255	0.007281691			
ADIPOQ_32429	246253	adipoq	0.01787507531632858	0.2944046748007673	-2.2153945	2.2153945	-1.2525296	-1.0591599	-2.1228116	-2.2153945	-1.5652437	-1.0542737	-1.6354511	1.4922937	1.3931758	0.39068288	0.8600178	0.047712408	0.05056403	0.37241876	0.8487185	0.20942688	0.10852222	0.25428835	0.1	0.3	
AEBP1_33321	305494	aebp1	0.012760109933254809	0.24806495793386812	1.5688777	1.5688777	1.0187515	1.4260032	1.4291922	1.3906387	1.2766727	1.230562	1.1030484	1.289458	1.5688777	0.952184	0.036604535	0.11124154	0.020402335	0.10367942	0.30412143	0.41583663	0.14325276	0.021833986			
AGL_8002	362029	agl	0.005203121873123874	0.18771615731191915	2.4942093	2.4942093	1.2853402	1.5597432	1.3116218	1.9015954	2.175685	1.6389935	1.0876739	2.2188377	2.4942093	0.5927817	0.18814787	0.3831592	0.024598962	0.1681046	0.17298552	0.8637421	0.014295673	0.008295157	30.0	100.0	
AGXT2_32707	83784	agxt2	0.032124556562869534	0.3709090909090909	2.0032828	2.0032828	1.6035393	1.2522099	1.0316336	1.4656773	1.6384467	1.235231	1.482439	2.0032828	1.6959743	0.020328071	0.2508172	0.9001065	0.09456353	0.24867389	0.3363029	0.12266457	0.11973918	0.025013022			
AKT2_32310	25233	akt2	0.04370594159113796	0.39295712891413315	-1.4832394	1.4832394	1.1147872	1.0817318	-1.2651557	1.0755079	-1.1895691	1.0476733	1.1769311	1.1268461	-1.4832394	0.39422432	0.59475255	0.32648775	0.49451402	0.41846704	0.8136393	0.15173897	0.36250696	0.12613997			
ALAD_8017	25374	alad	0.005186515060841812	0.18771615731191915	-1.6494175	1.6494175	1.2021043	-1.1562498	-1.0538275	1.0728644	-1.1871358	-1.1080096	1.0595131	-1.4009073	-1.6494175	0.12063522	0.3967187	0.7808647	0.5612337	0.2624211	0.6259844	0.69648635	0.1273828	0.061146546			
ALDH6A1_8027	500693;81708	bbof1;aldh6a1	0.03537170263788969	0.3709090909090909	1.2270201	1.2270201	1.1287042	1.1166961	1.0542401	1.1574929	1.0953641	1.0853971	1.1152432	1.2270201	1.0790901	0.12985063	0.066095725	0.3760923	0.018421378	0.05215314	0.14857943	0.113346376	0.045354225	0.1832358			
