Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Thymus_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:33.10
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 16 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: thymus
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AARS_7935	292023	aars1	0.0047553001783237564	0.1163493330293011	1.1687119	1.1687119	1.0653251	1.100959	1.074662	1.0533321	1.0330578	1.0518732	1.0470676	1.0013839	1.1687119	0.1735505	0.27901876	0.09488727	0.3053041	0.30435285	0.21586399	0.19406497	0.9743798	0.002251223			
ACACA_32532	60581	acaca	0.04101951413779371	0.29422599178440717	1.1527491	1.1527491	1.1157455	1.1433825	1.0868239	1.1234404	1.0688223	1.0597179	1.0987463	-1.0054469	1.1527491	0.024194555	0.23674367	0.059633747	0.13114971	0.16747533	0.23600234	0.11425161	0.90125555	0.0043095634			
ACADM_7957	24158	acadm	0.008957006369426751	0.14040117968195423	1.0888963	1.0888963	1.0135752	1.0157009	1.0143838	-1.0036879	-1.0139143	1.0008007	-1.0126616	-1.0088369	1.0888963	0.5684986	0.72457784	0.6613132	0.871934	0.4332088	0.9756509	0.35092726	0.6781564	0.017303934			
ADAM10_7983	29650	adam10	0.032999410724808484	0.26886196603077944	1.0977713	1.0977713	1.0208967	1.090297	1.0530483	1.0398136	1.037779	1.0745325	1.0561147	1.0041904	1.0977713	0.56676334	0.090890944	0.15116726	0.3692649	0.41062427	0.14480829	0.17726517	0.9363141	0.016216721			
ADH5_7991	100145871	adh5	0.02404040404040404	0.22507552590121396	1.0191	1.0191	-1.012399	-1.0025494	-1.0016055	-1.0006629	1.0019699	-1.007783	1.0028143	-1.0017817	1.0191	0.2415174	0.8597484	0.85926443	0.9246051	0.8525208	0.3672716	0.6980052	0.7600936	0.045355596			
ADI1_7994	298934	adi1	0.007187063286085047	0.1334837559882932	-1.0912005	1.0912005	1.0087556	-1.0300798	1.0191602	-1.0217445	-1.0048064	-1.0293809	1.0187699	-1.0014801	-1.0912005	0.67123026	0.47500923	0.5709325	0.346723	0.69889927	0.26839206	0.19277298	0.94289345	0.027372455			
ADM_33168	25026	adm	0.009969481180061038	0.14512560012742043	-1.1657684	1.1657684	1.0384706	1.0364027	1.0956006	1.071731	-1.0101115	1.0113884	1.1457655	-1.0603637	-1.1657684	0.6752578	0.5929166	0.15402701	0.4232587	0.8825353	0.8442504	0.03095467	0.5166347	0.047196154			
AIMP2_8006	288480	aimp2	0.016881028938906754	0.18424695221555445	1.0422504	1.0422504	1.0084782	-1.0207189	-1.0073551	1.0150241	1.0051316	1.0028528	1.0202546	-1.0087535	1.0422504	0.7152217	0.2940358	0.7281461	0.4575687	0.8038729	0.8564818	0.3779546	0.6438555	0.024069792			
AKR7A2_8014	171445	akr7a2	0.00723036754368347	0.1334837559882932	1.1404496	1.1404496	1.0075827	-1.0059247	1.0315279	-1.0070113	-1.0214764	1.010186	-1.0147334	-1.0251119	1.1404496	0.8604091	0.91069907	0.5194215	0.89707434	0.6404621	0.8630423	0.79290813	0.6321247	0.02441955			
AKT2_32310	25233	akt2	0.042267430377246694	0.2981101656963726	-1.2162746	1.2162746	-1.040523	1.0188359	-1.0063753	-1.0634185	1.0737294	1.0462321	1.0544671	-1.0782073	-1.2162746	0.5202427	0.8191612	0.95393485	0.5019055	0.2262368	0.5346666	0.5030061	0.3824052	0.044899005			
ALDH7A1_8028	291450	aldh7a1	0.0015866719555731853	0.08175445623873423	1.1136596	1.1136596	1.0644453	1.0572875	1.0337918	1.0302896	-1.0022823	1.0175911	1.0193821	-1.037385	1.1136596	0.056762215	0.12835445	0.33661634	0.40565374	0.95696217	0.56866914	0.5473481	0.34898502	0.0025441211			
ALDOB_8033	24190	aldob	0.02471557473519027	0.22825560196616895	1.4143031	1.4143031	-1.1533142	-1.150593	1.0856693	-1.404201	-1.0158869	1.1308599	1.2411709	-1.3792471	1.4143031	0.5319246	0.6584937	0.7607549	0.17946813	0.9421376	0.5194162	0.24900009	0.18738356	0.08195823			
