Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_Thyroid-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.54
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: thyroid
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
AARS_7935	292023	aars1	0.030014195903467857	0.3950884378256762	-1.0730737	1.0730737	-1.0189936	-1.0432154	-1.0520202	-1.0348516	-1.0389756	-1.0180161	-1.0305077	-1.0403708	-1.0730737	0.36350736	0.09366902	0.013491737	0.33984265	0.10759558	0.536097	0.5452037	0.018210256	0.056179043			
ACACA_32532	60581	acaca	0.0414057766107857	0.4283983033730559	-1.0745755	1.0745755	1.033964	1.030807	-1.0336044	1.0065169	-1.0574743	1.0255374	-1.0267751	-1.0134038	-1.0745755	0.35887468	0.047351826	0.3540696	0.7706874	0.24782349	0.3424678	0.62204045	0.76146513	0.12209996			
ACADVL_7960	25363	acadvl	0.018624925698434713	0.3527095304141074	-1.0584103	1.0584103	1.004264	1.0182618	-1.0132514	1.0168691	-1.0120513	1.0182701	-1.0264914	-1.0114446	-1.0584103	0.8770491	0.3334397	0.54665965	0.3831851	0.5752728	0.45069268	0.33144823	0.6266891	0.058959287			
ACSS2_7977	311569	acss2	0.020800316957210775	0.3556338028169014	-1.1546346	1.1546346	1.0047302	1.0627956	-1.0283014	-1.0622884	-1.0549228	1.03801	-1.068676	-1.1546346	-1.1514072	0.94568235	0.09080764	0.57748735	0.05917386	0.29130748	0.6130114	0.14750457	0.11719234	0.011157163			
ADRB2_7997	24176	adrb2	0.03962655601659751	0.42100468241042344	-1.1238191	1.1238191	-1.0149031	-1.0576221	-1.0677044	-1.1071597	-1.04236	1.0300336	1.0007606	-1.0462694	-1.1238191	0.7675625	0.18141831	0.09887741	0.25115806	0.28883752	0.45602158	0.97451466	0.29805985	8.5066847E-4			
AHNAK_32407	191572	ahnak	0.017630176301763018	0.3494729339816763	-1.0574468	1.0574468	1.0030911	-1.0161779	-1.0096685	-1.0366235	-1.0054088	1.002543	1.0177021	-1.0012643	-1.0574468	0.70610535	0.1731639	0.43658474	0.35106787	0.58648473	0.9083276	0.4876485	0.85737556	0.030551847			
ALDOB_8033	24190	aldob	0.027353177795655673	0.38279751491263203	-1.3174623	1.3174623	-1.204604	-1.2154031	-1.1410736	-1.3174623	-1.0538541	-1.251154	-1.2744833	-1.1705639	-1.2937461	0.15823966	0.18309288	0.32972202	0.061628167	0.75141674	0.1331193	0.10911814	0.2855844	0.06990931			
AMACR_8038	25284	amacr	0.027432919503404086	0.38279751491263203	-1.1257402	1.1257402	-1.0862867	-1.0333353	-1.0234692	-1.0550536	-1.0353378	-1.034569	-1.1257402	-1.0518404	-1.0498453	0.01151155	0.1879659	0.3443878	0.05600187	0.24272825	0.22222075	0.08408334	0.06782806	0.1722371			
APP_8067	54226	app	0.0081799591002045	0.2823866340335849	-1.0844674	1.0844674	-1.0021521	-1.0259491	-1.0148653	-1.0404186	-1.032262	1.0059493	-1.0310401	-1.0260282	-1.0844674	0.87938356	0.12032405	0.5140804	0.31878668	0.082009025	0.8103282	0.32202157	0.15922052	0.03993973			
ARFIP2_8077	293344	arfip2	0.030388408130408533	0.3950884378256762	-1.1516048	1.1516048	-1.0325321	-1.0361562	-1.0097432	-1.0659006	-1.0309801	1.0076761	-1.1151137	-1.0734295	-1.1516048	0.49491808	0.3574367	0.86269534	0.30026	0.5080308	0.8996879	0.14284979	0.18192835	0.0844502			
ARHGAP30_32923	498282	arhgap30	0.04057618178129438	0.4239511406804206	-1.1689742	1.1689742	1.0068239	-1.0010922	-1.0167996	-1.0584269	-1.0448886	1.0141364	1.0071821	-1.0406126	-1.1689742	0.76360095	0.9586443	0.68139803	0.5202124	0.5632132	0.73722947	0.94740915	0.2476991	0.061243422			
