Williams Trend Test
Data Source: P2_Perfluoro_3_methoxypropanoic_acid_Male_testes_NoOutlier-expression1
Work Source: null
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp (Start Time): 12/14/2025 07:32.38
Number of Permutations: 10000
Unadjusted P-Value Cutoff: 0.05
Multiple Testing Correction: false
Filter Out Control Genes: true
NOTEL/LOTEL Test: T-Test
NOTEL/LOTEL p-Value Threshold: 0.05
NOTEL/LOTEL Fold Change Threshold: 2.0
Total Run Time: 15 seconds

Chip: BioSpyder S1500_Rat
Provider: BioSpyder

=== Experiment Description ===
Experiment Type: in vivo
Test Article: Perfluoro-3-methoxypropanoic acid | CAS: 377-73-1 | DSSTOX: DTXSID70191136
Subject Type: in vivo
Species: rat
Strain: Sprague-Dawley
Sex: male
Organ: testes
Article Route: oral
Article Vehicle: feed
Administration Means: dietary
Study Duration: 28d
Platform: BioSpyder S1500+ Rat
Provider: BioSpyder
Article Type: chemical
Chip File Creation Date: 10/31/24
Log Transformation: NONE
BMDExpress3 Version: BMDExpress 3.20.119 BETA
Timestamp: 12/14/2025 07:06.33

Probe ID	Gene ID	Gene Symbol	Unadjusted P-Value	Adjusted P-Value	Max Fold Change	Max Fold Change Unsigned	FC Dose Level 1	FC Dose Level 2	FC Dose Level 3	FC Dose Level 4	FC Dose Level 5	FC Dose Level 6	FC Dose Level 7	FC Dose Level 8	FC Dose Level 9	NOTEL/LOTEL T-Test p-Value Level 1	NOTEL/LOTEL T-Test p-Value Level 2	NOTEL/LOTEL T-Test p-Value Level 3	NOTEL/LOTEL T-Test p-Value Level 4	NOTEL/LOTEL T-Test p-Value Level 5	NOTEL/LOTEL T-Test p-Value Level 6	NOTEL/LOTEL T-Test p-Value Level 7	NOTEL/LOTEL T-Test p-Value Level 8	NOTEL/LOTEL T-Test p-Value Level 9	NOTEL	LOTEL
ABCB1B_7939	24646	abcb1b	0.01483560545308741	0.26860254083484575	-1.5070246	1.5070246	1.1274248	-1.0863913	-1.2573034	-1.5070246	-1.1079783	-1.0280806	-1.3307574	1.0409232	1.3385082	0.2831491	0.40689585	0.20691897	0.06323115	0.48769906	0.8757613	0.020170623	0.8426973	0.10879825			
ABCC4_32768	170924	abcc4	0.03464249748237664	0.38033039789162437	-1.172876	1.172876	-1.1074613	1.0098091	-1.1648556	-1.0008892	-1.0170761	1.0010225	-1.0148019	-1.0500356	-1.172876	0.33610928	0.87910104	0.06052358	0.98529494	0.72401124	0.98430145	0.85365283	0.42530802	0.050063726			
ACBD3_7962	289312	acbd3	0.03850030235839549	0.38741737232379214	-1.1981646	1.1981646	-1.0230305	-1.0564421	-1.0142922	-1.0398164	1.008255	1.0027007	-1.0513408	-1.1981646	-1.035226	0.5473104	0.33193338	0.7477751	0.37359405	0.8142864	0.94253516	0.2132447	0.005642543	0.47020087			
ACO1_7966	50655	aco1	0.04655750641152101	0.4190582819138492	-1.0734082	1.0734082	-1.009866	-1.0315017	-1.038941	-1.0402542	-1.0558354	-1.0066304	-1.0734082	-1.0256025	-1.0592341	0.7493438	0.22043982	0.1314943	0.10206236	0.04836009	0.7754444	0.084765896	0.41419092	0.13191487			
ACOX1_7973	50681	acox1	0.046965174129353235	0.4190582819138492	-1.030326	1.030326	1.0157887	-1.0016768	-1.0136697	1.0215974	-1.0262301	1.0178611	-1.0145854	-1.0006769	-1.030326	0.33861956	0.88265055	0.21092255	0.11722282	0.097219415	0.26683953	0.46390942	0.9721241	0.1790593			
ACTA1_7978	29437	acta1	3.948667324777887E-4	0.04260061919504644	-1.3405036	1.3405036	-1.0953774	-1.0465376	-1.2115294	-1.3405036	-1.0246961	1.00935	-1.1755893	-1.1405622	1.3169633	0.27004808	0.46010938	0.13226038	0.084832296	0.82669085	0.9304333	0.098410174	0.3992116	0.0013418277			
ACTA2_33040	81633	acta2	0.03686818632309217	0.38741737232379214	-1.0324125	1.0324125	1.0268342	-1.006935	-1.0008218	1.0005183	-1.01558	1.0066907	1.0052679	-1.0021939	-1.0324125	0.19049276	0.7795409	0.9608267	0.97433543	0.50850856	0.7250517	0.8314663	0.9202118	0.11773729			
ACVRL1_32420	25237	acvrl1	0.006611901422560609	0.21661848470103326	-1.0573071	1.0573071	-1.0350364	-1.0573071	-1.025463	-1.0245584	-1.0215012	1.0150988	-1.0092499	-1.0168173	1.0188881	0.038407877	0.009559124	0.20203069	0.15407196	0.32702148	0.2879677	0.67453724	0.27260485	0.23302147			
ADM_33168	25026	adm	5.994005994005994E-4	0.05012750455373407	-1.5798968	1.5798968	1.0252757	-1.4997828	-1.5798968	-1.0299177	-1.4548049	1.0507071	1.0952051	-1.0954002	1.265738	0.86882544	0.017924605	0.020877812	0.8159924	0.05323475	0.6829143	0.48018745	0.5615258	0.046341054			
AEBP1_33321	305494	aebp1	0.007376395534290271	0.22381852551984877	-1.7017062	1.7017062	1.0938336	-1.3759491	-1.3340664	-1.0762845	-1.1927397	-1.0824004	-1.3321471	-1.0836636	-1.7017062	0.44129643	0.040272392	0.17780031	0.55594796	0.2863259	0.5304394	0.19429444	0.6581851	0.05620305			
AGL_8002	362029	agl	0.0108499095840868	0.23823631256973568	-1.4493862	1.4493862	1.0594171	1.219494	-1.3240684	-1.4493862	-1.2773032	1.0029342	1.0700814	1.0391036	1.4394968	0.6645274	0.26962474	0.27420872	0.042925637	0.41273472	0.9869527	0.78834856	0.79530746	0.016199801			
AGMAT_33108	298607	agmat	0.038852361028093245	0.38741737232379214	-1.3052269	1.3052269	-1.3052269	-1.1959591	-1.2719142	-1.1415533	1.0407981	1.016755	1.0246835	1.0334876	1.1240067	0.029381962	0.15466197	0.27551964	0.12181499	0.6994111	0.8539871	0.8127581	0.76102394	0.18061474			
AGXT2_32707	83784	agxt2	0.013413413413413414	0.26118193665363476	-1.8557901	1.8557901	-1.071363	-1.3170702	-1.8557901	-1.1134516	1.0130043	-1.1741422	-1.0791668	1.2902008	1.4204096	0.7593505	0.26796034	0.0835923	0.6941128	0.95428973	0.5414841	0.8041588	0.31918052	0.11447632			
AIMP2_8006	288480	aimp2	0.010689794271883823	0.2372444664211636	1.0528811	1.0528811	1.0094326	-1.0027242	1.0035081	1.0023073	1.0218198	1.0399895	1.037495	1.0144638	1.0528811	0.62665945	0.89590704	0.8289271	0.8988292	0.25155452	0.03671954	0.1709296	0.29769433	0.03224164			
AK2_33292	24184	ak2	0.02899134286289511	0.37104624029715705	1.0224493	1.0224493	1.0033227	-1.0187464	-1.004558	-1.0165968	-1.0199777	1.003145	1.0102196	1.0089426	1.0224493	0.76192224	0.15460634	0.67376995	0.23269197	0.1154407	0.84545964	0.28763995	0.5080591	0.15996231			
